x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-178.988689338E-03,+361.699116089E-03,+368.985548172E-03
-10.918000E-06,-170.131905514E-03,+361.422734182E-03,+360.945347253E-03
-10.916000E-06,-167.493714587E-03,+361.234291973E-03,+364.161427620E-03
-10.914000E-06,-158.448488553E-03,+360.568462835E-03,+360.945347253E-03
-10.912000E-06,-171.011302489E-03,+360.687809567E-03,+362.553387437E-03
-10.910000E-06,-183.699744564E-03,+360.160171382E-03,+360.945347253E-03
-10.908000E-06,-176.727382830E-03,+359.532030685E-03,+360.945347253E-03
-10.906000E-06,-170.948488420E-03,+360.015699021E-03,+360.945347253E-03
-10.904000E-06,-173.775121555E-03,+359.412683953E-03,+360.945347253E-03
-10.902000E-06,-176.224870273E-03,+359.946603545E-03,+367.377507988E-03
-10.900000E-06,-178.046478293E-03,+359.751879929E-03,+360.945347253E-03
-10.898000E-06,-179.679644105E-03,+359.060925162E-03,+360.945347253E-03
-10.896000E-06,-187.217332467E-03,+359.331025662E-03,+368.985548172E-03
-10.894000E-06,-172.581654231E-03,+360.449116102E-03,+360.945347253E-03
-10.892000E-06,-178.046478293E-03,+356.849869910E-03,+367.377507988E-03
-10.890000E-06,-189.353010835E-03,+358.684040744E-03,+360.945347253E-03
-10.888000E-06,-209.704769412E-03,+358.150121152E-03,+367.377507988E-03
-10.886000E-06,-181.501252125E-03,+357.779518141E-03,+360.945347253E-03
-10.884000E-06,-196.325372570E-03,+357.591075932E-03,+360.945347253E-03
-10.882000E-06,-187.531402815E-03,+357.672734222E-03,+359.337307069E-03
-10.880000E-06,-184.956025958E-03,+357.710422664E-03,+360.945347253E-03
-10.878000E-06,-170.006277375E-03,+356.925246793E-03,+360.945347253E-03
-10.876000E-06,-155.684669487E-03,+356.617457852E-03,+352.905146334E-03
-10.874000E-06,-166.928387960E-03,+356.278261876E-03,+352.905146334E-03
-10.872000E-06,-174.026377834E-03,+356.491829712E-03,+360.945347253E-03
-10.870000E-06,-184.956025958E-03,+355.606151330E-03,+352.905146334E-03
-10.868000E-06,-179.993714453E-03,+355.587307109E-03,+359.337307069E-03
-10.866000E-06,-176.853010970E-03,+355.964191527E-03,+352.905146334E-03
-10.864000E-06,-172.581654231E-03,+357.427759351E-03,+360.945347253E-03
-10.862000E-06,-158.385674484E-03,+357.157658851E-03,+352.905146334E-03
-10.860000E-06,-166.425875402E-03,+353.376251856E-03,+352.905146334E-03
-10.858000E-06,-173.649493416E-03,+354.902633750E-03,+346.472985598E-03
-10.856000E-06,-185.961051073E-03,+355.417709121E-03,+360.945347253E-03
-10.854000E-06,-181.438438056E-03,+353.941578484E-03,+352.905146334E-03
-10.852000E-06,-173.272608997E-03,+354.431528227E-03,+360.945347253E-03
-10.850000E-06,-171.451000977E-03,+354.224241797E-03,+344.864945415E-03
-10.848000E-06,-180.182156663E-03,+355.587307109E-03,+360.945347253E-03
-10.846000E-06,-188.724870139E-03,+353.168965426E-03,+352.905146334E-03
-10.844000E-06,-173.209794928E-03,+352.892583520E-03,+352.905146334E-03
-10.842000E-06,-180.182156663E-03,+353.483035775E-03,+352.905146334E-03
-10.840000E-06,-180.873111429E-03,+352.622483020E-03,+352.905146334E-03
-10.838000E-06,-170.383161792E-03,+353.225498089E-03,+352.905146334E-03
-10.836000E-06,-162.405774943E-03,+352.892583520E-03,+352.905146334E-03
-10.834000E-06,-175.847985855E-03,+352.584794578E-03,+352.905146334E-03
-10.832000E-06,-174.277634113E-03,+352.842332264E-03,+352.905146334E-03
-10.830000E-06,-173.649493416E-03,+351.617457905E-03,+352.905146334E-03
-10.828000E-06,-172.456026092E-03,+352.069719207E-03,+352.905146334E-03
-10.826000E-06,-172.895724580E-03,+351.604895091E-03,+344.864945415E-03
-10.824000E-06,-173.021352719E-03,+351.278261929E-03,+356.121226702E-03
-10.822000E-06,-172.518840162E-03,+351.535799615E-03,+352.905146334E-03
-10.820000E-06,-170.822860280E-03,+350.581025756E-03,+344.864945415E-03
-10.818000E-06,-177.229895388E-03,+350.059668977E-03,+344.864945415E-03
-10.816000E-06,-162.217332735E-03,+349.814694106E-03,+352.905146334E-03
-10.814000E-06,-175.722357715E-03,+349.714191594E-03,+352.905146334E-03
-10.812000E-06,-175.973613994E-03,+349.387558432E-03,+352.905146334E-03
-10.810000E-06,-185.584166654E-03,+348.885045874E-03,+344.864945415E-03
-10.808000E-06,-181.124367708E-03,+350.423990582E-03,+352.905146334E-03
-10.806000E-06,-179.993714453E-03,+348.376251910E-03,+344.864945415E-03
-10.804000E-06,-194.001251992E-03,+349.374995618E-03,+352.905146334E-03
-10.802000E-06,-170.383161793E-03,+348.244342364E-03,+344.864945415E-03
-10.800000E-06,-180.559041080E-03,+348.665196630E-03,+352.905146334E-03
-10.798000E-06,-182.883161660E-03,+348.212935329E-03,+346.472985598E-03
-10.796000E-06,-166.802759820E-03,+347.088563481E-03,+352.905146334E-03
-10.794000E-06,-167.556528656E-03,+348.244342364E-03,+344.864945415E-03
-10.792000E-06,-171.388186907E-03,+347.653890109E-03,+352.905146334E-03
-10.790000E-06,-183.071603868E-03,+346.498111227E-03,+344.864945415E-03
-10.788000E-06,-183.385674217E-03,+346.410171529E-03,+352.905146334E-03
-10.786000E-06,-165.358036218E-03,+347.402633830E-03,+340.040824863E-03
-10.784000E-06,-178.674618990E-03,+346.196603692E-03,+348.081025783E-03
-10.782000E-06,-161.589192038E-03,+347.810925283E-03,+344.864945415E-03
-10.780000E-06,-187.154518396E-03,+346.215447913E-03,+344.864945415E-03
-10.778000E-06,-174.591704460E-03,+344.343588636E-03,+344.864945415E-03
-10.776000E-06,-178.737433061E-03,+344.990573554E-03,+348.081025782E-03
-10.774000E-06,-180.496227009E-03,+345.675246914E-03,+344.864945415E-03
-10.772000E-06,-183.134417938E-03,+345.392583600E-03,+344.864945415E-03
-10.770000E-06,-177.732407944E-03,+345.555900181E-03,+336.824744497E-03
-10.768000E-06,-175.659543645E-03,+345.135045915E-03,+352.905146334E-03
-10.766000E-06,-171.513815046E-03,+345.015699182E-03,+344.864945415E-03
-10.764000E-06,-153.486177048E-03,+344.199116276E-03,+344.864945415E-03
-10.762000E-06,-155.747483558E-03,+345.072231845E-03,+343.256905230E-03
-10.760000E-06,-170.822860279E-03,+343.451628847E-03,+344.864945415E-03
-10.758000E-06,-165.672106566E-03,+342.898865034E-03,+344.864945415E-03
-10.756000E-06,-171.702257254E-03,+342.000623838E-03,+344.864945415E-03
-10.754000E-06,-156.249996115E-03,+342.641327348E-03,+336.824744496E-03
-10.752000E-06,-173.649493415E-03,+343.564694173E-03,+351.297106149E-03
-10.750000E-06,-165.169594009E-03,+343.483035882E-03,+344.864945415E-03
-10.748000E-06,-185.207282237E-03,+344.287055974E-03,+344.864945415E-03
-10.746000E-06,-160.898237271E-03,+342.277005744E-03,+336.824744496E-03
-10.744000E-06,-168.498739702E-03,+341.617458012E-03,+349.689065965E-03
-10.742000E-06,-169.943463307E-03,+343.489317289E-03,+344.864945415E-03
-10.740000E-06,-179.930900383E-03,+341.001880130E-03,+336.824744497E-03
-10.738000E-06,-150.031403215E-03,+342.057156500E-03,+336.824744496E-03
-10.736000E-06,-182.945975729E-03,+341.799618815E-03,+344.864945415E-03
-10.734000E-06,-182.883161659E-03,+341.630020826E-03,+344.864945415E-03
-10.732000E-06,-180.747483287E-03,+341.121226862E-03,+338.432784681E-03
-10.730000E-06,-181.501252126E-03,+341.567206757E-03,+328.784543578E-03
-10.728000E-06,-179.491201897E-03,+342.302131372E-03,+344.864945415E-03
