x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-187.468588745E-03,+346.749367505E-03,+368.985548172E-03
-10.918000E-06,-190.043965602E-03,+347.264442877E-03,+360.945347253E-03
-10.916000E-06,-184.327885261E-03,+347.766955434E-03,+364.161427620E-03
-10.914000E-06,-179.239945617E-03,+349.871226768E-03,+360.945347253E-03
-10.912000E-06,-178.548990851E-03,+347.478010714E-03,+362.553387437E-03
-10.910000E-06,-174.905774809E-03,+346.843588610E-03,+360.945347253E-03
-10.908000E-06,-170.885674350E-03,+348.106151410E-03,+360.945347253E-03
-10.906000E-06,-169.755021096E-03,+347.000623784E-03,+360.945347253E-03
-10.904000E-06,-164.415825173E-03,+346.309669018E-03,+360.945347253E-03
-10.902000E-06,-173.209794928E-03,+346.567206703E-03,+367.377507988E-03
-10.900000E-06,-190.609292229E-03,+347.126251923E-03,+360.945347253E-03
-10.898000E-06,-174.842960740E-03,+346.001880076E-03,+360.945347253E-03
-10.896000E-06,-163.033915640E-03,+346.755648912E-03,+368.985548172E-03
-10.894000E-06,-189.729895253E-03,+345.398865007E-03,+360.945347253E-03
-10.892000E-06,-180.747483289E-03,+345.329769531E-03,+367.377507988E-03
-10.890000E-06,-186.212307352E-03,+345.461679077E-03,+360.945347253E-03
-10.888000E-06,-164.101754825E-03,+346.020724297E-03,+367.377507988E-03
-10.886000E-06,-173.146980858E-03,+345.599870030E-03,+360.945347253E-03
-10.884000E-06,-177.606779805E-03,+346.064694146E-03,+360.945347253E-03
-10.882000E-06,-167.368086448E-03,+345.995598669E-03,+359.337307069E-03
-10.880000E-06,-186.840448048E-03,+343.577256986E-03,+360.945347253E-03
-10.878000E-06,-170.445975862E-03,+344.663940392E-03,+360.945347253E-03
-10.876000E-06,-182.317835032E-03,+344.374995671E-03,+352.905146334E-03
-10.874000E-06,-185.270096307E-03,+343.206653975E-03,+352.905146334E-03
-10.872000E-06,-172.895724580E-03,+342.967960511E-03,+360.945347253E-03
-10.870000E-06,-194.378136410E-03,+344.048362509E-03,+352.905146334E-03
-10.868000E-06,-181.564066195E-03,+343.728010754E-03,+359.337307069E-03
-10.866000E-06,-174.905774809E-03,+344.054643916E-03,+352.905146334E-03
-10.864000E-06,-183.951000843E-03,+343.037055987E-03,+360.945347253E-03
-10.862000E-06,-173.021352719E-03,+344.412684113E-03,+352.905146334E-03
-10.860000E-06,-174.905774810E-03,+341.849870070E-03,+352.905146334E-03
-10.858000E-06,-183.448488286E-03,+342.873739406E-03,+346.472985598E-03
-10.856000E-06,-163.662056337E-03,+343.407658998E-03,+360.945347253E-03
