x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-172.393212022E-03,+360.254392486E-03,+368.985548172E-03
-10.918000E-06,-166.237433194E-03,+361.510673880E-03,+360.945347253E-03
-10.916000E-06,-177.418337596E-03,+362.314693972E-03,+364.161427620E-03
-10.914000E-06,-172.518840162E-03,+361.416452775E-03,+360.945347253E-03
-10.912000E-06,-171.199744698E-03,+359.852382440E-03,+362.553387437E-03
-10.910000E-06,-165.169594009E-03,+360.222985451E-03,+360.945347253E-03
-10.908000E-06,-183.134417937E-03,+360.706653788E-03,+360.945347253E-03
-10.906000E-06,-167.933413075E-03,+360.568462835E-03,+360.945347253E-03
-10.904000E-06,-168.812810050E-03,+359.412683953E-03,+360.945347253E-03
-10.902000E-06,-179.051503408E-03,+360.109920126E-03,+367.377507988E-03
-10.900000E-06,-183.071603867E-03,+358.558412605E-03,+360.945347253E-03
-10.898000E-06,-153.109292631E-03,+358.828513105E-03,+360.945347253E-03
-10.896000E-06,-180.307784802E-03,+358.200372408E-03,+368.985548172E-03
-10.894000E-06,-172.141955744E-03,+359.381276918E-03,+360.945347253E-03
-10.892000E-06,-184.327885261E-03,+358.307156326E-03,+367.377507988E-03
-10.890000E-06,-165.797734706E-03,+359.249367371E-03,+360.945347253E-03
-10.888000E-06,-183.574116425E-03,+356.636302073E-03,+367.377507988E-03
-10.886000E-06,-165.232408079E-03,+357.993085978E-03,+360.945347253E-03
-10.884000E-06,-194.064066061E-03,+356.994342270E-03,+360.945347253E-03
-10.882000E-06,-167.619342727E-03,+356.039568411E-03,+359.337307069E-03
-10.880000E-06,-178.988689338E-03,+355.511930225E-03,+360.945347253E-03
-10.878000E-06,-165.295222149E-03,+356.309668910E-03,+360.945347253E-03
-10.876000E-06,-177.292709457E-03,+355.260673947E-03,+352.905146334E-03
-10.874000E-06,-176.036428064E-03,+355.116201587E-03,+352.905146334E-03
-10.872000E-06,-177.732407945E-03,+353.847357379E-03,+360.945347253E-03
-10.870000E-06,-177.418337597E-03,+354.506905111E-03,+352.905146334E-03
-10.868000E-06,-189.792709323E-03,+358.049618641E-03,+359.337307069E-03
-10.866000E-06,-174.654518531E-03,+357.245598549E-03,+352.905146334E-03
-10.864000E-06,-164.353011103E-03,+354.425246820E-03,+360.945347253E-03
-10.862000E-06,-174.214820043E-03,+355.700372434E-03,+352.905146334E-03
-10.860000E-06,-198.775121287E-03,+355.637558365E-03,+352.905146334E-03
-10.858000E-06,-174.466076321E-03,+355.756905097E-03,+346.472985598E-03
-10.856000E-06,-183.574116425E-03,+353.797106123E-03,+360.945347253E-03
-10.854000E-06,-173.900749695E-03,+354.073488030E-03,+352.905146334E-03
-10.852000E-06,-197.393211753E-03,+353.439065926E-03,+360.945347253E-03
-10.850000E-06,-180.559041080E-03,+354.506905111E-03,+344.864945415E-03
-10.848000E-06,-181.878136543E-03,+353.797106123E-03,+360.945347253E-03
-10.846000E-06,-167.744970866E-03,+352.672734276E-03,+352.905146334E-03
-10.844000E-06,-186.903262117E-03,+353.043337287E-03,+352.905146334E-03
-10.842000E-06,-192.933412808E-03,+351.887558405E-03,+352.905146334E-03
-10.840000E-06,-178.360548641E-03,+352.810925229E-03,+352.905146334E-03
-10.838000E-06,-190.169593742E-03,+352.346101114E-03,+352.905146334E-03
-10.836000E-06,-179.177131547E-03,+352.346101114E-03,+352.905146334E-03
-10.834000E-06,-188.033915372E-03,+351.925246847E-03,+352.905146334E-03
-10.832000E-06,-203.737432791E-03,+351.743086045E-03,+352.905146334E-03
-10.830000E-06,-185.584166655E-03,+352.308412672E-03,+352.905146334E-03
-10.828000E-06,-180.119342592E-03,+352.245598602E-03,+352.905146334E-03
-10.826000E-06,-173.084166789E-03,+351.780774487E-03,+344.864945415E-03
-10.824000E-06,-182.757533519E-03,+350.593588570E-03,+356.121226702E-03
