x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-186.526377700E-03,+348.696603665E-03,+368.985548172E-03
-10.918000E-06,-180.244970732E-03,+348.684040851E-03,+360.945347253E-03
-10.916000E-06,-179.993714453E-03,+348.030774527E-03,+364.161427620E-03
-10.914000E-06,-164.353011103E-03,+346.925246900E-03,+360.945347253E-03
-10.912000E-06,-181.940950613E-03,+346.315950424E-03,+362.553387437E-03
-10.910000E-06,-169.252508538E-03,+348.131277038E-03,+360.945347253E-03
-10.908000E-06,-182.255020962E-03,+347.697859957E-03,+360.945347253E-03
-10.906000E-06,-163.159543779E-03,+347.773236841E-03,+360.945347253E-03
-10.904000E-06,-183.762558634E-03,+347.088563482E-03,+360.945347253E-03
-10.902000E-06,-189.164568626E-03,+348.156402666E-03,+367.377507988E-03
-10.900000E-06,-187.468588745E-03,+348.194091108E-03,+360.945347253E-03
-10.898000E-06,-172.644468301E-03,+347.823488097E-03,+360.945347253E-03
-10.896000E-06,-180.621855150E-03,+345.888814751E-03,+368.985548172E-03
-10.894000E-06,-196.262558500E-03,+347.270724284E-03,+360.945347253E-03
-10.892000E-06,-182.694719450E-03,+345.436553449E-03,+367.377507988E-03
-10.890000E-06,-168.938438190E-03,+346.309669018E-03,+360.945347253E-03
-10.888000E-06,-173.649493416E-03,+345.047106217E-03,+367.377507988E-03
-10.886000E-06,-183.448488286E-03,+346.686553436E-03,+360.945347253E-03
-10.884000E-06,-184.453513400E-03,+344.519468032E-03,+360.945347253E-03
-10.882000E-06,-166.991202030E-03,+345.091076066E-03,+359.337307069E-03
-10.880000E-06,-188.410799790E-03,+344.645096171E-03,+360.945347253E-03
-10.878000E-06,-180.370598871E-03,+344.563437880E-03,+360.945347253E-03
-10.876000E-06,-190.420850020E-03,+343.903890149E-03,+352.905146334E-03
-10.874000E-06,-181.564066196E-03,+344.739317276E-03,+352.905146334E-03
-10.872000E-06,-176.915825039E-03,+343.596101207E-03,+360.945347253E-03
-10.870000E-06,-176.790196900E-03,+344.770724310E-03,+352.905146334E-03
-10.868000E-06,-174.905774809E-03,+343.395096184E-03,+359.337307069E-03
-10.866000E-06,-175.345473297E-03,+343.910171556E-03,+352.905146334E-03
-10.864000E-06,-175.847985854E-03,+342.515699209E-03,+360.945347253E-03
-10.862000E-06,-186.337935491E-03,+343.885045928E-03,+352.905146334E-03
-10.860000E-06,-177.104267248E-03,+343.922734370E-03,+352.905146334E-03
-10.858000E-06,-180.056528523E-03,+344.594844915E-03,+346.472985598E-03
-10.856000E-06,-175.847985855E-03,+343.451628847E-03,+360.945347253E-03
-10.854000E-06,-170.948488419E-03,+341.925246954E-03,+352.905146334E-03
-10.852000E-06,-187.719845024E-03,+343.112432871E-03,+360.945347253E-03
-10.850000E-06,-163.285171919E-03,+342.729267046E-03,+344.864945415E-03
-10.848000E-06,-179.177131547E-03,+340.329769584E-03,+360.945347253E-03
-10.846000E-06,-187.405774675E-03,+344.293337381E-03,+352.905146334E-03
-10.844000E-06,-187.908287233E-03,+341.479267059E-03,+352.905146334E-03
-10.842000E-06,-173.712307486E-03,+340.606151491E-03,+352.905146334E-03
-10.840000E-06,-178.360548641E-03,+341.378764548E-03,+352.905146334E-03
-10.838000E-06,-176.413312482E-03,+341.510674094E-03,+352.905146334E-03
-10.836000E-06,-181.249995847E-03,+340.317206770E-03,+352.905146334E-03
-10.834000E-06,-183.260046076E-03,+340.643839933E-03,+352.905146334E-03
