x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-195.948488152E-03,+359.971729173E-03,+368.985548172E-03
-10.918000E-06,-186.463563630E-03,+360.700372381E-03,+360.945347253E-03
-10.916000E-06,-175.785171785E-03,+359.594844755E-03,+364.161427620E-03
-10.914000E-06,-189.981151532E-03,+358.790824663E-03,+360.945347253E-03
-10.912000E-06,-191.300246996E-03,+360.505648765E-03,+362.553387437E-03
-10.910000E-06,-185.270096306E-03,+360.128764347E-03,+360.945347253E-03
-10.908000E-06,-178.234920502E-03,+357.647608595E-03,+360.945347253E-03
-10.906000E-06,-172.707282371E-03,+357.804643769E-03,+360.945347253E-03
-10.904000E-06,-188.347985720E-03,+359.701628673E-03,+360.945347253E-03
-10.902000E-06,-173.649493416E-03,+357.006905084E-03,+367.377507988E-03
-10.900000E-06,-185.270096306E-03,+358.338563361E-03,+360.945347253E-03
-10.898000E-06,-174.528890391E-03,+357.547106083E-03,+360.945347253E-03
-10.896000E-06,-169.629392956E-03,+358.376251803E-03,+368.985548172E-03
-10.894000E-06,-176.538940621E-03,+356.466704085E-03,+360.945347253E-03
-10.892000E-06,-182.192206892E-03,+358.439065873E-03,+367.377507988E-03
-10.890000E-06,-180.559041080E-03,+357.239317142E-03,+360.945347253E-03
-10.888000E-06,-173.900749695E-03,+356.190322178E-03,+367.377507988E-03
-10.886000E-06,-190.546478159E-03,+355.995598562E-03,+360.945347253E-03
-10.884000E-06,-182.255020962E-03,+357.503136234E-03,+360.945347253E-03
-10.882000E-06,-177.418337596E-03,+355.888814644E-03,+359.337307069E-03
-10.880000E-06,-191.237432926E-03,+356.359920166E-03,+360.945347253E-03
-10.878000E-06,-188.159543512E-03,+356.177759364E-03,+360.945347253E-03
-10.876000E-06,-182.757533519E-03,+355.612432737E-03,+352.905146334E-03
-10.874000E-06,-184.076628982E-03,+355.976754341E-03,+352.905146334E-03
-10.872000E-06,-184.830397819E-03,+356.315950317E-03,+360.945347253E-03
-10.870000E-06,-190.295221881E-03,+354.789568424E-03,+352.905146334E-03
-10.868000E-06,-184.516327470E-03,+355.637558365E-03,+359.337307069E-03
-10.866000E-06,-184.453513401E-03,+353.797106123E-03,+352.905146334E-03
-10.864000E-06,-194.189694201E-03,+354.833538273E-03,+360.945347253E-03
-10.862000E-06,-197.330397684E-03,+352.364945335E-03,+352.905146334E-03
-10.860000E-06,-196.890699197E-03,+354.067206623E-03,+352.905146334E-03
-10.858000E-06,-176.350498412E-03,+353.282030752E-03,+346.472985598E-03
-10.856000E-06,-188.599242000E-03,+354.651377471E-03,+360.945347253E-03
