x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-168.624367841E-03,+360.254392486E-03,+368.985548172E-03
-10.918000E-06,-175.094217018E-03,+359.042080941E-03,+360.945347253E-03
-10.916000E-06,-184.327885261E-03,+360.423990474E-03,+364.161427620E-03
-10.914000E-06,-170.383161792E-03,+358.118714117E-03,+360.945347253E-03
-10.912000E-06,-192.493714319E-03,+360.700372381E-03,+362.553387437E-03
-10.910000E-06,-188.096729442E-03,+358.150121152E-03,+360.945347253E-03
-10.908000E-06,-181.626880265E-03,+360.493085951E-03,+360.945347253E-03
-10.906000E-06,-182.380649101E-03,+356.630020666E-03,+360.945347253E-03
-10.904000E-06,-176.538940621E-03,+359.406402546E-03,+360.945347253E-03
-10.902000E-06,-174.089191903E-03,+356.560925189E-03,+367.377507988E-03
-10.900000E-06,-184.327885261E-03,+359.406402546E-03,+360.945347253E-03
-10.898000E-06,-184.453513401E-03,+358.426503059E-03,+360.945347253E-03
-10.896000E-06,-175.533915506E-03,+357.421477944E-03,+368.985548172E-03
-10.894000E-06,-178.863061199E-03,+354.902633750E-03,+360.945347253E-03
-10.892000E-06,-174.089191904E-03,+356.504392526E-03,+367.377507988E-03
-10.890000E-06,-167.996227144E-03,+355.260673947E-03,+360.945347253E-03
-10.888000E-06,-168.561553772E-03,+357.754392513E-03,+367.377507988E-03
-10.886000E-06,-183.951000843E-03,+357.553387490E-03,+360.945347253E-03
-10.884000E-06,-175.282659228E-03,+357.446603572E-03,+360.945347253E-03
-10.882000E-06,-187.154518397E-03,+355.380020679E-03,+359.337307069E-03
-10.880000E-06,-174.277634113E-03,+355.354895051E-03,+360.945347253E-03
-10.878000E-06,-176.664568760E-03,+355.166452842E-03,+360.945347253E-03
-10.876000E-06,-167.116830169E-03,+355.078513145E-03,+352.905146334E-03
-10.874000E-06,-184.579141540E-03,+354.908915157E-03,+352.905146334E-03
-10.872000E-06,-171.702257256E-03,+355.292080982E-03,+360.945347253E-03
-10.870000E-06,-173.963563764E-03,+353.658915170E-03,+352.905146334E-03
-10.868000E-06,-173.775121555E-03,+355.449116156E-03,+359.337307069E-03
-10.866000E-06,-180.998739568E-03,+354.626251843E-03,+352.905146334E-03
-10.864000E-06,-179.239945617E-03,+354.921477970E-03,+360.945347253E-03
-10.862000E-06,-206.940950345E-03,+353.866201600E-03,+352.905146334E-03
-10.860000E-06,-193.435925365E-03,+354.255648832E-03,+352.905146334E-03
-10.858000E-06,-185.207282237E-03,+353.916452856E-03,+346.472985598E-03
-10.856000E-06,-181.312809917E-03,+353.175246833E-03,+360.945347253E-03
-10.854000E-06,-185.521352585E-03,+353.011930252E-03,+352.905146334E-03
-10.852000E-06,-175.533915507E-03,+353.131276985E-03,+360.945347253E-03
-10.850000E-06,-189.667081184E-03,+351.617457905E-03,+344.864945415E-03
-10.848000E-06,-188.787684209E-03,+352.396352369E-03,+360.945347253E-03
-10.846000E-06,-191.677131414E-03,+352.320975486E-03,+352.905146334E-03
-10.844000E-06,-169.880649235E-03,+352.741829753E-03,+352.905146334E-03
-10.842000E-06,-169.566578886E-03,+348.621226782E-03,+352.905146334E-03
-10.840000E-06,-185.584166655E-03,+351.868714184E-03,+352.905146334E-03
-10.838000E-06,-171.827885394E-03,+351.843588556E-03,+352.905146334E-03
-10.836000E-06,-181.438438057E-03,+351.805900114E-03,+352.905146334E-03
-10.834000E-06,-194.001251992E-03,+351.140070976E-03,+352.905146334E-03
-10.832000E-06,-176.727382830E-03,+349.745598629E-03,+352.905146334E-03
-10.830000E-06,-184.641955609E-03,+350.612432791E-03,+352.905146334E-03
-10.828000E-06,-184.704769680E-03,+351.874995591E-03,+352.905146334E-03
-10.826000E-06,-181.689694334E-03,+350.191578524E-03,+344.864945415E-03
-10.824000E-06,-183.008789797E-03,+349.946603652E-03,+356.121226702E-03
-10.822000E-06,-176.538940621E-03,+349.607407676E-03,+352.905146334E-03
-10.820000E-06,-185.270096307E-03,+350.423990581E-03,+344.864945415E-03
-10.818000E-06,-173.461051207E-03,+348.709166479E-03,+344.864945415E-03
-10.816000E-06,-171.953513535E-03,+350.248111186E-03,+352.905146334E-03
-10.814000E-06,-176.350498411E-03,+348.395096131E-03,+352.905146334E-03
-10.812000E-06,-167.242458308E-03,+348.702885072E-03,+352.905146334E-03
-10.810000E-06,-170.822860280E-03,+345.681528321E-03,+344.864945415E-03
-10.808000E-06,-167.179644239E-03,+349.381277025E-03,+352.905146334E-03
-10.806000E-06,-159.704769947E-03,+347.126251923E-03,+344.864945415E-03
-10.804000E-06,-150.282659496E-03,+348.307156433E-03,+352.905146334E-03
-10.802000E-06,-172.393212022E-03,+344.255648939E-03,+344.864945415E-03
-10.800000E-06,-168.938438190E-03,+347.408915237E-03,+352.905146334E-03
