x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-169.566578887E-03,+361.730523124E-03,+368.985548172E-03
-10.918000E-06,-175.282659227E-03,+359.858663847E-03,+360.945347253E-03
-10.916000E-06,-181.438438056E-03,+360.712935195E-03,+364.161427620E-03
-10.914000E-06,-191.488689205E-03,+359.469216615E-03,+360.945347253E-03
-10.912000E-06,-167.744970866E-03,+361.127508055E-03,+362.553387437E-03
-10.910000E-06,-178.674618990E-03,+358.024493013E-03,+360.945347253E-03
-10.908000E-06,-162.405774943E-03,+358.815950291E-03,+360.945347253E-03
-10.906000E-06,-192.054015832E-03,+357.798362362E-03,+360.945347253E-03
-10.904000E-06,-158.134418205E-03,+358.307156326E-03,+360.945347253E-03
-10.902000E-06,-161.652006107E-03,+357.390070909E-03,+367.377507988E-03
-10.900000E-06,-163.599242267E-03,+357.302131211E-03,+360.945347253E-03
-10.898000E-06,-179.365573756E-03,+357.314694025E-03,+360.945347253E-03
-10.896000E-06,-172.141955743E-03,+359.418965360E-03,+368.985548172E-03
-10.894000E-06,-166.174619124E-03,+356.353638759E-03,+360.945347253E-03
-10.892000E-06,-175.910799924E-03,+357.076000561E-03,+367.377507988E-03
-10.890000E-06,-179.616830035E-03,+355.951628713E-03,+360.945347253E-03
-10.888000E-06,-172.958538649E-03,+355.392583493E-03,+367.377507988E-03
-10.886000E-06,-183.071603868E-03,+354.777005610E-03,+360.945347253E-03
-10.884000E-06,-176.853010970E-03,+356.271980469E-03,+360.945347253E-03
-10.882000E-06,-183.951000843E-03,+356.887558351E-03,+359.337307069E-03
-10.880000E-06,-189.038940487E-03,+355.763186504E-03,+360.945347253E-03
-10.878000E-06,-182.569091311E-03,+353.998111146E-03,+360.945347253E-03
-10.876000E-06,-180.119342593E-03,+355.876251830E-03,+352.905146334E-03
-10.874000E-06,-197.330397685E-03,+353.847357379E-03,+352.905146334E-03
-10.872000E-06,-173.209794928E-03,+355.179015656E-03,+360.945347253E-03
-10.870000E-06,-185.270096306E-03,+353.407658891E-03,+352.905146334E-03
-10.868000E-06,-179.491201896E-03,+355.486804598E-03,+359.337307069E-03
-10.866000E-06,-168.624367841E-03,+352.427759404E-03,+352.905146334E-03
-10.864000E-06,-171.513815047E-03,+353.991829739E-03,+360.945347253E-03
-10.862000E-06,-178.674618990E-03,+351.849869963E-03,+352.905146334E-03
-10.860000E-06,-174.277634112E-03,+351.962935289E-03,+352.905146334E-03
-10.858000E-06,-186.086679213E-03,+351.359920220E-03,+346.472985598E-03
-10.856000E-06,-170.760046210E-03,+353.514442810E-03,+360.945347253E-03
-10.854000E-06,-168.624367841E-03,+353.885045821E-03,+352.905146334E-03
-10.852000E-06,-174.403262252E-03,+350.863689069E-03,+360.945347253E-03
-10.850000E-06,-183.071603868E-03,+350.926503139E-03,+344.864945415E-03
-10.848000E-06,-169.943463305E-03,+352.396352369E-03,+360.945347253E-03
-10.846000E-06,-184.453513401E-03,+350.568462942E-03,+352.905146334E-03
-10.844000E-06,-171.199744699E-03,+351.454141324E-03,+352.905146334E-03
-10.842000E-06,-182.003764683E-03,+351.429015696E-03,+352.905146334E-03
-10.840000E-06,-160.144468435E-03,+352.057156393E-03,+352.905146334E-03
-10.838000E-06,-182.506277240E-03,+349.820975512E-03,+352.905146334E-03
-10.836000E-06,-176.853010969E-03,+351.630020719E-03,+352.905146334E-03
-10.834000E-06,-195.697231872E-03,+349.645096117E-03,+352.905146334E-03
-10.832000E-06,-177.920850154E-03,+351.560925243E-03,+352.905146334E-03
-10.830000E-06,-190.609292229E-03,+348.413940352E-03,+352.905146334E-03
-10.828000E-06,-182.443463171E-03,+350.141327268E-03,+352.905146334E-03
-10.826000E-06,-189.101754557E-03,+349.217960444E-03,+344.864945415E-03
-10.824000E-06,-187.028890257E-03,+349.758161443E-03,+356.121226702E-03
-10.822000E-06,-174.528890391E-03,+347.829769504E-03,+352.905146334E-03
-10.820000E-06,-175.219845158E-03,+349.576000641E-03,+344.864945415E-03
-10.818000E-06,-166.865573890E-03,+348.985548386E-03,+344.864945415E-03
-10.816000E-06,-163.222357849E-03,+349.663940338E-03,+352.905146334E-03
-10.814000E-06,-181.124367707E-03,+347.792081062E-03,+352.905146334E-03
-10.812000E-06,-179.239945617E-03,+348.740573514E-03,+352.905146334E-03
-10.810000E-06,-188.096729442E-03,+347.189065993E-03,+344.864945415E-03
-10.808000E-06,-165.860548774E-03,+348.520724270E-03,+352.905146334E-03
-10.806000E-06,-166.802759822E-03,+345.939066006E-03,+344.864945415E-03
-10.804000E-06,-151.978639376E-03,+346.573488110E-03,+352.905146334E-03
-10.802000E-06,-190.169593741E-03,+347.050875040E-03,+344.864945415E-03
-10.800000E-06,-161.714820178E-03,+347.471729307E-03,+352.905146334E-03
-10.798000E-06,-181.375623986E-03,+346.768211726E-03,+346.472985598E-03
-10.796000E-06,-182.066578752E-03,+345.983035855E-03,+352.905146334E-03
-10.794000E-06,-182.255020961E-03,+345.876251937E-03,+344.864945415E-03
-10.792000E-06,-162.719845292E-03,+345.511930333E-03,+352.905146334E-03
-10.790000E-06,-177.104267248E-03,+346.246854948E-03,+344.864945415E-03
-10.788000E-06,-179.742458176E-03,+346.246854948E-03,+352.905146334E-03
-10.786000E-06,-180.056528524E-03,+343.552131359E-03,+340.040824863E-03
-10.784000E-06,-176.162056203E-03,+345.989317262E-03,+348.081025783E-03
-10.782000E-06,-169.817835165E-03,+344.670221799E-03,+344.864945415E-03
-10.780000E-06,-162.342960874E-03,+344.959166520E-03,+344.864945415E-03
-10.778000E-06,-175.596729576E-03,+344.864945415E-03,+344.864945415E-03
-10.776000E-06,-166.488689473E-03,+344.519468032E-03,+348.081025782E-03
-10.774000E-06,-176.099242134E-03,+344.858664008E-03,+344.864945415E-03
-10.772000E-06,-178.297734573E-03,+343.853638893E-03,+344.864945415E-03
-10.770000E-06,-195.948488150E-03,+343.263186638E-03,+336.824744497E-03
-10.768000E-06,-166.363061333E-03,+343.972985625E-03,+352.905146334E-03
-10.766000E-06,-166.048990983E-03,+343.351126336E-03,+344.864945415E-03
-10.764000E-06,-158.762558902E-03,+343.684040905E-03,+344.864945415E-03
-10.762000E-06,-184.265071190E-03,+344.130020800E-03,+343.256905230E-03
-10.760000E-06,-170.822860282E-03,+344.048362509E-03,+344.864945415E-03
-10.758000E-06,-165.797734706E-03,+342.471729360E-03,+344.864945415E-03
-10.756000E-06,-172.204769812E-03,+343.834794672E-03,+344.864945415E-03
