x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-174.905774809E-03,+359.029518127E-03,+368.985548172E-03
-10.918000E-06,-177.669593875E-03,+359.004392500E-03,+360.945347253E-03
-10.916000E-06,-189.918337463E-03,+359.858663847E-03,+364.161427620E-03
-10.914000E-06,-163.976126685E-03,+357.484292013E-03,+360.945347253E-03
-10.912000E-06,-188.410799790E-03,+357.233035735E-03,+362.553387437E-03
-10.910000E-06,-173.021352719E-03,+357.961678943E-03,+360.945347253E-03
-10.908000E-06,-193.561553504E-03,+359.016955314E-03,+360.945347253E-03
-10.906000E-06,-187.217332466E-03,+357.810925176E-03,+360.945347253E-03
-10.904000E-06,-187.342960606E-03,+357.729266885E-03,+360.945347253E-03
-10.902000E-06,-193.247483156E-03,+357.553387490E-03,+367.377507988E-03
-10.900000E-06,-187.782659094E-03,+358.998111093E-03,+360.945347253E-03
-10.898000E-06,-193.875623852E-03,+357.013186491E-03,+360.945347253E-03
-10.896000E-06,-187.657030954E-03,+357.779518141E-03,+368.985548172E-03
-10.894000E-06,-175.219845158E-03,+357.679015629E-03,+360.945347253E-03
-10.892000E-06,-200.094216750E-03,+356.246854841E-03,+367.377507988E-03
-10.890000E-06,-180.873111429E-03,+355.888814644E-03,+360.945347253E-03
-10.888000E-06,-191.300246996E-03,+354.846101087E-03,+367.377507988E-03
-10.886000E-06,-170.885674350E-03,+356.096101074E-03,+360.945347253E-03
-10.884000E-06,-184.767583749E-03,+356.768211619E-03,+360.945347253E-03
-10.882000E-06,-183.574116425E-03,+355.179015656E-03,+359.337307069E-03
-10.880000E-06,-168.938438190E-03,+353.753136274E-03,+360.945347253E-03
-10.878000E-06,-158.636930762E-03,+354.331025716E-03,+360.945347253E-03
-10.876000E-06,-183.511302355E-03,+355.241829726E-03,+352.905146334E-03
-10.874000E-06,-172.958538649E-03,+353.483035775E-03,+352.905146334E-03
-10.872000E-06,-178.925875269E-03,+353.784543309E-03,+360.945347253E-03
-10.870000E-06,-179.930900383E-03,+354.098613658E-03,+352.905146334E-03
-10.868000E-06,-179.930900384E-03,+353.244342310E-03,+359.337307069E-03
-10.866000E-06,-169.315322607E-03,+354.469216669E-03,+352.905146334E-03
-10.864000E-06,-172.267583883E-03,+354.016955367E-03,+360.945347253E-03
