x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-174.277634113E-03,+359.029518128E-03,+368.985548172E-03
-10.918000E-06,-172.079141674E-03,+358.778261849E-03,+360.945347253E-03
-10.916000E-06,-175.910799924E-03,+358.979266872E-03,+364.161427620E-03
-10.914000E-06,-161.275121689E-03,+358.778261849E-03,+360.945347253E-03
-10.912000E-06,-179.302759687E-03,+358.068462861E-03,+362.553387437E-03
-10.910000E-06,-193.749995713E-03,+357.459166386E-03,+360.945347253E-03
-10.908000E-06,-176.350498412E-03,+358.847357325E-03,+360.945347253E-03
-10.906000E-06,-180.119342593E-03,+357.917709094E-03,+360.945347253E-03
-10.904000E-06,-173.146980858E-03,+357.471729199E-03,+360.945347253E-03
-10.902000E-06,-188.222357581E-03,+357.509417641E-03,+367.377507988E-03
-10.900000E-06,-169.880649235E-03,+357.019467898E-03,+360.945347253E-03
-10.898000E-06,-182.129392822E-03,+355.744342283E-03,+360.945347253E-03
-10.896000E-06,-185.835422933E-03,+358.702884965E-03,+368.985548172E-03
-10.894000E-06,-192.493714319E-03,+357.295849804E-03,+360.945347253E-03
-10.892000E-06,-170.069091444E-03,+357.295849804E-03,+367.377507988E-03
-10.890000E-06,-170.508789932E-03,+354.820975459E-03,+360.945347253E-03
-10.888000E-06,-172.895724580E-03,+357.214191514E-03,+367.377507988E-03
-10.886000E-06,-179.868086314E-03,+354.864945308E-03,+360.945347253E-03
-10.884000E-06,-184.956025958E-03,+355.913940271E-03,+360.945347253E-03
-10.882000E-06,-171.451000977E-03,+354.224241797E-03,+359.337307069E-03
-10.880000E-06,-174.591704461E-03,+354.506905111E-03,+360.945347253E-03
-10.878000E-06,-191.677131414E-03,+354.462935262E-03,+360.945347253E-03
-10.876000E-06,-178.863061199E-03,+355.028261889E-03,+352.905146334E-03
-10.874000E-06,-162.657031222E-03,+353.891327228E-03,+352.905146334E-03
-10.872000E-06,-169.943463305E-03,+353.753136274E-03,+360.945347253E-03
-10.870000E-06,-180.559041080E-03,+353.815950344E-03,+352.905146334E-03
-10.868000E-06,-171.199744698E-03,+353.809668937E-03,+359.337307069E-03
-10.866000E-06,-190.106779672E-03,+352.521980509E-03,+352.905146334E-03
-10.864000E-06,-179.365573757E-03,+351.893839812E-03,+360.945347253E-03
-10.862000E-06,-198.523865008E-03,+353.011930252E-03,+352.905146334E-03
-10.860000E-06,-192.179643971E-03,+352.591075985E-03,+352.905146334E-03
-10.858000E-06,-188.536427930E-03,+351.353638813E-03,+346.472985598E-03
-10.856000E-06,-183.197232007E-03,+352.503136288E-03,+360.945347253E-03
-10.854000E-06,-190.043965602E-03,+350.763186558E-03,+352.905146334E-03
-10.852000E-06,-176.224870274E-03,+352.942834776E-03,+360.945347253E-03
-10.850000E-06,-197.518839893E-03,+351.114945348E-03,+344.864945415E-03
-10.848000E-06,-190.295221881E-03,+352.145096091E-03,+360.945347253E-03
-10.846000E-06,-185.270096307E-03,+351.755648859E-03,+352.905146334E-03
-10.844000E-06,-170.069091445E-03,+350.656402639E-03,+352.905146334E-03
-10.842000E-06,-179.679644105E-03,+349.883789582E-03,+352.905146334E-03
-10.840000E-06,-171.136930629E-03,+350.895096104E-03,+352.905146334E-03
-10.838000E-06,-177.732407945E-03,+350.417709174E-03,+352.905146334E-03
-10.836000E-06,-190.923362578E-03,+351.215447859E-03,+352.905146334E-03
-10.834000E-06,-187.594216885E-03,+348.746854921E-03,+352.905146334E-03
-10.832000E-06,-178.925875269E-03,+350.078513198E-03,+352.905146334E-03
-10.830000E-06,-200.659543377E-03,+349.576000641E-03,+352.905146334E-03
-10.828000E-06,-168.247483423E-03,+350.932784546E-03,+352.905146334E-03
-10.826000E-06,-169.378136679E-03,+349.136302153E-03,+344.864945415E-03
-10.824000E-06,-162.531403082E-03,+348.709166479E-03,+356.121226702E-03
-10.822000E-06,-181.312809916E-03,+348.457910201E-03,+352.905146334E-03
-10.820000E-06,-180.559041080E-03,+348.162684073E-03,+344.864945415E-03
-10.818000E-06,-182.506277240E-03,+348.470473014E-03,+344.864945415E-03
-10.816000E-06,-191.237432926E-03,+347.930272015E-03,+352.905146334E-03
-10.814000E-06,-204.365573487E-03,+348.514442863E-03,+352.905146334E-03
-10.812000E-06,-174.466076322E-03,+347.792081062E-03,+352.905146334E-03
-10.810000E-06,-179.616830035E-03,+345.618714251E-03,+344.864945415E-03
-10.808000E-06,-184.830397819E-03,+348.508161456E-03,+352.905146334E-03
-10.806000E-06,-193.121855017E-03,+348.263186585E-03,+344.864945415E-03
-10.804000E-06,-184.516327470E-03,+346.466704192E-03,+352.905146334E-03
-10.802000E-06,-172.518840162E-03,+346.416452936E-03,+344.864945415E-03
-10.800000E-06,-174.591704460E-03,+347.346101167E-03,+352.905146334E-03
-10.798000E-06,-172.958538648E-03,+347.289568505E-03,+346.472985598E-03
-10.796000E-06,-178.863061199E-03,+346.705397656E-03,+352.905146334E-03
-10.794000E-06,-195.508789663E-03,+344.978010740E-03,+344.864945415E-03
-10.792000E-06,-176.915825039E-03,+345.461679077E-03,+352.905146334E-03
-10.790000E-06,-182.757533521E-03,+345.241829833E-03,+344.864945415E-03
-10.788000E-06,-175.471101437E-03,+346.102382588E-03,+352.905146334E-03
-10.786000E-06,-183.511302355E-03,+344.387558485E-03,+340.040824863E-03
-10.784000E-06,-187.719845024E-03,+345.380020786E-03,+348.081025783E-03
-10.782000E-06,-181.752508404E-03,+344.626251950E-03,+344.864945415E-03
-10.780000E-06,-186.840448048E-03,+344.079769544E-03,+344.864945415E-03
-10.778000E-06,-182.883161659E-03,+343.062181615E-03,+344.864945415E-03
-10.776000E-06,-172.707282370E-03,+343.746854975E-03,+348.081025782E-03
-10.774000E-06,-182.883161658E-03,+344.400121299E-03,+344.864945415E-03
-10.772000E-06,-178.297734572E-03,+343.420221812E-03,+344.864945415E-03
-10.770000E-06,-194.692206757E-03,+342.666452976E-03,+336.824744497E-03
-10.768000E-06,-171.639443186E-03,+344.418965520E-03,+352.905146334E-03
-10.766000E-06,-186.337935491E-03,+342.760674081E-03,+344.864945415E-03
-10.764000E-06,-193.875623851E-03,+342.930272069E-03,+344.864945415E-03
-10.762000E-06,-182.192206892E-03,+340.380020840E-03,+343.256905230E-03
-10.760000E-06,-192.179643970E-03,+342.289568558E-03,+344.864945415E-03
-10.758000E-06,-193.247483155E-03,+343.024493173E-03,+344.864945415E-03
-10.756000E-06,-190.358035951E-03,+342.823488150E-03,+344.864945415E-03
-10.754000E-06,-171.890699467E-03,+342.578513279E-03,+336.824744496E-03
-10.752000E-06,-178.548990850E-03,+341.096101234E-03,+351.297106149E-03
-10.750000E-06,-182.129392823E-03,+340.216704259E-03,+344.864945415E-03
-10.748000E-06,-180.244970732E-03,+341.498111280E-03,+344.864945415E-03
-10.746000E-06,-186.589191771E-03,+340.744342444E-03,+336.824744496E-03
-10.744000E-06,-173.021352719E-03,+341.793337408E-03,+349.689065965E-03
-10.742000E-06,-179.491201896E-03,+340.511930386E-03,+344.864945415E-03
-10.740000E-06,-178.674618991E-03,+340.373739433E-03,+336.824744497E-03
