x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-184.641955610E-03,+348.822231805E-03,+368.985548172E-03
-10.918000E-06,-194.817834898E-03,+349.839819733E-03,+360.945347253E-03
-10.916000E-06,-180.621855150E-03,+348.175246887E-03,+364.161427620E-03
-10.914000E-06,-182.820347589E-03,+347.603638853E-03,+360.945347253E-03
-10.912000E-06,-190.546478159E-03,+347.603638853E-03,+362.553387437E-03
-10.910000E-06,-164.541453312E-03,+348.822231805E-03,+360.945347253E-03
-10.908000E-06,-187.468588745E-03,+347.119970516E-03,+360.945347253E-03
-10.906000E-06,-182.255020962E-03,+347.113689109E-03,+360.945347253E-03
-10.904000E-06,-156.438438324E-03,+345.989317262E-03,+360.945347253E-03
-10.902000E-06,-187.531402815E-03,+346.717960470E-03,+367.377507988E-03
-10.900000E-06,-187.154518397E-03,+345.807156460E-03,+360.945347253E-03
-10.898000E-06,-186.086679212E-03,+346.799618761E-03,+360.945347253E-03
-10.896000E-06,-173.523865276E-03,+346.724241877E-03,+368.985548172E-03
-10.894000E-06,-184.767583749E-03,+345.750623797E-03,+360.945347253E-03
-10.892000E-06,-181.626880265E-03,+345.417709228E-03,+367.377507988E-03
-10.890000E-06,-175.847985854E-03,+346.372483087E-03,+360.945347253E-03
-10.888000E-06,-174.466076322E-03,+343.690322312E-03,+367.377507988E-03
-10.886000E-06,-175.847985854E-03,+345.593588623E-03,+360.945347253E-03
-10.884000E-06,-194.566578618E-03,+343.457910254E-03,+360.945347253E-03
-10.882000E-06,-175.910799924E-03,+346.290824797E-03,+359.337307069E-03
-10.880000E-06,-164.855523661E-03,+344.331025823E-03,+360.945347253E-03
-10.878000E-06,-162.091704595E-03,+345.266955461E-03,+360.945347253E-03
-10.876000E-06,-185.772608864E-03,+345.034543403E-03,+352.905146334E-03
-10.874000E-06,-172.204769813E-03,+344.029518288E-03,+352.905146334E-03
-10.872000E-06,-198.461050939E-03,+342.974241918E-03,+360.945347253E-03
-10.870000E-06,-185.898237003E-03,+344.550875066E-03,+352.905146334E-03
-10.868000E-06,-189.353010836E-03,+344.287055974E-03,+359.337307069E-03
-10.866000E-06,-177.920850154E-03,+344.607407729E-03,+352.905146334E-03
-10.864000E-06,-190.672106299E-03,+343.426503219E-03,+360.945347253E-03
-10.862000E-06,-175.408287367E-03,+343.457910254E-03,+352.905146334E-03
-10.860000E-06,-191.237432926E-03,+344.393839892E-03,+352.905146334E-03
-10.858000E-06,-192.556528390E-03,+343.702885126E-03,+346.472985598E-03
-10.856000E-06,-186.589191770E-03,+342.396352476E-03,+360.945347253E-03
-10.854000E-06,-184.453513400E-03,+341.787056001E-03,+352.905146334E-03
-10.852000E-06,-195.697231873E-03,+342.176503233E-03,+360.945347253E-03
-10.850000E-06,-186.840448048E-03,+342.101126349E-03,+344.864945415E-03
-10.848000E-06,-187.280146536E-03,+341.202885153E-03,+360.945347253E-03
-10.846000E-06,-180.810297359E-03,+341.228010780E-03,+352.905146334E-03
-10.844000E-06,-185.772608864E-03,+342.622483127E-03,+352.905146334E-03
-10.842000E-06,-173.272608997E-03,+340.995598723E-03,+352.905146334E-03
-10.840000E-06,-198.146980591E-03,+341.598613792E-03,+352.905146334E-03
-10.838000E-06,-176.224870272E-03,+340.813437921E-03,+352.905146334E-03
-10.836000E-06,-186.526377700E-03,+340.650121339E-03,+352.905146334E-03
-10.834000E-06,-192.870598737E-03,+339.136302260E-03,+352.905146334E-03
-10.832000E-06,-196.262558500E-03,+340.103638933E-03,+352.905146334E-03
-10.830000E-06,-182.129392822E-03,+340.185297224E-03,+352.905146334E-03
-10.828000E-06,-186.652005839E-03,+338.439066087E-03,+352.905146334E-03
-10.826000E-06,-175.157031088E-03,+339.255648993E-03,+344.864945415E-03
-10.824000E-06,-181.564066195E-03,+338.947860051E-03,+356.121226702E-03
-10.822000E-06,-186.275121421E-03,+339.349870097E-03,+352.905146334E-03
-10.820000E-06,-185.898237003E-03,+339.871226875E-03,+344.864945415E-03
-10.818000E-06,-176.099242133E-03,+337.465448007E-03,+344.864945415E-03
-10.816000E-06,-183.825372703E-03,+338.219216843E-03,+352.905146334E-03
-10.814000E-06,-180.433412941E-03,+338.476754529E-03,+352.905146334E-03
-10.812000E-06,-205.496226743E-03,+338.809669098E-03,+352.905146334E-03
-10.810000E-06,-176.476126552E-03,+338.457910308E-03,+344.864945415E-03
-10.808000E-06,-186.023865142E-03,+337.949116343E-03,+352.905146334E-03
-10.806000E-06,-186.589191770E-03,+337.704141471E-03,+344.864945415E-03
-10.804000E-06,-184.704769679E-03,+337.251880170E-03,+352.905146334E-03
-10.802000E-06,-187.028890257E-03,+337.722985692E-03,+344.864945415E-03
-10.800000E-06,-185.584166655E-03,+337.672734437E-03,+352.905146334E-03
-10.798000E-06,-187.594216884E-03,+338.250623878E-03,+346.472985598E-03
-10.796000E-06,-179.365573757E-03,+337.716704285E-03,+352.905146334E-03
-10.794000E-06,-172.644468301E-03,+337.032030926E-03,+344.864945415E-03
-10.792000E-06,-182.380649101E-03,+336.648865101E-03,+352.905146334E-03
-10.790000E-06,-180.244970732E-03,+336.730523392E-03,+344.864945415E-03
-10.788000E-06,-181.940950614E-03,+337.176503286E-03,+352.905146334E-03
-10.786000E-06,-171.451000977E-03,+337.653890216E-03,+340.040824863E-03
-10.784000E-06,-180.998739569E-03,+335.141327429E-03,+348.081025783E-03
-10.782000E-06,-167.933413076E-03,+336.152633951E-03,+344.864945415E-03
-10.780000E-06,-176.476126552E-03,+336.730523391E-03,+344.864945415E-03
-10.778000E-06,-187.531402815E-03,+336.108664102E-03,+344.864945415E-03
-10.776000E-06,-186.149493282E-03,+336.140071137E-03,+348.081025782E-03
-10.774000E-06,-166.865573890E-03,+336.083538474E-03,+344.864945415E-03
-10.772000E-06,-161.337935760E-03,+336.045850032E-03,+344.864945415E-03
-10.770000E-06,-177.732407945E-03,+335.851126416E-03,+336.824744497E-03
-10.768000E-06,-180.119342592E-03,+334.632533464E-03,+352.905146334E-03
-10.766000E-06,-180.810297359E-03,+335.166453057E-03,+344.864945415E-03
-10.764000E-06,-185.207282239E-03,+333.885046035E-03,+344.864945415E-03
-10.762000E-06,-179.302759686E-03,+335.298362603E-03,+343.256905230E-03
-10.760000E-06,-191.551503274E-03,+333.275749559E-03,+344.864945415E-03
-10.758000E-06,-181.438438055E-03,+333.677759605E-03,+344.864945415E-03
-10.756000E-06,-202.920849886E-03,+332.672734490E-03,+344.864945415E-03
-10.754000E-06,-183.888186774E-03,+333.803387744E-03,+336.824744496E-03
-10.752000E-06,-185.458538515E-03,+333.451628954E-03,+351.297106149E-03
-10.750000E-06,-180.244970733E-03,+333.464191768E-03,+344.864945415E-03
-10.748000E-06,-192.179643971E-03,+332.980523432E-03,+344.864945415E-03
-10.746000E-06,-191.677131413E-03,+332.434041025E-03,+336.824744496E-03
-10.744000E-06,-195.508789664E-03,+334.148865128E-03,+349.689065965E-03
-10.742000E-06,-194.252508270E-03,+332.025749573E-03,+344.864945415E-03
