x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-171.765071325E-03,+357.647608595E-03,+368.985548172E-03
-10.918000E-06,-185.018840028E-03,+357.565950304E-03,+360.945347253E-03
-10.916000E-06,-180.747483289E-03,+359.764442743E-03,+364.161427620E-03
-10.914000E-06,-183.385674216E-03,+358.351126175E-03,+360.945347253E-03
-10.912000E-06,-178.486176781E-03,+359.374995511E-03,+362.553387437E-03
-10.910000E-06,-190.923362577E-03,+357.490573420E-03,+360.945347253E-03
-10.908000E-06,-178.674618990E-03,+357.484292013E-03,+360.945347253E-03
-10.906000E-06,-190.420850020E-03,+357.792080955E-03,+360.945347253E-03
-10.904000E-06,-188.850498278E-03,+355.530774446E-03,+360.945347253E-03
-10.902000E-06,-180.056528523E-03,+355.336050830E-03,+367.377507988E-03
-10.900000E-06,-176.476126551E-03,+355.826000574E-03,+360.945347253E-03
-10.898000E-06,-167.054016099E-03,+356.630020666E-03,+360.945347253E-03
-10.896000E-06,-181.061553638E-03,+354.833538273E-03,+368.985548172E-03
-10.894000E-06,-178.046478293E-03,+356.027005597E-03,+360.945347253E-03
-10.892000E-06,-185.646980724E-03,+356.623739259E-03,+367.377507988E-03
-10.890000E-06,-164.541453312E-03,+356.611176445E-03,+360.945347253E-03
-10.888000E-06,-187.845473163E-03,+355.417709121E-03,+367.377507988E-03
-10.886000E-06,-180.244970732E-03,+355.467960377E-03,+360.945347253E-03
-10.884000E-06,-176.413312482E-03,+355.624995551E-03,+360.945347253E-03
-10.882000E-06,-192.493714319E-03,+353.985548332E-03,+359.337307069E-03
-10.880000E-06,-195.320347455E-03,+354.287055867E-03,+360.945347253E-03
-10.878000E-06,-176.978639109E-03,+354.456653855E-03,+360.945347253E-03
-10.876000E-06,-204.239945349E-03,+354.550874959E-03,+352.905146334E-03
-10.874000E-06,-183.322860146E-03,+354.079769437E-03,+352.905146334E-03
-10.872000E-06,-180.307784802E-03,+353.068462915E-03,+360.945347253E-03
-10.870000E-06,-180.873111429E-03,+354.287055867E-03,+352.905146334E-03
-10.868000E-06,-193.121855016E-03,+352.905146334E-03,+359.337307069E-03
-10.866000E-06,-172.581654231E-03,+352.817206636E-03,+352.905146334E-03
-10.864000E-06,-178.423362712E-03,+353.709166426E-03,+360.945347253E-03
-10.862000E-06,-169.126880399E-03,+353.011930252E-03,+352.905146334E-03
-10.860000E-06,-195.006277107E-03,+353.282030752E-03,+352.905146334E-03
-10.858000E-06,-187.468588745E-03,+352.798362415E-03,+346.472985598E-03
-10.856000E-06,-200.659543377E-03,+352.754392567E-03,+360.945347253E-03
-10.854000E-06,-183.385674216E-03,+352.346101114E-03,+352.905146334E-03
-10.852000E-06,-184.076628983E-03,+352.245598602E-03,+360.945347253E-03
-10.850000E-06,-188.410799790E-03,+351.994342323E-03,+344.864945415E-03
-10.848000E-06,-186.526377700E-03,+352.415196590E-03,+360.945347253E-03
-10.846000E-06,-186.149493281E-03,+351.516955394E-03,+352.905146334E-03
-10.844000E-06,-167.744970866E-03,+352.377508148E-03,+352.905146334E-03
-10.842000E-06,-163.599242267E-03,+350.844844848E-03,+352.905146334E-03
-10.840000E-06,-195.634417803E-03,+351.240573487E-03,+352.905146334E-03
-10.838000E-06,-174.717332601E-03,+349.111176525E-03,+352.905146334E-03
-10.836000E-06,-164.415825172E-03,+350.932784546E-03,+352.905146334E-03
-10.834000E-06,-173.084166788E-03,+350.361176512E-03,+352.905146334E-03
-10.832000E-06,-180.810297359E-03,+349.607407676E-03,+352.905146334E-03
-10.830000E-06,-177.104267249E-03,+348.508161456E-03,+352.905146334E-03
-10.828000E-06,-196.702256989E-03,+349.444091094E-03,+352.905146334E-03
-10.826000E-06,-170.257533652E-03,+347.930272015E-03,+344.864945415E-03
