x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-176.162056203E-03,+359.029518127E-03,+368.985548172E-03
-10.918000E-06,-182.506277240E-03,+359.745598522E-03,+360.945347253E-03
-10.916000E-06,-186.212307352E-03,+358.734292000E-03,+364.161427620E-03
-10.914000E-06,-184.704769679E-03,+358.878764360E-03,+360.945347253E-03
-10.912000E-06,-182.317835031E-03,+361.491829659E-03,+362.553387437E-03
-10.910000E-06,-185.584166655E-03,+359.060925162E-03,+360.945347253E-03
-10.908000E-06,-168.875624120E-03,+357.817206583E-03,+360.945347253E-03
-10.906000E-06,-176.036428064E-03,+357.798362362E-03,+360.945347253E-03
-10.904000E-06,-195.508789664E-03,+358.771980442E-03,+360.945347253E-03
-10.902000E-06,-159.830398086E-03,+357.967960350E-03,+367.377507988E-03
-10.900000E-06,-177.732407945E-03,+357.364945281E-03,+360.945347253E-03
-10.898000E-06,-168.687181911E-03,+357.766955327E-03,+360.945347253E-03
-10.896000E-06,-192.870598738E-03,+356.981779456E-03,+368.985548172E-03
-10.894000E-06,-178.297734572E-03,+357.082281967E-03,+360.945347253E-03
-10.892000E-06,-177.481151666E-03,+356.812181468E-03,+367.377507988E-03
-10.890000E-06,-166.111805054E-03,+355.888814644E-03,+360.945347253E-03
-10.888000E-06,-176.853010969E-03,+356.717960363E-03,+367.377507988E-03
-10.886000E-06,-178.046478293E-03,+356.127508108E-03,+360.945347253E-03
-10.884000E-06,-175.219845158E-03,+355.486804598E-03,+360.945347253E-03
-10.882000E-06,-165.420850288E-03,+356.184040771E-03,+359.337307069E-03
-10.880000E-06,-163.285171919E-03,+356.359920166E-03,+360.945347253E-03
-10.878000E-06,-151.601754958E-03,+353.841075972E-03,+360.945347253E-03
-10.876000E-06,-161.149493549E-03,+354.890070936E-03,+352.905146334E-03
-10.874000E-06,-166.802759821E-03,+354.940322191E-03,+352.905146334E-03
-10.872000E-06,-163.976126685E-03,+354.274493053E-03,+360.945347253E-03
-10.870000E-06,-171.451000977E-03,+353.219216682E-03,+352.905146334E-03
-10.868000E-06,-181.249995847E-03,+354.500623704E-03,+359.337307069E-03
-10.866000E-06,-182.003764683E-03,+353.099869950E-03,+352.905146334E-03
-10.864000E-06,-171.388186908E-03,+355.380020679E-03,+360.945347253E-03
-10.862000E-06,-182.380649101E-03,+352.923990555E-03,+352.905146334E-03
-10.860000E-06,-169.252508538E-03,+352.810925229E-03,+352.905146334E-03
-10.858000E-06,-162.154518664E-03,+353.282030752E-03,+346.472985598E-03
-10.856000E-06,-188.410799790E-03,+352.773236787E-03,+360.945347253E-03
-10.854000E-06,-172.518840162E-03,+351.805900114E-03,+352.905146334E-03
-10.852000E-06,-158.448488554E-03,+351.353638813E-03,+360.945347253E-03
-10.850000E-06,-193.435925365E-03,+352.277005637E-03,+344.864945415E-03
-10.848000E-06,-183.762558635E-03,+352.308412672E-03,+360.945347253E-03
