x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-186.212307352E-03,+356.642583480E-03,+368.985548172E-03
-10.918000E-06,-182.317835031E-03,+358.646352302E-03,+360.945347253E-03
-10.916000E-06,-171.953513534E-03,+357.082281967E-03,+364.161427620E-03
-10.914000E-06,-166.174619124E-03,+356.554643782E-03,+360.945347253E-03
-10.912000E-06,-181.187181777E-03,+355.813437760E-03,+362.553387437E-03
-10.910000E-06,-193.435925365E-03,+358.778261849E-03,+360.945347253E-03
-10.908000E-06,-180.433412941E-03,+357.547106083E-03,+360.945347253E-03
-10.906000E-06,-167.430900517E-03,+356.027005597E-03,+360.945347253E-03
-10.904000E-06,-176.224870273E-03,+354.180271948E-03,+360.945347253E-03
-10.902000E-06,-194.692206758E-03,+356.893839758E-03,+367.377507988E-03
-10.900000E-06,-169.880649235E-03,+356.391327201E-03,+360.945347253E-03
-10.898000E-06,-183.322860146E-03,+353.828513158E-03,+360.945347253E-03
-10.896000E-06,-171.325372838E-03,+354.569719180E-03,+368.985548172E-03
-10.894000E-06,-183.762558634E-03,+357.258161363E-03,+360.945347253E-03
-10.892000E-06,-162.280146804E-03,+354.356151343E-03,+367.377507988E-03
-10.890000E-06,-169.252508538E-03,+354.255648832E-03,+360.945347253E-03
-10.888000E-06,-189.918337462E-03,+353.351126229E-03,+367.377507988E-03
-10.886000E-06,-190.483664090E-03,+355.317206609E-03,+360.945347253E-03
-10.884000E-06,-160.018840295E-03,+353.897608635E-03,+360.945347253E-03
-10.882000E-06,-170.320347723E-03,+353.947859890E-03,+359.337307069E-03
-10.880000E-06,-200.659543377E-03,+352.559668951E-03,+360.945347253E-03
-10.878000E-06,-207.757533252E-03,+353.922734263E-03,+360.945347253E-03
-10.876000E-06,-184.704769679E-03,+352.377508149E-03,+352.905146334E-03
-10.874000E-06,-168.687181911E-03,+352.452885032E-03,+352.905146334E-03
-10.872000E-06,-186.903262118E-03,+352.886302113E-03,+360.945347253E-03
-10.870000E-06,-199.717332332E-03,+353.690322205E-03,+352.905146334E-03
-10.868000E-06,-170.634418071E-03,+352.609920206E-03,+359.337307069E-03
-10.866000E-06,-164.792709591E-03,+351.743086045E-03,+352.905146334E-03
-10.864000E-06,-182.192206892E-03,+349.996854908E-03,+360.945347253E-03
-10.862000E-06,-182.506277240E-03,+352.270724230E-03,+352.905146334E-03
-10.860000E-06,-178.674618990E-03,+351.366201627E-03,+352.905146334E-03
-10.858000E-06,-163.222357849E-03,+351.303387557E-03,+346.472985598E-03
-10.856000E-06,-180.998739568E-03,+350.530774500E-03,+360.945347253E-03
-10.854000E-06,-197.393211754E-03,+352.107407649E-03,+352.905146334E-03
-10.852000E-06,-183.260046076E-03,+350.386302140E-03,+360.945347253E-03
-10.850000E-06,-187.468588745E-03,+350.895096104E-03,+344.864945415E-03
-10.848000E-06,-181.312809916E-03,+350.650121232E-03,+360.945347253E-03
-10.846000E-06,-190.043965602E-03,+350.857407662E-03,+352.905146334E-03
-10.844000E-06,-183.197232007E-03,+351.579769464E-03,+352.905146334E-03
-10.842000E-06,-180.747483290E-03,+350.530774500E-03,+352.905146334E-03
-10.840000E-06,-185.584166655E-03,+350.329769477E-03,+352.905146334E-03
-10.838000E-06,-205.747483022E-03,+350.637558418E-03,+352.905146334E-03
-10.836000E-06,-165.986176914E-03,+349.104895118E-03,+352.905146334E-03
-10.834000E-06,-158.762558902E-03,+349.186553409E-03,+352.905146334E-03
-10.832000E-06,-173.963563764E-03,+347.993086085E-03,+352.905146334E-03
-10.830000E-06,-182.129392822E-03,+350.078513198E-03,+352.905146334E-03
-10.828000E-06,-181.689694334E-03,+346.868714238E-03,+352.905146334E-03
-10.826000E-06,-175.471101436E-03,+348.238060957E-03,+344.864945415E-03
-10.824000E-06,-190.923362577E-03,+347.170221772E-03,+356.121226702E-03
-10.822000E-06,-205.056528254E-03,+348.872483060E-03,+352.905146334E-03
-10.820000E-06,-183.385674216E-03,+346.906402680E-03,+344.864945415E-03
-10.818000E-06,-172.707282371E-03,+346.598613738E-03,+344.864945415E-03
-10.816000E-06,-177.920850153E-03,+347.182784586E-03,+352.905146334E-03
-10.814000E-06,-196.953513266E-03,+349.607407676E-03,+352.905146334E-03
-10.812000E-06,-175.533915506E-03,+346.064694146E-03,+352.905146334E-03
-10.810000E-06,-177.104267249E-03,+345.398865007E-03,+344.864945415E-03
-10.808000E-06,-194.001251992E-03,+346.347357459E-03,+352.905146334E-03
-10.806000E-06,-203.611804652E-03,+347.521980562E-03,+344.864945415E-03
-10.804000E-06,-180.810297359E-03,+345.160171542E-03,+352.905146334E-03
-10.802000E-06,-183.197232007E-03,+344.789568531E-03,+344.864945415E-03
-10.800000E-06,-159.516327739E-03,+344.927759485E-03,+352.905146334E-03
-10.798000E-06,-184.767583749E-03,+346.686553436E-03,+346.472985598E-03
-10.796000E-06,-179.302759685E-03,+344.048362509E-03,+352.905146334E-03
-10.794000E-06,-179.239945617E-03,+344.890071043E-03,+344.864945415E-03
-10.792000E-06,-174.026377834E-03,+342.993086139E-03,+352.905146334E-03
-10.790000E-06,-181.815322474E-03,+344.582282101E-03,+344.864945415E-03
-10.788000E-06,-162.657031220E-03,+344.356151451E-03,+352.905146334E-03
-10.786000E-06,-176.790196900E-03,+343.947859998E-03,+340.040824863E-03
-10.784000E-06,-170.634418071E-03,+343.451628847E-03,+348.081025783E-03
-10.782000E-06,-189.604267114E-03,+345.763186611E-03,+344.864945415E-03
-10.780000E-06,-167.996227145E-03,+342.729267046E-03,+344.864945415E-03
-10.778000E-06,-163.473614127E-03,+343.143839906E-03,+344.864945415E-03
-10.776000E-06,-170.320347722E-03,+341.874995698E-03,+348.081025782E-03
-10.774000E-06,-191.488689203E-03,+344.029518288E-03,+344.864945415E-03
-10.772000E-06,-169.503764818E-03,+342.722985639E-03,+344.864945415E-03
-10.770000E-06,-163.913312616E-03,+341.881277105E-03,+336.824744497E-03
-10.768000E-06,-164.290197031E-03,+341.755648966E-03,+352.905146334E-03
-10.766000E-06,-188.976126417E-03,+343.049618801E-03,+344.864945415E-03
-10.764000E-06,-146.576629384E-03,+340.794593700E-03,+344.864945415E-03
-10.762000E-06,-160.458538782E-03,+341.504392687E-03,+343.256905230E-03
-10.760000E-06,-167.682156797E-03,+341.630020827E-03,+344.864945415E-03
-10.758000E-06,-188.787684208E-03,+343.313437894E-03,+344.864945415E-03
-10.756000E-06,-181.187181777E-03,+340.624995712E-03,+344.864945415E-03
-10.754000E-06,-174.842960742E-03,+340.725498223E-03,+336.824744496E-03
-10.752000E-06,-192.744970596E-03,+339.984292201E-03,+351.297106149E-03
-10.750000E-06,-176.476126551E-03,+342.383789662E-03,+344.864945415E-03
-10.748000E-06,-163.033915639E-03,+338.413940459E-03,+344.864945415E-03
-10.746000E-06,-187.154518397E-03,+338.771980656E-03,+336.824744496E-03
-10.744000E-06,-187.908287233E-03,+338.690322366E-03,+349.689065965E-03
-10.742000E-06,-179.805272245E-03,+340.229267073E-03,+344.864945415E-03
-10.740000E-06,-178.674618991E-03,+338.049618855E-03,+336.824744497E-03
-10.738000E-06,-169.503764817E-03,+339.349870097E-03,+336.824744496E-03
-10.736000E-06,-180.496227010E-03,+338.778262063E-03,+344.864945415E-03
-10.734000E-06,-181.752508405E-03,+339.268211806E-03,+344.864945415E-03
-10.732000E-06,-170.508789931E-03,+338.150121366E-03,+338.432784681E-03
-10.730000E-06,-180.244970732E-03,+338.646352516E-03,+328.784543578E-03
-10.728000E-06,-185.018840028E-03,+336.956654042E-03,+344.864945415E-03
-10.726000E-06,-181.249995847E-03,+337.679015844E-03,+344.864945415E-03
-10.724000E-06,-180.182156663E-03,+337.754392727E-03,+344.864945415E-03
-10.722000E-06,-174.905774811E-03,+337.214191728E-03,+335.216704311E-03
-10.720000E-06,-176.790196899E-03,+334.532030953E-03,+344.864945414E-03
-10.718000E-06,-191.174618857E-03,+337.823488204E-03,+336.824744496E-03
-10.716000E-06,-163.662056334E-03,+336.699116357E-03,+344.864945415E-03
-10.714000E-06,-187.091704326E-03,+336.391327415E-03,+336.824744496E-03
-10.712000E-06,-195.194719316E-03,+336.435297264E-03,+343.256905230E-03
-10.710000E-06,-192.179643970E-03,+337.704141471E-03,+336.824744497E-03
-10.708000E-06,-176.601754689E-03,+336.215448020E-03,+336.824744496E-03
-10.706000E-06,-176.915825042E-03,+335.838563602E-03,+336.824744496E-03
-10.704000E-06,-182.003764682E-03,+334.758161604E-03,+336.824744496E-03
-10.702000E-06,-178.423362714E-03,+336.014442997E-03,+336.824744496E-03
-10.700000E-06,-164.227382963E-03,+335.411427928E-03,+336.824744496E-03
-10.698000E-06,-179.491201896E-03,+333.910171663E-03,+330.392583760E-03
-10.696000E-06,-171.576629116E-03,+334.864945522E-03,+344.864945415E-03
-10.694000E-06,-174.152005972E-03,+335.775749532E-03,+336.824744496E-03
-10.692000E-06,-165.483664358E-03,+334.726754569E-03,+336.824744496E-03
-10.690000E-06,-172.079141675E-03,+331.925247061E-03,+328.784543578E-03
-10.688000E-06,-176.036428063E-03,+333.005649059E-03,+336.824744496E-03
-10.686000E-06,-195.069091176E-03,+333.935297291E-03,+336.824744496E-03
-10.684000E-06,-163.662056336E-03,+333.018211874E-03,+336.824744496E-03
-10.682000E-06,-155.056528794E-03,+331.158915411E-03,+328.784543577E-03
-10.680000E-06,-188.096729442E-03,+332.364945549E-03,+336.824744496E-03
-10.678000E-06,-208.699744299E-03,+333.369970664E-03,+336.824744496E-03
-10.676000E-06,-175.282659225E-03,+333.445347548E-03,+336.824744496E-03
-10.674000E-06,-174.528890393E-03,+331.039568678E-03,+328.784543577E-03
-10.672000E-06,-178.486176781E-03,+331.083538527E-03,+336.824744496E-03
-10.670000E-06,-194.064066062E-03,+331.328513399E-03,+336.824744496E-03
-10.668000E-06,-165.797734704E-03,+331.881277213E-03,+335.216704313E-03
-10.666000E-06,-160.709795062E-03,+329.670221959E-03,+328.784543577E-03
-10.664000E-06,-174.403262253E-03,+330.078513412E-03,+336.824744496E-03
-10.662000E-06,-181.249995846E-03,+330.901377725E-03,+336.824744496E-03
-10.660000E-06,-179.302759684E-03,+329.538312413E-03,+336.824744496E-03
-10.658000E-06,-170.508789933E-03,+329.067206891E-03,+328.784543577E-03
-10.656000E-06,-183.448488285E-03,+328.489317450E-03,+336.824744496E-03
-10.654000E-06,-189.918337463E-03,+331.447860132E-03,+332.000623946E-03
-10.652000E-06,-184.641955606E-03,+328.564694333E-03,+336.824744496E-03
-10.650000E-06,-172.707282373E-03,+327.716704393E-03,+328.784543578E-03
-10.648000E-06,-180.935925497E-03,+328.847357647E-03,+336.824744496E-03
-10.646000E-06,-202.481151400E-03,+329.978010901E-03,+336.824744496E-03
-10.644000E-06,-186.589191768E-03,+326.692835057E-03,+332.000623946E-03
-10.642000E-06,-183.888186775E-03,+327.679015951E-03,+328.784543577E-03
