x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-170.194719583E-03,+356.988060863E-03,+368.985548172E-03
-10.918000E-06,-192.305272110E-03,+356.768211619E-03,+360.945347253E-03
-10.916000E-06,-184.139443052E-03,+356.950372421E-03,+364.161427620E-03
-10.914000E-06,-194.189694201E-03,+356.648864887E-03,+360.945347253E-03
-10.912000E-06,-185.584166655E-03,+356.234292027E-03,+362.553387437E-03
-10.910000E-06,-178.988689338E-03,+357.082281967E-03,+360.945347253E-03
-10.908000E-06,-177.732407945E-03,+357.063437747E-03,+360.945347253E-03
-10.906000E-06,-176.601754691E-03,+355.323488016E-03,+360.945347253E-03
-10.904000E-06,-171.576629116E-03,+355.656402586E-03,+360.945347253E-03
-10.902000E-06,-190.797734438E-03,+355.310925203E-03,+367.377507988E-03
-10.900000E-06,-165.483664358E-03,+355.731779469E-03,+360.945347253E-03
-10.898000E-06,-191.425875135E-03,+354.864945308E-03,+360.945347253E-03
-10.896000E-06,-182.003764683E-03,+354.802131238E-03,+368.985548172E-03
-10.894000E-06,-182.443463171E-03,+354.268211646E-03,+360.945347253E-03
-10.892000E-06,-174.152005973E-03,+354.356151343E-03,+367.377507988E-03
-10.890000E-06,-175.533915506E-03,+353.470472961E-03,+360.945347253E-03
-10.888000E-06,-174.152005973E-03,+353.759417681E-03,+367.377507988E-03
-10.886000E-06,-165.860548775E-03,+354.123739286E-03,+360.945347253E-03
-10.884000E-06,-177.858036084E-03,+353.658915170E-03,+360.945347253E-03
-10.882000E-06,-171.388186907E-03,+354.312181495E-03,+359.337307069E-03
-10.880000E-06,-156.375624254E-03,+352.465447846E-03,+360.945347253E-03
-10.878000E-06,-184.390699331E-03,+351.491829766E-03,+360.945347253E-03
-10.876000E-06,-167.807784936E-03,+351.215447859E-03,+352.905146334E-03
-10.874000E-06,-195.634417803E-03,+352.101126242E-03,+352.905146334E-03
-10.872000E-06,-172.016327604E-03,+350.920221732E-03,+360.945347253E-03
-10.870000E-06,-177.732407945E-03,+351.397608661E-03,+352.905146334E-03
-10.868000E-06,-179.177131548E-03,+352.145096091E-03,+359.337307069E-03
-10.866000E-06,-173.335423067E-03,+351.070975499E-03,+352.905146334E-03
-10.864000E-06,-176.162056203E-03,+352.264442823E-03,+360.945347253E-03
-10.862000E-06,-178.737433060E-03,+351.680271975E-03,+352.905146334E-03
-10.860000E-06,-169.252508538E-03,+351.868714184E-03,+352.905146334E-03
-10.858000E-06,-182.003764683E-03,+350.084794605E-03,+346.472985598E-03
-10.856000E-06,-165.169594009E-03,+349.940322245E-03,+360.945347253E-03
-10.854000E-06,-169.440950747E-03,+351.611176498E-03,+352.905146334E-03
-10.852000E-06,-168.247483423E-03,+349.312181548E-03,+360.945347253E-03
-10.850000E-06,-166.425875403E-03,+352.119970463E-03,+344.864945415E-03
-10.848000E-06,-155.370599139E-03,+348.746854921E-03,+360.945347253E-03
-10.846000E-06,-177.795222014E-03,+349.111176525E-03,+352.905146334E-03
-10.844000E-06,-190.295221880E-03,+350.241829779E-03,+352.905146334E-03
-10.842000E-06,-163.159543780E-03,+350.380020733E-03,+352.905146334E-03
-10.840000E-06,-177.418337597E-03,+349.764442850E-03,+352.905146334E-03
-10.838000E-06,-184.013814913E-03,+347.785799655E-03,+352.905146334E-03
-10.836000E-06,-175.031402949E-03,+348.382533317E-03,+352.905146334E-03
-10.834000E-06,-183.197232007E-03,+348.194091108E-03,+352.905146334E-03
-10.832000E-06,-165.672106567E-03,+347.528261969E-03,+352.905146334E-03
-10.830000E-06,-179.930900384E-03,+347.817206690E-03,+352.905146334E-03
-10.828000E-06,-178.360548642E-03,+347.578513225E-03,+352.905146334E-03
-10.826000E-06,-179.554015966E-03,+347.295849911E-03,+344.864945415E-03
