x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-179.930900384E-03,+357.961678943E-03,+368.985548172E-03
-10.918000E-06,-150.031403216E-03,+356.447859864E-03,+360.945347253E-03
-10.916000E-06,-179.114317478E-03,+356.824744282E-03,+364.161427620E-03
-10.914000E-06,-183.134417937E-03,+355.624995551E-03,+360.945347253E-03
-10.912000E-06,-190.232407811E-03,+357.716704071E-03,+362.553387437E-03
-10.910000E-06,-191.865573623E-03,+356.485548306E-03,+360.945347253E-03
-10.908000E-06,-175.973613994E-03,+356.228010620E-03,+360.945347253E-03
-10.906000E-06,-173.837935625E-03,+354.418965413E-03,+360.945347253E-03
-10.904000E-06,-184.956025958E-03,+355.254392540E-03,+360.945347253E-03
-10.902000E-06,-179.177131548E-03,+353.696603612E-03,+367.377507988E-03
-10.900000E-06,-179.930900384E-03,+353.564694065E-03,+360.945347253E-03
-10.898000E-06,-182.066578753E-03,+352.729266939E-03,+360.945347253E-03
-10.896000E-06,-183.134417937E-03,+353.652633763E-03,+368.985548172E-03
-10.894000E-06,-189.227382696E-03,+353.420221705E-03,+360.945347253E-03
-10.892000E-06,-182.945975728E-03,+354.871226715E-03,+367.377507988E-03
-10.890000E-06,-187.154518397E-03,+353.156402613E-03,+360.945347253E-03
-10.888000E-06,-174.842960739E-03,+353.081025729E-03,+367.377507988E-03
-10.886000E-06,-174.466076321E-03,+353.294593566E-03,+360.945347253E-03
-10.884000E-06,-189.478638975E-03,+353.828513158E-03,+360.945347253E-03
-10.882000E-06,-172.770096441E-03,+352.729266939E-03,+359.337307069E-03
-10.880000E-06,-191.237432926E-03,+352.151377498E-03,+360.945347253E-03
-10.878000E-06,-169.566578887E-03,+353.030774473E-03,+360.945347253E-03
-10.876000E-06,-181.878136544E-03,+351.529518208E-03,+352.905146334E-03
-10.874000E-06,-206.564065927E-03,+353.187809647E-03,+352.905146334E-03
-10.872000E-06,-206.815322206E-03,+352.239317195E-03,+360.945347253E-03
-10.870000E-06,-173.963563764E-03,+351.240573487E-03,+352.905146334E-03
-10.868000E-06,-174.968588879E-03,+352.760673974E-03,+359.337307069E-03
-10.866000E-06,-170.131905514E-03,+351.586050871E-03,+352.905146334E-03
-10.864000E-06,-196.011302222E-03,+352.308412672E-03,+360.945347253E-03
-10.862000E-06,-183.260046076E-03,+350.568462942E-03,+352.905146334E-03
-10.860000E-06,-178.674618990E-03,+351.366201627E-03,+352.905146334E-03
