x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-178.988689338E-03,+356.202884992E-03,+368.985548172E-03
-10.918000E-06,-195.131905246E-03,+355.135045807E-03,+360.945347253E-03
-10.916000E-06,-190.358035950E-03,+354.180271948E-03,+364.161427620E-03
-10.914000E-06,-191.174618856E-03,+354.148864913E-03,+360.945347253E-03
-10.912000E-06,-188.599241999E-03,+355.091075959E-03,+362.553387437E-03
-10.910000E-06,-206.312809649E-03,+356.171477957E-03,+360.945347253E-03
-10.908000E-06,-175.596729576E-03,+354.123739286E-03,+360.945347253E-03
-10.906000E-06,-212.028889990E-03,+353.690322205E-03,+360.945347253E-03
-10.904000E-06,-186.275121421E-03,+354.148864913E-03,+360.945347253E-03
-10.902000E-06,-191.865573623E-03,+353.407658891E-03,+367.377507988E-03
-10.900000E-06,-163.913312616E-03,+353.753136274E-03,+360.945347253E-03
-10.898000E-06,-197.204769545E-03,+352.540824730E-03,+360.945347253E-03
-10.896000E-06,-176.413312482E-03,+353.288312159E-03,+368.985548172E-03
-10.894000E-06,-193.812809783E-03,+352.911427741E-03,+360.945347253E-03
-10.892000E-06,-190.546478159E-03,+353.822231751E-03,+367.377507988E-03
-10.890000E-06,-189.353010835E-03,+352.214191567E-03,+360.945347253E-03
-10.888000E-06,-176.853010969E-03,+352.980523217E-03,+367.377507988E-03
-10.886000E-06,-192.305272110E-03,+353.954141297E-03,+360.945347253E-03
-10.884000E-06,-177.732407945E-03,+351.994342323E-03,+360.945347253E-03
-10.882000E-06,-175.408287366E-03,+352.716704125E-03,+359.337307069E-03
-10.880000E-06,-162.971101571E-03,+351.020724243E-03,+360.945347253E-03
-10.878000E-06,-183.888186773E-03,+351.981779510E-03,+360.945347253E-03
-10.876000E-06,-163.724870407E-03,+352.063437800E-03,+352.905146334E-03
-10.874000E-06,-184.076628982E-03,+350.907658918E-03,+352.905146334E-03
-10.872000E-06,-180.182156662E-03,+351.611176498E-03,+360.945347253E-03
-10.870000E-06,-199.403261984E-03,+351.994342323E-03,+352.905146334E-03
-10.868000E-06,-168.498739702E-03,+350.926503139E-03,+359.337307069E-03
-10.866000E-06,-191.614317344E-03,+350.989317209E-03,+352.905146334E-03
-10.864000E-06,-171.388186907E-03,+350.405146361E-03,+360.945347253E-03
-10.862000E-06,-178.486176781E-03,+350.555900128E-03,+352.905146334E-03
-10.860000E-06,-177.732407945E-03,+350.235548372E-03,+352.905146334E-03
-10.858000E-06,-197.832910242E-03,+348.960422758E-03,+346.472985598E-03
-10.856000E-06,-185.898237003E-03,+349.739317222E-03,+360.945347253E-03
-10.854000E-06,-185.646980725E-03,+349.180272002E-03,+352.905146334E-03
-10.852000E-06,-171.890699464E-03,+348.326000654E-03,+360.945347253E-03
-10.850000E-06,-190.923362577E-03,+347.628764481E-03,+344.864945415E-03
-10.848000E-06,-178.611804920E-03,+350.279518221E-03,+360.945347253E-03
-10.846000E-06,-191.111804787E-03,+348.024493120E-03,+352.905146334E-03
-10.844000E-06,-174.403262252E-03,+349.431528281E-03,+352.905146334E-03
-10.842000E-06,-183.008789797E-03,+347.704141364E-03,+352.905146334E-03
-10.840000E-06,-176.162056203E-03,+347.660171516E-03,+352.905146334E-03
