x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-174.591704461E-03,+354.601126215E-03,+368.985548172E-03
-10.918000E-06,-185.458538515E-03,+354.883789529E-03,+360.945347253E-03
-10.916000E-06,-197.895724312E-03,+354.739317168E-03,+364.161427620E-03
-10.914000E-06,-193.561553504E-03,+353.652633763E-03,+360.945347253E-03
-10.912000E-06,-182.129392822E-03,+353.702885019E-03,+362.553387437E-03
-10.910000E-06,-180.873111429E-03,+352.779518194E-03,+360.945347253E-03
-10.908000E-06,-177.167081318E-03,+354.582281994E-03,+360.945347253E-03
-10.906000E-06,-201.664568493E-03,+353.684040798E-03,+360.945347253E-03
-10.904000E-06,-166.048990985E-03,+352.503136288E-03,+360.945347253E-03
-10.902000E-06,-178.423362711E-03,+351.410171475E-03,+367.377507988E-03
-10.900000E-06,-177.418337597E-03,+351.837307149E-03,+360.945347253E-03
-10.898000E-06,-180.056528523E-03,+351.472985545E-03,+360.945347253E-03
-10.896000E-06,-180.810297359E-03,+351.931528254E-03,+368.985548172E-03
-10.894000E-06,-166.425875402E-03,+352.082282021E-03,+360.945347253E-03
-10.892000E-06,-190.797734438E-03,+351.284543336E-03,+367.377507988E-03
-10.890000E-06,-166.111805054E-03,+350.926503139E-03,+360.945347253E-03
-10.888000E-06,-163.410800058E-03,+351.799618707E-03,+367.377507988E-03
-10.886000E-06,-167.179644239E-03,+351.196603639E-03,+360.945347253E-03
-10.884000E-06,-179.993714454E-03,+351.429015696E-03,+360.945347253E-03
-10.882000E-06,-182.380649101E-03,+350.606151384E-03,+359.337307069E-03
-10.880000E-06,-166.425875403E-03,+350.015699129E-03,+360.945347253E-03
-10.878000E-06,-169.440950747E-03,+350.386302140E-03,+360.945347253E-03
-10.876000E-06,-185.521352585E-03,+350.518211686E-03,+352.905146334E-03
-10.874000E-06,-183.322860146E-03,+349.381277025E-03,+352.905146334E-03
-10.872000E-06,-167.807784936E-03,+348.784543363E-03,+360.945347253E-03
-10.870000E-06,-186.840448048E-03,+348.476754421E-03,+352.905146334E-03
-10.868000E-06,-181.815322474E-03,+349.475498129E-03,+359.337307069E-03
-10.866000E-06,-185.772608864E-03,+349.393839839E-03,+352.905146334E-03
-10.864000E-06,-154.616830303E-03,+351.372483034E-03,+360.945347253E-03
-10.862000E-06,-182.317835031E-03,+349.217960444E-03,+352.905146334E-03
-10.860000E-06,-189.353010836E-03,+350.015699129E-03,+352.905146334E-03
-10.858000E-06,-176.853010970E-03,+348.527005677E-03,+346.472985598E-03
-10.856000E-06,-163.410800058E-03,+349.079769490E-03,+360.945347253E-03
-10.854000E-06,-174.780146670E-03,+347.911427794E-03,+352.905146334E-03
-10.852000E-06,-187.217332466E-03,+348.225498143E-03,+360.945347253E-03
-10.850000E-06,-187.154518396E-03,+347.974241864E-03,+344.864945415E-03
-10.848000E-06,-172.832910510E-03,+347.716704178E-03,+360.945347253E-03
-10.846000E-06,-195.445975594E-03,+346.240573541E-03,+352.905146334E-03
-10.844000E-06,-179.805272244E-03,+347.465447900E-03,+352.905146334E-03
-10.842000E-06,-184.767583749E-03,+346.309669018E-03,+352.905146334E-03
-10.840000E-06,-147.895724848E-03,+346.686553436E-03,+352.905146334E-03
-10.838000E-06,-166.551503542E-03,+346.089819774E-03,+352.905146334E-03
-10.836000E-06,-180.119342593E-03,+347.478010714E-03,+352.905146334E-03
-10.834000E-06,-180.182156663E-03,+346.962935342E-03,+352.905146334E-03
-10.832000E-06,-168.247483424E-03,+346.466704192E-03,+352.905146334E-03
-10.830000E-06,-177.732407944E-03,+344.079769544E-03,+352.905146334E-03
-10.828000E-06,-170.131905514E-03,+345.939066006E-03,+352.905146334E-03
-10.826000E-06,-187.908287233E-03,+344.519468032E-03,+344.864945415E-03
-10.824000E-06,-178.486176781E-03,+345.775749425E-03,+356.121226702E-03
-10.822000E-06,-191.300246995E-03,+345.160171542E-03,+352.905146334E-03
-10.820000E-06,-191.237432926E-03,+345.461679077E-03,+344.864945415E-03
-10.818000E-06,-205.119342325E-03,+345.216704205E-03,+344.864945415E-03
-10.816000E-06,-166.991202030E-03,+343.991829846E-03,+352.905146334E-03
-10.814000E-06,-185.395724445E-03,+344.751880089E-03,+352.905146334E-03
