x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-178.988689338E-03,+353.376251856E-03,+368.985548172E-03
-10.918000E-06,-177.167081318E-03,+353.790824716E-03,+360.945347253E-03
-10.916000E-06,-176.790196900E-03,+352.930271962E-03,+364.161427620E-03
-10.914000E-06,-181.752508404E-03,+355.380020679E-03,+360.945347253E-03
-10.912000E-06,-181.564066195E-03,+352.063437800E-03,+362.553387437E-03
-10.910000E-06,-192.807784668E-03,+354.004392553E-03,+360.945347253E-03
-10.908000E-06,-170.760046210E-03,+352.170221719E-03,+360.945347253E-03
-10.906000E-06,-176.099242133E-03,+353.885045821E-03,+360.945347253E-03
-10.904000E-06,-189.101754557E-03,+352.484292067E-03,+360.945347253E-03
-10.902000E-06,-183.260046077E-03,+352.967960403E-03,+367.377507988E-03
-10.900000E-06,-173.963563764E-03,+353.124995578E-03,+360.945347253E-03
-10.898000E-06,-166.991202030E-03,+351.730523231E-03,+360.945347253E-03
-10.896000E-06,-172.330397952E-03,+353.118714171E-03,+368.985548172E-03
-10.894000E-06,-183.134417937E-03,+353.062181508E-03,+360.945347253E-03
-10.892000E-06,-175.659543645E-03,+352.283287044E-03,+367.377507988E-03
-10.890000E-06,-174.905774809E-03,+351.554643836E-03,+360.945347253E-03
-10.888000E-06,-178.297734572E-03,+351.359920220E-03,+367.377507988E-03
-10.886000E-06,-184.265071191E-03,+353.187809647E-03,+360.945347253E-03
-10.884000E-06,-180.307784802E-03,+350.417709174E-03,+360.945347253E-03
-10.882000E-06,-171.074116559E-03,+350.807156407E-03,+359.337307069E-03
-10.880000E-06,-162.657031222E-03,+348.602382561E-03,+360.945347253E-03
-10.878000E-06,-179.868086314E-03,+351.127508162E-03,+360.945347253E-03
-10.876000E-06,-170.571604002E-03,+349.833538327E-03,+352.905146334E-03
-10.874000E-06,-181.564066195E-03,+351.020724243E-03,+352.905146334E-03
-10.872000E-06,-187.594216884E-03,+349.934040838E-03,+360.945347253E-03
-10.870000E-06,-185.898237004E-03,+350.895096104E-03,+352.905146334E-03
-10.868000E-06,-171.388186907E-03,+347.804643876E-03,+359.337307069E-03
-10.866000E-06,-176.790196900E-03,+349.224241851E-03,+352.905146334E-03
-10.864000E-06,-184.327885261E-03,+349.632533304E-03,+360.945347253E-03
-10.862000E-06,-167.305272378E-03,+351.623739312E-03,+352.905146334E-03
-10.860000E-06,-162.342960874E-03,+348.413940352E-03,+352.905146334E-03
-10.858000E-06,-173.398237138E-03,+348.539568491E-03,+346.472985598E-03
-10.856000E-06,-176.538940621E-03,+348.363689096E-03,+360.945347253E-03
-10.854000E-06,-173.523865276E-03,+347.521980562E-03,+352.905146334E-03
-10.852000E-06,-176.413312481E-03,+347.327256946E-03,+360.945347253E-03
-10.850000E-06,-155.433413209E-03,+347.503136341E-03,+344.864945415E-03
-10.848000E-06,-173.586679346E-03,+347.710422771E-03,+360.945347253E-03
-10.846000E-06,-164.729895521E-03,+347.967960457E-03,+352.905146334E-03
