x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-181.501252126E-03,+353.815950344E-03,+368.985548172E-03
-10.918000E-06,-188.222357581E-03,+354.356151343E-03,+360.945347253E-03
-10.916000E-06,-167.556528657E-03,+353.539568438E-03,+364.161427620E-03
-10.914000E-06,-171.325372838E-03,+354.117457879E-03,+360.945347253E-03
-10.912000E-06,-169.001252259E-03,+353.187809647E-03,+362.553387437E-03
-10.910000E-06,-171.765071325E-03,+352.842332264E-03,+360.945347253E-03
-10.908000E-06,-173.963563764E-03,+352.873739299E-03,+360.945347253E-03
-10.906000E-06,-179.365573756E-03,+351.862432777E-03,+360.945347253E-03
-10.904000E-06,-177.858036084E-03,+350.882533290E-03,+360.945347253E-03
-10.902000E-06,-183.762558634E-03,+352.201628753E-03,+367.377507988E-03
-10.900000E-06,-190.609292229E-03,+352.653890055E-03,+360.945347253E-03
-10.898000E-06,-194.880648967E-03,+351.366201627E-03,+360.945347253E-03
-10.896000E-06,-170.948488420E-03,+350.838563441E-03,+368.985548172E-03
-10.894000E-06,-184.830397819E-03,+350.826000627E-03,+360.945347253E-03
-10.892000E-06,-185.898237003E-03,+350.913940325E-03,+367.377507988E-03
-10.890000E-06,-203.800246862E-03,+352.277005637E-03,+360.945347253E-03
-10.888000E-06,-180.747483290E-03,+351.052131278E-03,+367.377507988E-03
-10.886000E-06,-191.488689205E-03,+351.397608661E-03,+360.945347253E-03
-10.884000E-06,-171.576629116E-03,+350.091076012E-03,+360.945347253E-03
-10.882000E-06,-177.418337596E-03,+350.467960430E-03,+359.337307069E-03
-10.880000E-06,-173.963563764E-03,+350.109920233E-03,+360.945347253E-03
-10.878000E-06,-182.380649101E-03,+349.996854908E-03,+360.945347253E-03
-10.876000E-06,-169.943463305E-03,+347.553387597E-03,+352.905146334E-03
-10.874000E-06,-179.679644105E-03,+348.891327281E-03,+352.905146334E-03
-10.872000E-06,-183.574116425E-03,+348.778261956E-03,+360.945347253E-03
-10.870000E-06,-191.551503274E-03,+347.691578550E-03,+352.905146334E-03
-10.868000E-06,-179.742458174E-03,+347.346101167E-03,+359.337307069E-03
-10.866000E-06,-193.749995713E-03,+347.880020759E-03,+352.905146334E-03
-10.864000E-06,-185.018840028E-03,+347.898864980E-03,+360.945347253E-03
-10.862000E-06,-190.358035950E-03,+346.705397657E-03,+352.905146334E-03
-10.860000E-06,-189.667081184E-03,+347.251880063E-03,+352.905146334E-03
-10.858000E-06,-177.355523527E-03,+347.748111213E-03,+346.472985598E-03
-10.856000E-06,-184.767583748E-03,+348.684040851E-03,+360.945347253E-03
-10.854000E-06,-175.282659227E-03,+346.259417762E-03,+352.905146334E-03
-10.852000E-06,-185.709794794E-03,+346.956653935E-03,+360.945347253E-03
-10.850000E-06,-177.104267248E-03,+346.403890122E-03,+344.864945415E-03
-10.848000E-06,-197.707282103E-03,+346.900121272E-03,+360.945347253E-03
-10.846000E-06,-198.209794661E-03,+347.251880063E-03,+352.905146334E-03
-10.844000E-06,-187.908287233E-03,+346.058412739E-03,+352.905146334E-03
-10.842000E-06,-191.174618856E-03,+347.415196644E-03,+352.905146334E-03
-10.840000E-06,-183.699744564E-03,+345.618714251E-03,+352.905146334E-03
-10.838000E-06,-191.237432926E-03,+345.970473041E-03,+352.905146334E-03
-10.836000E-06,-187.342960605E-03,+345.869970530E-03,+352.905146334E-03
-10.834000E-06,-180.119342593E-03,+346.033287111E-03,+352.905146334E-03
-10.832000E-06,-177.920850154E-03,+345.876251937E-03,+352.905146334E-03
-10.830000E-06,-186.212307351E-03,+345.210422798E-03,+352.905146334E-03
-10.828000E-06,-194.566578619E-03,+345.367457972E-03,+352.905146334E-03
-10.826000E-06,-202.041452911E-03,+345.398865007E-03,+344.864945415E-03
-10.824000E-06,-186.149493282E-03,+345.643839879E-03,+356.121226702E-03
-10.822000E-06,-178.674618990E-03,+344.601126322E-03,+352.905146334E-03
-10.820000E-06,-194.378136409E-03,+345.021980589E-03,+344.864945415E-03
-10.818000E-06,-192.807784668E-03,+344.745598682E-03,+344.864945415E-03
-10.816000E-06,-179.177131548E-03,+343.633789649E-03,+352.905146334E-03
-10.814000E-06,-181.501252126E-03,+343.903890149E-03,+352.905146334E-03
-10.812000E-06,-189.353010835E-03,+344.086050951E-03,+352.905146334E-03
-10.810000E-06,-184.327885262E-03,+343.514442917E-03,+344.864945415E-03
