x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-173.649493416E-03,+353.062181508E-03,+368.985548172E-03
-10.918000E-06,-171.011302489E-03,+353.966704111E-03,+360.945347253E-03
-10.916000E-06,-165.797734706E-03,+353.922734263E-03,+364.161427620E-03
-10.914000E-06,-171.199744698E-03,+353.369970449E-03,+360.945347253E-03
-10.912000E-06,-172.204769813E-03,+353.194091054E-03,+362.553387437E-03
-10.910000E-06,-175.533915506E-03,+352.748111160E-03,+360.945347253E-03
-10.908000E-06,-181.878136544E-03,+352.182784532E-03,+360.945347253E-03
-10.906000E-06,-159.956026226E-03,+352.032030765E-03,+360.945347253E-03
-10.904000E-06,-183.636930495E-03,+351.045849871E-03,+360.945347253E-03
-10.902000E-06,-179.051503408E-03,+353.131276985E-03,+367.377507988E-03
-10.900000E-06,-186.212307352E-03,+351.680271975E-03,+360.945347253E-03
-10.898000E-06,-183.448488286E-03,+350.637558418E-03,+360.945347253E-03
-10.896000E-06,-179.805272244E-03,+349.965447873E-03,+368.985548172E-03
-10.894000E-06,-176.790196900E-03,+350.863689069E-03,+360.945347253E-03
-10.892000E-06,-179.365573757E-03,+351.818462928E-03,+367.377507988E-03
-10.890000E-06,-161.400749828E-03,+351.680271975E-03,+360.945347253E-03
-10.888000E-06,-165.923362845E-03,+350.091076012E-03,+367.377507988E-03
-10.886000E-06,-182.317835031E-03,+350.084794605E-03,+360.945347253E-03
-10.884000E-06,-177.041453178E-03,+350.511930279E-03,+360.945347253E-03
-10.882000E-06,-182.192206892E-03,+348.853638840E-03,+359.337307069E-03
-10.880000E-06,-189.038940487E-03,+348.979266979E-03,+360.945347253E-03
-10.878000E-06,-182.192206892E-03,+349.576000641E-03,+360.945347253E-03
-10.876000E-06,-188.473613860E-03,+349.795849885E-03,+352.905146334E-03
-10.874000E-06,-176.162056203E-03,+348.030774527E-03,+352.905146334E-03
-10.872000E-06,-180.684669220E-03,+346.893839866E-03,+360.945347253E-03
-10.870000E-06,-175.219845158E-03,+347.880020759E-03,+352.905146334E-03
-10.868000E-06,-198.146980591E-03,+347.653890109E-03,+359.337307069E-03
-10.866000E-06,-167.870599005E-03,+348.558412712E-03,+352.905146334E-03
-10.864000E-06,-166.488689472E-03,+348.275749398E-03,+360.945347253E-03
-10.862000E-06,-175.596729576E-03,+347.817206690E-03,+352.905146334E-03
-10.860000E-06,-191.551503274E-03,+348.288312212E-03,+352.905146334E-03
-10.858000E-06,-183.888186773E-03,+347.302131318E-03,+346.472985598E-03
-10.856000E-06,-167.116830169E-03,+346.485548413E-03,+360.945347253E-03
-10.854000E-06,-186.337935490E-03,+346.761930319E-03,+352.905146334E-03
-10.852000E-06,-191.488689204E-03,+346.969216749E-03,+360.945347253E-03
-10.850000E-06,-172.707282371E-03,+345.555900181E-03,+344.864945415E-03
-10.848000E-06,-180.810297359E-03,+345.398865007E-03,+360.945347253E-03
-10.846000E-06,-186.275121421E-03,+345.354895158E-03,+352.905146334E-03
-10.844000E-06,-179.805272244E-03,+345.493086112E-03,+352.905146334E-03
-10.842000E-06,-174.403262252E-03,+344.393839892E-03,+352.905146334E-03
-10.840000E-06,-166.425875403E-03,+345.964191634E-03,+352.905146334E-03
-10.838000E-06,-181.689694334E-03,+345.750623797E-03,+352.905146334E-03
-10.836000E-06,-187.594216885E-03,+345.700372542E-03,+352.905146334E-03
-10.834000E-06,-168.498739702E-03,+343.759417789E-03,+352.905146334E-03
-10.832000E-06,-173.649493416E-03,+343.784543416E-03,+352.905146334E-03
-10.830000E-06,-190.295221879E-03,+345.838563495E-03,+352.905146334E-03
-10.828000E-06,-182.192206892E-03,+345.851126309E-03,+352.905146334E-03
-10.826000E-06,-175.408287367E-03,+344.368714264E-03,+344.864945415E-03
-10.824000E-06,-175.219845158E-03,+343.972985626E-03,+356.121226702E-03
-10.822000E-06,-173.586679346E-03,+343.037055987E-03,+352.905146334E-03
-10.820000E-06,-193.435925365E-03,+345.116201694E-03,+344.864945415E-03
-10.818000E-06,-190.358035950E-03,+342.515699209E-03,+344.864945415E-03
-10.816000E-06,-173.209794928E-03,+342.515699209E-03,+352.905146334E-03
-10.814000E-06,-181.124367708E-03,+344.274493160E-03,+352.905146334E-03
-10.812000E-06,-196.199744430E-03,+343.960422812E-03,+352.905146334E-03
-10.810000E-06,-181.815322473E-03,+342.226754488E-03,+344.864945415E-03
-10.808000E-06,-175.157031088E-03,+343.407658998E-03,+352.905146334E-03
-10.806000E-06,-187.342960605E-03,+342.515699209E-03,+344.864945415E-03
-10.804000E-06,-178.925875268E-03,+343.439066033E-03,+352.905146334E-03
-10.802000E-06,-173.084166788E-03,+340.844844956E-03,+344.864945415E-03
-10.800000E-06,-162.342960874E-03,+341.818463036E-03,+352.905146334E-03
-10.798000E-06,-173.900749695E-03,+342.390071070E-03,+346.472985598E-03
-10.796000E-06,-160.458538782E-03,+342.465447953E-03,+352.905146334E-03
-10.794000E-06,-175.659543645E-03,+340.618714305E-03,+344.864945415E-03
-10.792000E-06,-153.172106701E-03,+339.883789689E-03,+352.905146334E-03
-10.790000E-06,-162.342960874E-03,+340.436553503E-03,+344.864945415E-03
-10.788000E-06,-194.315322341E-03,+341.284543443E-03,+352.905146334E-03
-10.786000E-06,-171.702257256E-03,+339.858664062E-03,+340.040824863E-03
-10.784000E-06,-173.335423068E-03,+338.910171609E-03,+348.081025783E-03
-10.782000E-06,-183.322860145E-03,+341.472985652E-03,+344.864945415E-03
-10.780000E-06,-171.451000977E-03,+341.284543443E-03,+344.864945415E-03
-10.778000E-06,-170.194719582E-03,+339.902633910E-03,+344.864945415E-03
-10.776000E-06,-176.790196900E-03,+338.527005784E-03,+348.081025782E-03
-10.774000E-06,-193.812809783E-03,+338.489317343E-03,+344.864945415E-03
-10.772000E-06,-188.033915372E-03,+339.890071096E-03,+344.864945415E-03
-10.770000E-06,-174.277634112E-03,+337.515699263E-03,+336.824744497E-03
-10.768000E-06,-186.589191771E-03,+337.333538460E-03,+352.905146334E-03
-10.766000E-06,-193.687181643E-03,+339.356151504E-03,+344.864945415E-03
-10.764000E-06,-173.837935624E-03,+338.916453016E-03,+344.864945415E-03
-10.762000E-06,-172.456026091E-03,+337.697860065E-03,+343.256905230E-03
-10.760000E-06,-161.086679481E-03,+337.672734437E-03,+344.864945415E-03
-10.758000E-06,-174.026377833E-03,+338.156402773E-03,+344.864945415E-03
-10.756000E-06,-184.516327471E-03,+337.823488204E-03,+344.864945415E-03
-10.754000E-06,-176.790196901E-03,+337.766955541E-03,+336.824744496E-03
-10.752000E-06,-169.252508538E-03,+336.102382695E-03,+351.297106149E-03
-10.750000E-06,-184.641955608E-03,+337.421478158E-03,+344.864945415E-03
-10.748000E-06,-186.400749561E-03,+338.344844982E-03,+344.864945415E-03
-10.746000E-06,-193.938437922E-03,+337.006905298E-03,+336.824744496E-03
-10.744000E-06,-170.634418071E-03,+334.789568639E-03,+349.689065965E-03
-10.742000E-06,-196.639442918E-03,+336.077257067E-03,+344.864945415E-03
-10.740000E-06,-177.418337596E-03,+337.484292228E-03,+336.824744497E-03
-10.738000E-06,-175.973613993E-03,+335.467960591E-03,+336.824744496E-03
-10.736000E-06,-172.832910510E-03,+335.273236975E-03,+344.864945415E-03
-10.734000E-06,-183.951000844E-03,+334.437809848E-03,+344.864945415E-03
-10.732000E-06,-176.790196899E-03,+336.259417869E-03,+338.432784681E-03
-10.730000E-06,-180.559041080E-03,+334.312181709E-03,+328.784543578E-03
