x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-181.187181777E-03,+352.653890055E-03,+368.985548172E-03
-10.918000E-06,-173.335423067E-03,+353.087307136E-03,+360.945347253E-03
-10.916000E-06,-157.506277508E-03,+353.401377484E-03,+364.161427620E-03
-10.914000E-06,-174.528890391E-03,+352.616201613E-03,+360.945347253E-03
-10.912000E-06,-176.099242133E-03,+351.215447859E-03,+362.553387437E-03
-10.910000E-06,-178.674618990E-03,+351.900121219E-03,+360.945347253E-03
-10.908000E-06,-170.697232141E-03,+351.592332278E-03,+360.945347253E-03
-10.906000E-06,-173.523865277E-03,+350.348613698E-03,+360.945347253E-03
-10.904000E-06,-161.400749828E-03,+349.971729280E-03,+360.945347253E-03
-10.902000E-06,-189.604267114E-03,+351.121226755E-03,+367.377507988E-03
-10.900000E-06,-176.476126551E-03,+351.460422731E-03,+360.945347253E-03
-10.898000E-06,-187.280146536E-03,+350.380020733E-03,+360.945347253E-03
-10.896000E-06,-169.440950747E-03,+349.305900141E-03,+368.985548172E-03
-10.894000E-06,-199.654518263E-03,+350.109920233E-03,+360.945347253E-03
-10.892000E-06,-171.011302489E-03,+350.631277011E-03,+367.377507988E-03
-10.890000E-06,-176.790196900E-03,+350.455397616E-03,+360.945347253E-03
-10.888000E-06,-189.290196766E-03,+350.279518221E-03,+367.377507988E-03
-10.886000E-06,-188.473613860E-03,+350.128764454E-03,+360.945347253E-03
-10.884000E-06,-170.257533653E-03,+348.501880049E-03,+360.945347253E-03
-10.882000E-06,-161.714820177E-03,+348.715447886E-03,+359.337307069E-03
-10.880000E-06,-175.847985854E-03,+347.880020759E-03,+360.945347253E-03
-10.878000E-06,-182.255020962E-03,+348.168965480E-03,+360.945347253E-03
-10.876000E-06,-161.966076455E-03,+348.175246887E-03,+352.905146334E-03
-10.874000E-06,-171.262558768E-03,+347.792081062E-03,+352.905146334E-03
-10.872000E-06,-161.023865411E-03,+346.598613738E-03,+360.945347253E-03
-10.870000E-06,-197.204769545E-03,+348.696603665E-03,+352.905146334E-03
-10.868000E-06,-161.463563898E-03,+347.685297143E-03,+359.337307069E-03
-10.866000E-06,-198.837935357E-03,+347.679015737E-03,+352.905146334E-03
-10.864000E-06,-186.903262118E-03,+347.716704178E-03,+360.945347253E-03
-10.862000E-06,-190.734920369E-03,+349.111176525E-03,+352.905146334E-03
-10.860000E-06,-162.028890526E-03,+347.346101167E-03,+352.905146334E-03
-10.858000E-06,-178.234920503E-03,+346.334794645E-03,+346.472985598E-03
-10.856000E-06,-161.777634246E-03,+347.716704178E-03,+360.945347253E-03
-10.854000E-06,-183.008789798E-03,+346.931528307E-03,+352.905146334E-03
-10.852000E-06,-174.026377834E-03,+346.385045901E-03,+360.945347253E-03
-10.850000E-06,-180.559041080E-03,+345.712935356E-03,+344.864945415E-03
-10.848000E-06,-179.491201895E-03,+346.862432831E-03,+360.945347253E-03
-10.846000E-06,-195.069091176E-03,+346.033287111E-03,+352.905146334E-03
-10.844000E-06,-181.312809916E-03,+346.359920273E-03,+352.905146334E-03
-10.842000E-06,-186.149493282E-03,+345.650121286E-03,+352.905146334E-03
-10.840000E-06,-184.956025957E-03,+344.519468032E-03,+352.905146334E-03
-10.838000E-06,-197.644468034E-03,+345.681528321E-03,+352.905146334E-03
-10.836000E-06,-167.933413073E-03,+344.839819787E-03,+352.905146334E-03
-10.834000E-06,-179.365573757E-03,+344.839819787E-03,+352.905146334E-03
-10.832000E-06,-169.252508538E-03,+344.092332358E-03,+352.905146334E-03
-10.830000E-06,-182.443463171E-03,+345.493086112E-03,+352.905146334E-03
-10.828000E-06,-167.870599005E-03,+345.499367519E-03,+352.905146334E-03
-10.826000E-06,-173.963563765E-03,+343.395096184E-03,+344.864945415E-03
-10.824000E-06,-174.654518531E-03,+342.666452976E-03,+356.121226702E-03
-10.822000E-06,-183.134417937E-03,+344.374995671E-03,+352.905146334E-03
-10.820000E-06,-196.576628849E-03,+343.577256987E-03,+344.864945415E-03
-10.818000E-06,-188.159543513E-03,+343.049618801E-03,+344.864945415E-03
-10.816000E-06,-160.835423201E-03,+341.692834896E-03,+352.905146334E-03
-10.814000E-06,-188.724870139E-03,+343.991829846E-03,+352.905146334E-03
-10.812000E-06,-196.702256987E-03,+342.722985639E-03,+352.905146334E-03
-10.810000E-06,-185.584166656E-03,+341.221729374E-03,+344.864945415E-03
-10.808000E-06,-183.448488286E-03,+340.813437921E-03,+352.905146334E-03
-10.806000E-06,-186.337935491E-03,+344.180272055E-03,+344.864945415E-03
-10.804000E-06,-185.709794795E-03,+341.887558512E-03,+352.905146334E-03
-10.802000E-06,-194.252508271E-03,+342.465447953E-03,+344.864945415E-03
-10.800000E-06,-176.162056203E-03,+342.132533384E-03,+352.905146334E-03
-10.798000E-06,-197.832910243E-03,+342.842332371E-03,+346.472985598E-03
-10.796000E-06,-173.209794928E-03,+339.098613818E-03,+352.905146334E-03
-10.794000E-06,-189.667081184E-03,+340.493086165E-03,+344.864945415E-03
-10.792000E-06,-180.684669219E-03,+339.783287178E-03,+352.905146334E-03
-10.790000E-06,-208.825372435E-03,+341.315950478E-03,+344.864945415E-03
-10.788000E-06,-169.440950747E-03,+340.731779630E-03,+352.905146334E-03
-10.786000E-06,-187.468588745E-03,+339.682784666E-03,+340.040824863E-03
-10.784000E-06,-196.388186639E-03,+338.885045981E-03,+348.081025783E-03
-10.782000E-06,-190.672106298E-03,+340.995598723E-03,+344.864945415E-03
-10.780000E-06,-182.443463172E-03,+339.839819841E-03,+344.864945415E-03
-10.778000E-06,-200.094216751E-03,+338.037056041E-03,+344.864945415E-03
-10.776000E-06,-186.589191769E-03,+337.792081169E-03,+348.081025782E-03
-10.774000E-06,-202.104266980E-03,+338.809669098E-03,+344.864945415E-03
-10.772000E-06,-193.435925364E-03,+338.495598750E-03,+344.864945415E-03
-10.770000E-06,-178.674618992E-03,+337.923990715E-03,+336.824744497E-03
-10.768000E-06,-179.742458173E-03,+337.961679157E-03,+352.905146334E-03
-10.766000E-06,-179.365573756E-03,+336.667709322E-03,+344.864945415E-03
-10.764000E-06,-165.232408078E-03,+337.993086192E-03,+344.864945415E-03
-10.762000E-06,-171.199744700E-03,+337.251880170E-03,+343.256905230E-03
-10.760000E-06,-178.988689337E-03,+336.259417869E-03,+344.864945415E-03
-10.758000E-06,-182.694719450E-03,+337.302131425E-03,+344.864945415E-03
-10.756000E-06,-161.714820176E-03,+336.429015857E-03,+344.864945415E-03
-10.754000E-06,-159.202257392E-03,+336.108664102E-03,+336.824744496E-03
