x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-173.649493416E-03,+351.460422731E-03,+368.985548172E-03
-10.918000E-06,-186.275121421E-03,+351.912684033E-03,+360.945347253E-03
-10.916000E-06,-183.134417937E-03,+350.851126255E-03,+364.161427620E-03
-10.914000E-06,-183.008789798E-03,+348.451628794E-03,+360.945347253E-03
-10.912000E-06,-182.631905380E-03,+351.454141324E-03,+362.553387437E-03
-10.910000E-06,-188.410799790E-03,+350.329769477E-03,+360.945347253E-03
-10.908000E-06,-161.966076455E-03,+350.995598616E-03,+360.945347253E-03
-10.906000E-06,-198.335422800E-03,+348.570975526E-03,+360.945347253E-03
-10.904000E-06,-186.903262118E-03,+351.102382534E-03,+360.945347253E-03
-10.902000E-06,-200.973613726E-03,+350.493086058E-03,+367.377507988E-03
-10.900000E-06,-184.641955609E-03,+350.832282034E-03,+360.945347253E-03
-10.898000E-06,-190.169593741E-03,+348.219216736E-03,+360.945347253E-03
-10.896000E-06,-174.968588879E-03,+351.485548359E-03,+368.985548172E-03
-10.894000E-06,-195.445975594E-03,+349.293337327E-03,+360.945347253E-03
-10.892000E-06,-178.674618990E-03,+349.645096117E-03,+367.377507988E-03
-10.890000E-06,-188.410799790E-03,+348.256905178E-03,+360.945347253E-03
-10.888000E-06,-168.435925632E-03,+349.261930292E-03,+367.377507988E-03
-10.886000E-06,-194.315322340E-03,+348.451628794E-03,+360.945347253E-03
-10.884000E-06,-182.003764683E-03,+348.106151410E-03,+360.945347253E-03
-10.882000E-06,-177.795222014E-03,+347.452885086E-03,+359.337307069E-03
-10.880000E-06,-174.905774809E-03,+349.576000641E-03,+360.945347253E-03
-10.878000E-06,-194.503764549E-03,+349.092332304E-03,+360.945347253E-03
-10.876000E-06,-182.883161659E-03,+347.119970516E-03,+352.905146334E-03
-10.874000E-06,-169.126880399E-03,+346.114945401E-03,+352.905146334E-03
-10.872000E-06,-188.787684208E-03,+348.765699142E-03,+360.945347253E-03
-10.870000E-06,-196.262558500E-03,+348.256905178E-03,+352.905146334E-03
-10.868000E-06,-173.021352719E-03,+346.893839866E-03,+359.337307069E-03
-10.866000E-06,-171.325372838E-03,+346.045849925E-03,+352.905146334E-03
-10.864000E-06,-167.179644239E-03,+349.067206676E-03,+360.945347253E-03
-10.862000E-06,-194.252508270E-03,+346.008161483E-03,+352.905146334E-03
-10.860000E-06,-168.624367841E-03,+346.309669018E-03,+352.905146334E-03
-10.858000E-06,-166.300247263E-03,+345.769468018E-03,+346.472985598E-03
-10.856000E-06,-178.360548642E-03,+347.377508202E-03,+360.945347253E-03
-10.854000E-06,-190.672106299E-03,+345.913940379E-03,+352.905146334E-03
-10.852000E-06,-156.626880533E-03,+344.733035869E-03,+360.945347253E-03
-10.850000E-06,-182.443463170E-03,+344.456653962E-03,+344.864945415E-03
-10.848000E-06,-164.792709591E-03,+346.818462982E-03,+360.945347253E-03
-10.846000E-06,-202.606779538E-03,+345.442834856E-03,+352.905146334E-03
-10.844000E-06,-177.041453179E-03,+344.714191648E-03,+352.905146334E-03
-10.842000E-06,-180.496227011E-03,+344.362432857E-03,+352.905146334E-03
-10.840000E-06,-182.757533519E-03,+344.142583614E-03,+352.905146334E-03
-10.838000E-06,-189.164568626E-03,+344.544593659E-03,+352.905146334E-03
-10.836000E-06,-163.222357849E-03,+344.720473055E-03,+352.905146334E-03
-10.834000E-06,-194.943463037E-03,+344.318463009E-03,+352.905146334E-03
-10.832000E-06,-189.415824907E-03,+344.280774567E-03,+352.905146334E-03
-10.830000E-06,-172.079141674E-03,+343.043337394E-03,+352.905146334E-03
-10.828000E-06,-164.604267382E-03,+343.696603719E-03,+352.905146334E-03
-10.826000E-06,-183.825372703E-03,+342.741829860E-03,+344.864945415E-03
-10.824000E-06,-186.463563631E-03,+344.720473055E-03,+356.121226702E-03
-10.822000E-06,-200.219844889E-03,+342.679015790E-03,+352.905146334E-03
-10.820000E-06,-176.790196900E-03,+343.106151464E-03,+344.864945415E-03
-10.818000E-06,-169.252508539E-03,+341.799618814E-03,+344.864945415E-03
