x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-175.533915506E-03,+350.172734303E-03,+368.985548172E-03
-10.918000E-06,-169.880649235E-03,+352.013186544E-03,+360.945347253E-03
-10.916000E-06,-189.227382696E-03,+350.342332291E-03,+364.161427620E-03
-10.914000E-06,-162.908287501E-03,+351.818462928E-03,+360.945347253E-03
-10.912000E-06,-188.159543512E-03,+350.279518221E-03,+362.553387437E-03
-10.910000E-06,-181.187181777E-03,+350.738060930E-03,+360.945347253E-03
-10.908000E-06,-198.586679078E-03,+349.261930292E-03,+360.945347253E-03
-10.906000E-06,-183.260046077E-03,+351.937809661E-03,+360.945347253E-03
-10.904000E-06,-191.488689205E-03,+349.764442850E-03,+360.945347253E-03
-10.902000E-06,-193.247483156E-03,+350.939065953E-03,+367.377507988E-03
-10.900000E-06,-165.797734706E-03,+348.005648899E-03,+360.945347253E-03
-10.898000E-06,-186.023865143E-03,+350.135045861E-03,+360.945347253E-03
-10.896000E-06,-188.033915372E-03,+348.589819747E-03,+368.985548172E-03
-10.894000E-06,-178.674618990E-03,+351.209166452E-03,+360.945347253E-03
-10.892000E-06,-181.501252126E-03,+349.255648885E-03,+367.377507988E-03
-10.890000E-06,-184.956025958E-03,+350.078513198E-03,+360.945347253E-03
-10.888000E-06,-178.486176781E-03,+348.859920246E-03,+367.377507988E-03
-10.886000E-06,-179.616830035E-03,+350.254392593E-03,+360.945347253E-03
-10.884000E-06,-183.762558634E-03,+347.848613725E-03,+360.945347253E-03
-10.882000E-06,-187.342960606E-03,+347.873739353E-03,+359.337307069E-03
-10.880000E-06,-177.104267248E-03,+346.278261983E-03,+360.945347253E-03
-10.878000E-06,-193.184669086E-03,+348.495598642E-03,+360.945347253E-03
-10.876000E-06,-199.717332333E-03,+345.869970530E-03,+352.905146334E-03
-10.874000E-06,-174.152005973E-03,+348.150121259E-03,+352.905146334E-03
-10.872000E-06,-189.792709323E-03,+346.630020773E-03,+360.945347253E-03
-10.870000E-06,-170.508789932E-03,+348.225498143E-03,+352.905146334E-03
-10.868000E-06,-187.908287233E-03,+346.686553436E-03,+359.337307069E-03
-10.866000E-06,-188.285171651E-03,+346.611176552E-03,+352.905146334E-03
-10.864000E-06,-184.453513401E-03,+345.656402693E-03,+360.945347253E-03
-10.862000E-06,-193.059040946E-03,+348.269467991E-03,+352.905146334E-03
-10.860000E-06,-198.146980590E-03,+344.959166519E-03,+352.905146334E-03
-10.858000E-06,-199.654518263E-03,+346.969216749E-03,+346.472985598E-03
-10.856000E-06,-184.265071191E-03,+344.186553462E-03,+360.945347253E-03
-10.854000E-06,-186.400749561E-03,+345.248111240E-03,+352.905146334E-03
-10.852000E-06,-188.850498277E-03,+344.494342404E-03,+360.945347253E-03
-10.850000E-06,-177.104267249E-03,+346.278261983E-03,+344.864945415E-03
-10.848000E-06,-169.943463305E-03,+345.147608728E-03,+360.945347253E-03
-10.846000E-06,-191.865573622E-03,+346.102382588E-03,+352.905146334E-03
-10.844000E-06,-182.380649101E-03,+343.206653975E-03,+352.905146334E-03
