x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-170.508789932E-03,+362.515698995E-03,+368.985548172E-03
-10.918000E-06,-174.026377834E-03,+360.869970369E-03,+360.945347253E-03
-10.916000E-06,-170.194719583E-03,+362.459166332E-03,+364.161427620E-03
-10.914000E-06,-160.144468435E-03,+359.952884952E-03,+360.945347253E-03
-10.912000E-06,-167.305272378E-03,+361.246854787E-03,+362.553387437E-03
-10.910000E-06,-174.591704461E-03,+361.447859810E-03,+360.945347253E-03
-10.908000E-06,-165.734920636E-03,+360.769467858E-03,+360.945347253E-03
-10.906000E-06,-166.174619124E-03,+359.613688976E-03,+360.945347253E-03
-10.904000E-06,-169.315322608E-03,+361.548362322E-03,+360.945347253E-03
-10.902000E-06,-179.365573756E-03,+360.342332184E-03,+367.377507988E-03
-10.900000E-06,-172.393212022E-03,+360.756905044E-03,+360.945347253E-03
-10.898000E-06,-170.948488420E-03,+358.602382454E-03,+360.945347253E-03
-10.896000E-06,-170.571604001E-03,+360.059668870E-03,+368.985548172E-03
-10.894000E-06,-184.076628983E-03,+360.003136208E-03,+360.945347253E-03
-10.892000E-06,-177.606779805E-03,+360.141327161E-03,+367.377507988E-03
-10.890000E-06,-177.418337596E-03,+357.961678943E-03,+360.945347253E-03
-10.888000E-06,-187.154518397E-03,+358.288312105E-03,+367.377507988E-03
-10.886000E-06,-180.998739568E-03,+355.863689016E-03,+360.945347253E-03
-10.884000E-06,-178.234920502E-03,+359.073487976E-03,+360.945347253E-03
-10.882000E-06,-177.858036084E-03,+356.579769410E-03,+359.337307069E-03
-10.880000E-06,-173.963563764E-03,+358.558412605E-03,+360.945347253E-03
-10.878000E-06,-180.433412941E-03,+357.773236734E-03,+360.945347253E-03
-10.876000E-06,-161.526377967E-03,+357.050874933E-03,+352.905146334E-03
-10.874000E-06,-196.765071057E-03,+355.292080982E-03,+352.905146334E-03
-10.872000E-06,-161.903262386E-03,+358.640070895E-03,+360.945347253E-03
-10.870000E-06,-176.162056203E-03,+356.171477957E-03,+352.905146334E-03
-10.868000E-06,-181.438438056E-03,+355.813437760E-03,+359.337307069E-03
-10.866000E-06,-180.056528523E-03,+354.676503099E-03,+352.905146334E-03
-10.864000E-06,-178.297734572E-03,+356.347357352E-03,+360.945347253E-03
-10.862000E-06,-177.858036084E-03,+354.525749332E-03,+352.905146334E-03
-10.860000E-06,-170.194719584E-03,+354.726754355E-03,+352.905146334E-03
-10.858000E-06,-164.353011103E-03,+353.464191554E-03,+346.472985598E-03
-10.856000E-06,-182.945975728E-03,+355.405146307E-03,+360.945347253E-03
-10.854000E-06,-203.988689070E-03,+355.826000574E-03,+352.905146334E-03
-10.852000E-06,-172.832910510E-03,+354.356151343E-03,+360.945347253E-03
-10.850000E-06,-177.418337596E-03,+353.910171449E-03,+344.864945415E-03
-10.848000E-06,-179.491201896E-03,+353.797106123E-03,+360.945347253E-03
-10.846000E-06,-168.435925632E-03,+353.809668937E-03,+352.905146334E-03
-10.844000E-06,-180.747483289E-03,+354.833538273E-03,+352.905146334E-03
-10.842000E-06,-190.420850020E-03,+353.300874973E-03,+352.905146334E-03
-10.840000E-06,-173.649493416E-03,+353.815950344E-03,+352.905146334E-03
-10.838000E-06,-174.340448182E-03,+353.307156380E-03,+352.905146334E-03
