x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-174.905774809E-03,+351.083538313E-03,+368.985548172E-03
-10.918000E-06,-165.986176915E-03,+349.777005664E-03,+360.945347253E-03
-10.916000E-06,-166.488689472E-03,+351.717960417E-03,+364.161427620E-03
-10.914000E-06,-177.795222015E-03,+351.058412685E-03,+360.945347253E-03
-10.912000E-06,-176.350498412E-03,+350.631277011E-03,+362.553387437E-03
-10.910000E-06,-170.194719583E-03,+349.356151397E-03,+360.945347253E-03
-10.908000E-06,-181.375623986E-03,+351.045849871E-03,+360.945347253E-03
-10.906000E-06,-172.895724580E-03,+351.234292080E-03,+360.945347253E-03
-10.904000E-06,-172.895724580E-03,+351.441578510E-03,+360.945347253E-03
-10.902000E-06,-172.456026092E-03,+348.495598642E-03,+367.377507988E-03
-10.900000E-06,-174.591704461E-03,+348.916452909E-03,+360.945347253E-03
-10.898000E-06,-178.548990851E-03,+348.527005677E-03,+360.945347253E-03
-10.896000E-06,-184.704769679E-03,+348.677759444E-03,+368.985548172E-03
-10.894000E-06,-186.966076187E-03,+347.961679050E-03,+360.945347253E-03
-10.892000E-06,-162.468589013E-03,+348.834794619E-03,+367.377507988E-03
-10.890000E-06,-200.031402681E-03,+348.445347387E-03,+360.945347253E-03
-10.888000E-06,-190.106779672E-03,+349.368714211E-03,+367.377507988E-03
-10.886000E-06,-188.033915372E-03,+348.577256933E-03,+360.945347253E-03
-10.884000E-06,-187.154518396E-03,+348.300875026E-03,+360.945347253E-03
-10.882000E-06,-187.845473163E-03,+346.912684086E-03,+359.337307069E-03
-10.880000E-06,-184.327885261E-03,+347.817206690E-03,+360.945347253E-03
-10.878000E-06,-183.385674216E-03,+346.347357459E-03,+360.945347253E-03
-10.876000E-06,-179.679644105E-03,+347.672734330E-03,+352.905146334E-03
-10.874000E-06,-176.350498412E-03,+347.189065993E-03,+352.905146334E-03
-10.872000E-06,-178.297734572E-03,+346.422734343E-03,+360.945347253E-03
-10.870000E-06,-184.641955609E-03,+345.681528321E-03,+352.905146334E-03
-10.868000E-06,-190.734920369E-03,+346.573488110E-03,+359.337307069E-03
-10.866000E-06,-170.697232141E-03,+346.554643889E-03,+352.905146334E-03
-10.864000E-06,-180.684669220E-03,+346.831025796E-03,+360.945347253E-03
-10.862000E-06,-176.413312481E-03,+345.769468018E-03,+352.905146334E-03
-10.860000E-06,-164.855523661E-03,+346.403890122E-03,+352.905146334E-03
-10.858000E-06,-170.760046210E-03,+345.216704205E-03,+346.472985598E-03
-10.856000E-06,-196.451000709E-03,+344.657658985E-03,+360.945347253E-03
-10.854000E-06,-188.976126417E-03,+343.545849952E-03,+352.905146334E-03
-10.852000E-06,-188.913312348E-03,+345.593588623E-03,+360.945347253E-03
-10.850000E-06,-172.079141674E-03,+342.666452976E-03,+344.864945415E-03
-10.848000E-06,-186.463563631E-03,+345.021980589E-03,+360.945347253E-03
-10.846000E-06,-167.430900518E-03,+343.910171556E-03,+352.905146334E-03
-10.844000E-06,-193.498739434E-03,+343.137558499E-03,+352.905146334E-03
-10.842000E-06,-188.724870138E-03,+342.157659012E-03,+352.905146334E-03
-10.840000E-06,-196.576628848E-03,+343.985548439E-03,+352.905146334E-03
-10.838000E-06,-168.749995980E-03,+343.577256986E-03,+352.905146334E-03
-10.836000E-06,-174.654518530E-03,+343.627508242E-03,+352.905146334E-03
-10.834000E-06,-190.295221880E-03,+342.653890162E-03,+352.905146334E-03
-10.832000E-06,-183.636930495E-03,+343.866201707E-03,+352.905146334E-03
-10.830000E-06,-178.988689338E-03,+343.137558499E-03,+352.905146334E-03
-10.828000E-06,-172.456026092E-03,+343.118714278E-03,+352.905146334E-03
-10.826000E-06,-188.787684208E-03,+340.800875107E-03,+344.864945415E-03
-10.824000E-06,-193.812809783E-03,+342.810925336E-03,+356.121226702E-03
-10.822000E-06,-187.342960604E-03,+343.935297184E-03,+352.905146334E-03
-10.820000E-06,-185.898237003E-03,+341.567206757E-03,+344.864945415E-03
-10.818000E-06,-181.375623986E-03,+342.735548453E-03,+344.864945415E-03
-10.816000E-06,-186.337935491E-03,+342.264442930E-03,+352.905146334E-03
-10.814000E-06,-193.373111294E-03,+342.817206743E-03,+352.905146334E-03
-10.812000E-06,-176.790196899E-03,+342.722985639E-03,+352.905146334E-03
-10.810000E-06,-164.855523661E-03,+341.661427861E-03,+344.864945415E-03
-10.808000E-06,-190.420850020E-03,+340.731779630E-03,+352.905146334E-03
-10.806000E-06,-168.310297493E-03,+341.460422838E-03,+344.864945415E-03
-10.804000E-06,-173.461051207E-03,+340.844844955E-03,+352.905146334E-03
-10.802000E-06,-190.295221881E-03,+339.877508282E-03,+344.864945415E-03
-10.800000E-06,-177.732407944E-03,+340.185297224E-03,+352.905146334E-03
