x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-181.187181777E-03,+350.455397616E-03,+368.985548172E-03
-10.918000E-06,-165.358036218E-03,+350.103638826E-03,+360.945347253E-03
-10.916000E-06,-188.285171651E-03,+348.979266979E-03,+364.161427620E-03
-10.914000E-06,-183.197232007E-03,+350.380020733E-03,+360.945347253E-03
-10.912000E-06,-184.076628982E-03,+350.530774500E-03,+362.553387437E-03
-10.910000E-06,-186.526377700E-03,+349.638814710E-03,+360.945347253E-03
-10.908000E-06,-176.350498412E-03,+350.511930279E-03,+360.945347253E-03
-10.906000E-06,-168.624367841E-03,+349.676503152E-03,+360.945347253E-03
-10.904000E-06,-175.408287367E-03,+348.897608688E-03,+360.945347253E-03
-10.902000E-06,-184.767583749E-03,+347.829769504E-03,+367.377507988E-03
-10.900000E-06,-177.732407945E-03,+347.565950411E-03,+360.945347253E-03
-10.898000E-06,-169.315322608E-03,+347.905146387E-03,+360.945347253E-03
-10.896000E-06,-188.724870139E-03,+347.735548399E-03,+368.985548172E-03
-10.894000E-06,-170.697232141E-03,+349.268211699E-03,+360.945347253E-03
-10.892000E-06,-183.511302355E-03,+348.363689096E-03,+367.377507988E-03
-10.890000E-06,-174.277634112E-03,+347.691578550E-03,+360.945347253E-03
-10.888000E-06,-183.636930495E-03,+348.219216736E-03,+367.377507988E-03
-10.886000E-06,-170.760046210E-03,+346.912684086E-03,+360.945347253E-03
-10.884000E-06,-183.951000843E-03,+346.950372528E-03,+360.945347253E-03
-10.882000E-06,-192.870598737E-03,+347.239317249E-03,+359.337307069E-03
-10.880000E-06,-200.973613726E-03,+345.712935356E-03,+360.945347253E-03
-10.878000E-06,-177.606779806E-03,+345.185297170E-03,+360.945347253E-03
-10.876000E-06,-192.179643971E-03,+346.837307203E-03,+352.905146334E-03
-10.874000E-06,-190.420850020E-03,+346.190322285E-03,+352.905146334E-03
-10.872000E-06,-188.347985721E-03,+346.184040878E-03,+360.945347253E-03
-10.870000E-06,-192.179643971E-03,+346.843588610E-03,+352.905146334E-03
-10.868000E-06,-190.860548508E-03,+346.862432831E-03,+359.337307069E-03
-10.866000E-06,-179.365573756E-03,+344.833538380E-03,+352.905146334E-03
-10.864000E-06,-181.501252126E-03,+346.925246900E-03,+360.945347253E-03
-10.862000E-06,-184.579141540E-03,+347.145096144E-03,+352.905146334E-03
-10.860000E-06,-178.360548642E-03,+345.273236868E-03,+352.905146334E-03
-10.858000E-06,-191.048990717E-03,+346.158915250E-03,+346.472985598E-03
-10.856000E-06,-173.837935625E-03,+345.411427821E-03,+360.945347253E-03
-10.854000E-06,-165.169594009E-03,+345.317206717E-03,+352.905146334E-03
-10.852000E-06,-178.046478293E-03,+344.462935369E-03,+360.945347253E-03
-10.850000E-06,-185.584166655E-03,+345.775749425E-03,+344.864945415E-03
-10.848000E-06,-179.930900383E-03,+344.733035869E-03,+360.945347253E-03
-10.846000E-06,-189.038940487E-03,+344.016955474E-03,+352.905146334E-03
-10.844000E-06,-163.033915639E-03,+343.765699196E-03,+352.905146334E-03
-10.842000E-06,-181.752508404E-03,+344.280774567E-03,+352.905146334E-03
-10.840000E-06,-181.187181777E-03,+343.608664021E-03,+352.905146334E-03
-10.838000E-06,-184.139443052E-03,+342.220473081E-03,+352.905146334E-03
-10.836000E-06,-177.355523527E-03,+342.308412779E-03,+352.905146334E-03
-10.834000E-06,-192.368086180E-03,+342.377508256E-03,+352.905146334E-03
-10.832000E-06,-181.375623985E-03,+343.552131359E-03,+352.905146334E-03
-10.830000E-06,-162.971101571E-03,+341.190322339E-03,+352.905146334E-03
-10.828000E-06,-169.880649235E-03,+340.888814804E-03,+352.905146334E-03
