x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-178.988689338E-03,+352.810925229E-03,+368.985548172E-03
-10.918000E-06,-183.322860146E-03,+351.347357406E-03,+360.945347253E-03
-10.916000E-06,-171.325372838E-03,+352.069719207E-03,+364.161427620E-03
-10.914000E-06,-163.850498546E-03,+351.529518208E-03,+360.945347253E-03
-10.912000E-06,-169.755021096E-03,+352.440322218E-03,+362.553387437E-03
-10.910000E-06,-173.649493416E-03,+350.392583547E-03,+360.945347253E-03
-10.908000E-06,-176.790196900E-03,+351.309668964E-03,+360.945347253E-03
-10.906000E-06,-173.084166789E-03,+350.794593593E-03,+360.945347253E-03
-10.904000E-06,-188.850498278E-03,+349.952885059E-03,+360.945347253E-03
-10.902000E-06,-174.340448182E-03,+349.839819733E-03,+367.377507988E-03
-10.900000E-06,-160.772609132E-03,+351.209166452E-03,+360.945347253E-03
-10.898000E-06,-169.315322608E-03,+348.363689096E-03,+360.945347253E-03
-10.896000E-06,-169.189694469E-03,+349.613689083E-03,+368.985548172E-03
-10.894000E-06,-173.775121555E-03,+349.349869990E-03,+360.945347253E-03
-10.892000E-06,-156.249996115E-03,+350.920221732E-03,+367.377507988E-03
-10.890000E-06,-173.335423067E-03,+349.199116223E-03,+360.945347253E-03
-10.888000E-06,-167.116830169E-03,+349.324744362E-03,+367.377507988E-03
-10.886000E-06,-183.322860146E-03,+347.547106190E-03,+360.945347253E-03
-10.884000E-06,-171.011302489E-03,+349.217960444E-03,+360.945347253E-03
-10.882000E-06,-191.237432926E-03,+347.383789609E-03,+359.337307069E-03
-10.880000E-06,-170.194719584E-03,+348.162684073E-03,+360.945347253E-03
-10.878000E-06,-187.971101302E-03,+345.788312239E-03,+360.945347253E-03
-10.876000E-06,-168.059041215E-03,+349.249367478E-03,+352.905146334E-03
-10.874000E-06,-185.395724446E-03,+347.057156447E-03,+352.905146334E-03
-10.872000E-06,-188.913312348E-03,+347.616201667E-03,+360.945347253E-03
-10.870000E-06,-180.559041081E-03,+346.529518261E-03,+352.905146334E-03
-10.868000E-06,-178.674618990E-03,+347.270724284E-03,+359.337307069E-03
-10.866000E-06,-176.413312481E-03,+346.127508215E-03,+352.905146334E-03
-10.864000E-06,-179.491201896E-03,+345.606151437E-03,+360.945347253E-03
-10.862000E-06,-187.217332466E-03,+345.995598669E-03,+352.905146334E-03
-10.860000E-06,-175.847985854E-03,+346.215447913E-03,+352.905146334E-03
-10.858000E-06,-168.310297493E-03,+345.461679077E-03,+346.472985598E-03
-10.856000E-06,-170.131905513E-03,+345.756905204E-03,+360.945347253E-03
-10.854000E-06,-177.732407944E-03,+344.638814764E-03,+352.905146334E-03
-10.852000E-06,-170.634418072E-03,+347.704141364E-03,+360.945347253E-03
-10.850000E-06,-177.104267248E-03,+345.430272042E-03,+344.864945415E-03
-10.848000E-06,-155.810297627E-03,+344.243086125E-03,+360.945347253E-03
-10.846000E-06,-166.425875403E-03,+344.261930346E-03,+352.905146334E-03
-10.844000E-06,-183.260046077E-03,+344.726754462E-03,+352.905146334E-03
-10.842000E-06,-166.488689472E-03,+343.979267032E-03,+352.905146334E-03
-10.840000E-06,-181.501252126E-03,+345.116201694E-03,+352.905146334E-03
-10.838000E-06,-177.543965736E-03,+343.030774580E-03,+352.905146334E-03
-10.836000E-06,-176.538940621E-03,+344.996854961E-03,+352.905146334E-03
-10.834000E-06,-178.046478293E-03,+342.766955488E-03,+352.905146334E-03
-10.832000E-06,-181.312809916E-03,+343.771980603E-03,+352.905146334E-03
-10.830000E-06,-182.129392823E-03,+344.519468032E-03,+352.905146334E-03
-10.828000E-06,-182.317835031E-03,+343.395096184E-03,+352.905146334E-03
-10.826000E-06,-181.752508404E-03,+344.086050951E-03,+344.864945415E-03
-10.824000E-06,-176.036428064E-03,+342.986804731E-03,+356.121226702E-03
-10.822000E-06,-164.981151800E-03,+342.942834883E-03,+352.905146334E-03
-10.820000E-06,-159.202257389E-03,+344.519468032E-03,+344.864945415E-03
-10.818000E-06,-170.320347723E-03,+342.886302220E-03,+344.864945415E-03
-10.816000E-06,-172.644468301E-03,+343.332282115E-03,+352.905146334E-03
-10.814000E-06,-171.890699465E-03,+341.472985652E-03,+352.905146334E-03
-10.812000E-06,-187.908287232E-03,+343.112432871E-03,+352.905146334E-03
-10.810000E-06,-173.963563764E-03,+339.808412806E-03,+344.864945415E-03
-10.808000E-06,-181.312809917E-03,+340.562181642E-03,+352.905146334E-03
-10.806000E-06,-174.842960739E-03,+340.945347467E-03,+344.864945415E-03
-10.804000E-06,-188.410799791E-03,+341.391327362E-03,+352.905146334E-03
-10.802000E-06,-190.923362577E-03,+338.910171609E-03,+344.864945415E-03
-10.800000E-06,-179.302759687E-03,+339.588563562E-03,+352.905146334E-03
-10.798000E-06,-200.659543378E-03,+341.014442944E-03,+346.472985598E-03
-10.796000E-06,-188.913312348E-03,+338.929015830E-03,+352.905146334E-03
-10.794000E-06,-183.888186772E-03,+338.244342471E-03,+344.864945415E-03
-10.792000E-06,-162.531403084E-03,+338.464191715E-03,+352.905146334E-03
-10.790000E-06,-177.418337596E-03,+338.709166586E-03,+344.864945415E-03
-10.788000E-06,-182.443463171E-03,+340.731779630E-03,+352.905146334E-03
-10.786000E-06,-177.606779805E-03,+338.910171609E-03,+340.040824863E-03
-10.784000E-06,-158.197232274E-03,+336.956654042E-03,+348.081025783E-03
-10.782000E-06,-170.194719584E-03,+337.880020867E-03,+344.864945415E-03
-10.780000E-06,-173.649493415E-03,+338.552131412E-03,+344.864945415E-03
-10.778000E-06,-173.146980858E-03,+339.488061050E-03,+344.864945415E-03
-10.776000E-06,-168.687181911E-03,+339.104895225E-03,+348.081025782E-03
-10.774000E-06,-192.682156528E-03,+337.528262076E-03,+344.864945415E-03
-10.772000E-06,-172.267583882E-03,+337.766955541E-03,+344.864945415E-03
-10.770000E-06,-179.616830035E-03,+337.421478158E-03,+336.824744497E-03
-10.768000E-06,-170.822860279E-03,+336.812181682E-03,+352.905146334E-03
-10.766000E-06,-181.501252125E-03,+336.711679171E-03,+344.864945415E-03
-10.764000E-06,-170.257533653E-03,+337.364945495E-03,+344.864945415E-03
-10.762000E-06,-191.739945482E-03,+336.234292241E-03,+343.256905230E-03
-10.760000E-06,-172.079141675E-03,+336.479267113E-03,+344.864945415E-03
-10.758000E-06,-200.910799657E-03,+335.694091242E-03,+344.864945415E-03
-10.756000E-06,-185.521352585E-03,+337.214191728E-03,+344.864945415E-03
-10.754000E-06,-179.177131548E-03,+334.883789743E-03,+336.824744496E-03
-10.752000E-06,-172.204769815E-03,+334.858664115E-03,+351.297106149E-03
-10.750000E-06,-175.533915506E-03,+335.694091242E-03,+344.864945415E-03
-10.748000E-06,-196.011302222E-03,+335.964191742E-03,+344.864945415E-03
-10.746000E-06,-182.694719449E-03,+335.329769637E-03,+336.824744496E-03
-10.744000E-06,-180.747483289E-03,+334.161427942E-03,+349.689065965E-03
-10.742000E-06,-192.493714319E-03,+334.349870151E-03,+344.864945415E-03
-10.740000E-06,-187.782659092E-03,+334.846101301E-03,+336.824744497E-03
-10.738000E-06,-162.028890523E-03,+332.063438014E-03,+336.824744496E-03
-10.736000E-06,-170.885674349E-03,+334.940322406E-03,+344.864945415E-03
-10.734000E-06,-188.222357583E-03,+333.483035989E-03,+344.864945415E-03
-10.732000E-06,-170.697232142E-03,+334.123739500E-03,+338.432784681E-03
-10.730000E-06,-193.435925364E-03,+334.280774674E-03,+328.784543578E-03
-10.728000E-06,-191.677131416E-03,+333.746855082E-03,+344.864945415E-03
-10.726000E-06,-177.543965735E-03,+331.937809875E-03,+344.864945415E-03
-10.724000E-06,-181.375623986E-03,+333.640071163E-03,+344.864945415E-03
-10.722000E-06,-170.131905512E-03,+333.401377698E-03,+335.216704311E-03
-10.720000E-06,-178.674618990E-03,+331.673990782E-03,+344.864945414E-03
-10.718000E-06,-176.538940621E-03,+332.277005851E-03,+336.824744496E-03
-10.716000E-06,-187.028890258E-03,+332.478010874E-03,+344.864945415E-03
-10.714000E-06,-189.478638973E-03,+331.887558619E-03,+336.824744496E-03
-10.712000E-06,-172.707282371E-03,+330.015699343E-03,+343.256905230E-03
-10.710000E-06,-177.104267247E-03,+329.318463169E-03,+336.824744497E-03
-10.708000E-06,-194.378136411E-03,+330.694091295E-03,+336.824744496E-03
-10.706000E-06,-170.697232140E-03,+330.631277226E-03,+336.824744496E-03
-10.704000E-06,-170.006277374E-03,+329.412684274E-03,+336.824744496E-03
-10.702000E-06,-175.157031088E-03,+329.500623971E-03,+336.824744496E-03
-10.700000E-06,-167.682156797E-03,+331.140071190E-03,+336.824744496E-03
-10.698000E-06,-179.616830032E-03,+329.519468192E-03,+330.392583760E-03
-10.696000E-06,-153.925875537E-03,+329.557156634E-03,+344.864945415E-03
-10.694000E-06,-188.662056070E-03,+328.432784787E-03,+336.824744496E-03
-10.692000E-06,-174.591704463E-03,+329.406402867E-03,+336.824744496E-03
