x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-175.847985854E-03,+350.706653895E-03,+368.985548172E-03
-10.918000E-06,-186.966076188E-03,+351.133789569E-03,+360.945347253E-03
-10.916000E-06,-180.433412941E-03,+350.279518221E-03,+364.161427620E-03
-10.914000E-06,-178.423362711E-03,+351.944091068E-03,+360.945347253E-03
-10.912000E-06,-177.983664224E-03,+349.356151397E-03,+362.553387437E-03
-10.910000E-06,-168.938438190E-03,+350.675246860E-03,+360.945347253E-03
-10.908000E-06,-162.719845292E-03,+349.783287071E-03,+360.945347253E-03
-10.906000E-06,-188.599241999E-03,+349.488060943E-03,+360.945347253E-03
-10.904000E-06,-165.609292497E-03,+348.413940352E-03,+360.945347253E-03
-10.902000E-06,-161.589192037E-03,+349.349869990E-03,+367.377507988E-03
-10.900000E-06,-173.335423067E-03,+349.418965467E-03,+360.945347253E-03
-10.898000E-06,-178.360548642E-03,+348.495598642E-03,+360.945347253E-03
-10.896000E-06,-175.471101436E-03,+348.263186585E-03,+368.985548172E-03
-10.894000E-06,-181.375623986E-03,+349.186553409E-03,+360.945347253E-03
-10.892000E-06,-183.197232007E-03,+348.979266979E-03,+367.377507988E-03
-10.890000E-06,-176.476126551E-03,+347.251880063E-03,+360.945347253E-03
-10.888000E-06,-165.483664358E-03,+346.736804691E-03,+367.377507988E-03
-10.886000E-06,-176.727382830E-03,+347.741829806E-03,+360.945347253E-03
-10.884000E-06,-159.327885529E-03,+346.793337354E-03,+360.945347253E-03
-10.882000E-06,-167.242458308E-03,+345.694091135E-03,+359.337307069E-03
-10.880000E-06,-178.988689338E-03,+345.493086112E-03,+360.945347253E-03
-10.878000E-06,-170.383161792E-03,+347.289568505E-03,+360.945347253E-03
-10.876000E-06,-161.966076456E-03,+348.162684073E-03,+352.905146334E-03
-10.874000E-06,-181.124367708E-03,+347.371226795E-03,+352.905146334E-03
-10.872000E-06,-178.486176781E-03,+346.328513238E-03,+360.945347253E-03
-10.870000E-06,-175.219845158E-03,+346.717960470E-03,+352.905146334E-03
-10.868000E-06,-185.081654098E-03,+347.069719261E-03,+359.337307069E-03
-10.866000E-06,-184.076628983E-03,+346.454141378E-03,+352.905146334E-03
-10.864000E-06,-177.229895387E-03,+345.222985612E-03,+360.945347253E-03
-10.862000E-06,-180.747483290E-03,+343.828513265E-03,+352.905146334E-03
-10.860000E-06,-180.559041080E-03,+345.869970530E-03,+352.905146334E-03
-10.858000E-06,-194.001251992E-03,+345.518211740E-03,+346.472985598E-03
-10.856000E-06,-191.739945483E-03,+345.191578577E-03,+360.945347253E-03
-10.854000E-06,-186.652005840E-03,+343.614945428E-03,+352.905146334E-03
-10.852000E-06,-172.330397952E-03,+344.249367532E-03,+360.945347253E-03
-10.850000E-06,-184.641955609E-03,+343.483035882E-03,+344.864945415E-03
-10.848000E-06,-147.895724847E-03,+343.005648952E-03,+360.945347253E-03
-10.846000E-06,-171.576629116E-03,+343.263186638E-03,+352.905146334E-03
-10.844000E-06,-199.403261984E-03,+342.967960511E-03,+352.905146334E-03
-10.842000E-06,-175.408287367E-03,+343.972985625E-03,+352.905146334E-03
-10.840000E-06,-172.707282370E-03,+343.294593673E-03,+352.905146334E-03
-10.838000E-06,-172.330397952E-03,+340.989317316E-03,+352.905146334E-03
-10.836000E-06,-182.192206892E-03,+343.834794672E-03,+352.905146334E-03
-10.834000E-06,-192.493714319E-03,+342.101126349E-03,+352.905146334E-03
-10.832000E-06,-167.116830169E-03,+340.744342444E-03,+352.905146334E-03
-10.830000E-06,-177.732407945E-03,+342.572231872E-03,+352.905146334E-03
-10.828000E-06,-177.858036084E-03,+342.710422825E-03,+352.905146334E-03
-10.826000E-06,-207.255020694E-03,+342.484292174E-03,+344.864945415E-03
-10.824000E-06,-175.157031089E-03,+340.166453003E-03,+356.121226702E-03
-10.822000E-06,-174.152005974E-03,+340.405146468E-03,+352.905146334E-03
-10.820000E-06,-183.385674215E-03,+342.258161523E-03,+344.864945415E-03
-10.818000E-06,-179.554015966E-03,+340.932784653E-03,+344.864945415E-03
-10.816000E-06,-148.461051475E-03,+340.084794712E-03,+352.905146334E-03
-10.814000E-06,-184.013814913E-03,+339.601126376E-03,+352.905146334E-03
-10.812000E-06,-166.928387961E-03,+340.618714305E-03,+352.905146334E-03
-10.810000E-06,-187.468588744E-03,+339.651377631E-03,+344.864945415E-03
-10.808000E-06,-166.802759820E-03,+339.004392714E-03,+352.905146334E-03
-10.806000E-06,-174.277634113E-03,+339.374995725E-03,+344.864945415E-03
-10.804000E-06,-193.938437922E-03,+339.073488191E-03,+352.905146334E-03
-10.802000E-06,-194.126880131E-03,+340.543337421E-03,+344.864945415E-03
-10.800000E-06,-178.988689338E-03,+339.337307283E-03,+352.905146334E-03
-10.798000E-06,-178.046478294E-03,+339.280774620E-03,+346.472985598E-03
-10.796000E-06,-170.760046210E-03,+339.268211806E-03,+352.905146334E-03
-10.794000E-06,-187.217332466E-03,+338.439066087E-03,+344.864945415E-03
-10.792000E-06,-179.051503409E-03,+337.534543483E-03,+352.905146334E-03
-10.790000E-06,-195.948488152E-03,+337.829769611E-03,+344.864945415E-03
-10.788000E-06,-198.963563498E-03,+338.721729400E-03,+352.905146334E-03
-10.786000E-06,-197.141955476E-03,+338.501880156E-03,+340.040824863E-03
-10.784000E-06,-168.938438191E-03,+337.076000775E-03,+348.081025783E-03
-10.782000E-06,-191.739945482E-03,+337.509417855E-03,+344.864945415E-03
-10.780000E-06,-188.096729443E-03,+339.494342457E-03,+344.864945415E-03
-10.778000E-06,-177.229895387E-03,+337.635045995E-03,+344.864945415E-03
-10.776000E-06,-175.345473297E-03,+336.630020880E-03,+348.081025782E-03
-10.774000E-06,-181.124367707E-03,+336.158915357E-03,+344.864945415E-03
