x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-166.739945751E-03,+349.136302153E-03,+368.985548172E-03
-10.918000E-06,-180.307784802E-03,+350.153890082E-03,+360.945347253E-03
-10.916000E-06,-190.420850020E-03,+349.274493106E-03,+364.161427620E-03
-10.914000E-06,-173.335423067E-03,+350.329769477E-03,+360.945347253E-03
-10.912000E-06,-180.810297359E-03,+348.972985572E-03,+362.553387437E-03
-10.910000E-06,-181.501252126E-03,+350.392583547E-03,+360.945347253E-03
-10.908000E-06,-177.669593875E-03,+347.591076039E-03,+360.945347253E-03
-10.906000E-06,-172.267583883E-03,+348.916452909E-03,+360.945347253E-03
-10.904000E-06,-193.749995713E-03,+347.415196644E-03,+360.945347253E-03
-10.902000E-06,-165.106779939E-03,+349.544593606E-03,+367.377507988E-03
-10.900000E-06,-188.724870138E-03,+346.843588610E-03,+360.945347253E-03
-10.898000E-06,-180.684669220E-03,+348.150121259E-03,+360.945347253E-03
-10.896000E-06,-172.456026092E-03,+347.044593633E-03,+368.985548172E-03
-10.894000E-06,-179.239945617E-03,+347.930272015E-03,+360.945347253E-03
-10.892000E-06,-184.830397819E-03,+347.207910214E-03,+367.377507988E-03
-10.890000E-06,-164.855523661E-03,+348.099870003E-03,+360.945347253E-03
-10.888000E-06,-166.991202030E-03,+347.094844888E-03,+367.377507988E-03
-10.886000E-06,-165.797734706E-03,+348.941578537E-03,+360.945347253E-03
-10.884000E-06,-176.287684342E-03,+346.397608715E-03,+360.945347253E-03
-10.882000E-06,-170.257533653E-03,+347.320975539E-03,+359.337307069E-03
-10.880000E-06,-171.136930628E-03,+345.712935356E-03,+360.945347253E-03
-10.878000E-06,-181.375623986E-03,+346.680272029E-03,+360.945347253E-03
-10.876000E-06,-174.717332600E-03,+345.775749425E-03,+352.905146334E-03
-10.874000E-06,-182.003764683E-03,+346.171478064E-03,+352.905146334E-03
-10.872000E-06,-195.948488151E-03,+345.807156460E-03,+360.945347253E-03
-10.870000E-06,-178.360548642E-03,+345.901377565E-03,+352.905146334E-03
-10.868000E-06,-174.968588879E-03,+344.532030846E-03,+359.337307069E-03
-10.866000E-06,-175.847985855E-03,+346.278261983E-03,+352.905146334E-03
-10.864000E-06,-180.621855150E-03,+345.436553449E-03,+360.945347253E-03
-10.862000E-06,-186.149493282E-03,+345.398865007E-03,+352.905146334E-03
-10.860000E-06,-184.327885261E-03,+344.488060997E-03,+352.905146334E-03
-10.858000E-06,-168.310297493E-03,+345.888814751E-03,+346.472985598E-03
-10.856000E-06,-183.385674216E-03,+343.614945428E-03,+360.945347253E-03
-10.854000E-06,-169.252508538E-03,+346.711679063E-03,+352.905146334E-03
-10.852000E-06,-179.805272245E-03,+342.277005744E-03,+360.945347253E-03
-10.850000E-06,-174.905774809E-03,+345.587307216E-03,+344.864945415E-03
-10.848000E-06,-188.410799790E-03,+342.609920313E-03,+360.945347253E-03
-10.846000E-06,-180.559041081E-03,+343.891327335E-03,+352.905146334E-03
-10.844000E-06,-192.744970599E-03,+342.201628860E-03,+352.905146334E-03
-10.842000E-06,-166.928387961E-03,+343.093588650E-03,+352.905146334E-03
-10.840000E-06,-185.898237003E-03,+343.074744429E-03,+352.905146334E-03
-10.838000E-06,-192.305272111E-03,+343.947859998E-03,+352.905146334E-03
-10.836000E-06,-194.378136409E-03,+342.490573581E-03,+352.905146334E-03
-10.834000E-06,-184.830397818E-03,+343.150121313E-03,+352.905146334E-03
-10.832000E-06,-196.011302221E-03,+341.969216803E-03,+352.905146334E-03
-10.830000E-06,-194.378136410E-03,+341.787056001E-03,+352.905146334E-03
-10.828000E-06,-182.192206891E-03,+341.994342431E-03,+352.905146334E-03
-10.826000E-06,-181.689694336E-03,+341.868714291E-03,+344.864945415E-03
-10.824000E-06,-166.614317612E-03,+341.510674094E-03,+356.121226702E-03
-10.822000E-06,-175.282659228E-03,+343.633789649E-03,+352.905146334E-03
-10.820000E-06,-188.410799789E-03,+340.939066060E-03,+344.864945415E-03
-10.818000E-06,-188.473613861E-03,+341.265699222E-03,+344.864945415E-03
-10.816000E-06,-187.468588745E-03,+340.034543457E-03,+352.905146334E-03
-10.814000E-06,-177.167081319E-03,+341.184040932E-03,+352.905146334E-03
-10.812000E-06,-186.023865142E-03,+339.123739446E-03,+352.905146334E-03
-10.810000E-06,-173.649493416E-03,+339.871226875E-03,+344.864945415E-03
-10.808000E-06,-188.347985721E-03,+337.591076146E-03,+352.905146334E-03
-10.806000E-06,-162.845473432E-03,+339.952885166E-03,+344.864945415E-03
-10.804000E-06,-194.943463037E-03,+338.432784680E-03,+352.905146334E-03
-10.802000E-06,-185.835422934E-03,+339.167709295E-03,+344.864945415E-03
-10.800000E-06,-204.428387558E-03,+338.363689203E-03,+352.905146334E-03
-10.798000E-06,-186.903262119E-03,+339.437809795E-03,+346.472985598E-03
-10.796000E-06,-185.835422933E-03,+337.308412833E-03,+352.905146334E-03
-10.794000E-06,-182.631905379E-03,+338.790824877E-03,+344.864945415E-03
-10.792000E-06,-178.674618991E-03,+338.916453016E-03,+352.905146334E-03
-10.790000E-06,-169.566578887E-03,+337.515699262E-03,+344.864945415E-03
-10.788000E-06,-183.322860146E-03,+337.603638960E-03,+352.905146334E-03
-10.786000E-06,-172.518840163E-03,+337.547106297E-03,+340.040824863E-03
-10.784000E-06,-186.966076187E-03,+337.113689216E-03,+348.081025783E-03
-10.782000E-06,-187.280146537E-03,+337.842332425E-03,+344.864945415E-03
-10.780000E-06,-183.071603867E-03,+336.510674148E-03,+344.864945415E-03
-10.778000E-06,-187.405774676E-03,+336.014442997E-03,+344.864945415E-03
-10.776000E-06,-176.099242133E-03,+335.725498277E-03,+348.081025782E-03
-10.774000E-06,-171.890699465E-03,+336.975498263E-03,+344.864945415E-03
-10.772000E-06,-177.669593875E-03,+336.472985706E-03,+344.864945415E-03
-10.770000E-06,-171.765071325E-03,+335.694091242E-03,+336.824744497E-03
-10.768000E-06,-173.021352718E-03,+335.053387731E-03,+352.905146334E-03
-10.766000E-06,-178.548990851E-03,+336.328513345E-03,+344.864945415E-03
-10.764000E-06,-173.900749694E-03,+335.486804812E-03,+344.864945415E-03
-10.762000E-06,-185.961051072E-03,+334.846101301E-03,+343.256905230E-03
-10.760000E-06,-175.847985855E-03,+333.244342524E-03,+344.864945415E-03
-10.758000E-06,-186.023865145E-03,+336.303387718E-03,+344.864945415E-03
-10.756000E-06,-169.064066330E-03,+333.728010861E-03,+344.864945415E-03
-10.754000E-06,-182.443463170E-03,+335.053387731E-03,+336.824744496E-03
-10.752000E-06,-185.898237003E-03,+333.627508349E-03,+351.297106149E-03
-10.750000E-06,-192.179643972E-03,+335.128764615E-03,+344.864945415E-03
-10.748000E-06,-194.315322340E-03,+333.809669151E-03,+344.864945415E-03
-10.746000E-06,-177.167081318E-03,+334.576000802E-03,+336.824744496E-03
-10.744000E-06,-182.694719447E-03,+332.766955595E-03,+349.689065965E-03
-10.742000E-06,-184.893211889E-03,+333.068463129E-03,+344.864945415E-03
-10.740000E-06,-181.815322474E-03,+331.956654096E-03,+336.824744497E-03
-10.738000E-06,-170.383161791E-03,+333.068463129E-03,+336.824744496E-03
-10.736000E-06,-190.169593741E-03,+331.981779724E-03,+344.864945415E-03
-10.734000E-06,-182.380649101E-03,+334.726754569E-03,+344.864945415E-03
-10.732000E-06,-199.403261984E-03,+331.642583747E-03,+338.432784681E-03
-10.730000E-06,-179.302759687E-03,+333.464191768E-03,+328.784543578E-03
-10.728000E-06,-176.036428063E-03,+330.518211900E-03,+344.864945415E-03
-10.726000E-06,-182.569091312E-03,+334.173990755E-03,+344.864945415E-03
-10.724000E-06,-185.584166653E-03,+331.070975713E-03,+344.864945415E-03
-10.722000E-06,-176.538940621E-03,+331.881277212E-03,+335.216704311E-03
-10.720000E-06,-180.559041080E-03,+330.951628981E-03,+344.864945414E-03
-10.718000E-06,-192.556528392E-03,+331.962935503E-03,+336.824744496E-03
-10.716000E-06,-186.463563630E-03,+330.003136529E-03,+344.864945415E-03
-10.714000E-06,-182.129392821E-03,+329.852382762E-03,+336.824744496E-03
-10.712000E-06,-183.888186773E-03,+329.431528495E-03,+343.256905230E-03
-10.710000E-06,-168.624367844E-03,+330.292081249E-03,+336.824744497E-03
-10.708000E-06,-177.543965735E-03,+330.486804865E-03,+336.824744496E-03
-10.706000E-06,-167.430900517E-03,+331.636302340E-03,+336.824744496E-03
-10.704000E-06,-187.908287231E-03,+329.908915424E-03,+336.824744496E-03
-10.702000E-06,-173.461051208E-03,+329.959166680E-03,+336.824744496E-03
-10.700000E-06,-178.360548641E-03,+328.407659159E-03,+336.824744496E-03
-10.698000E-06,-175.471101437E-03,+328.954141565E-03,+330.392583760E-03
-10.696000E-06,-177.669593876E-03,+326.981779777E-03,+344.864945415E-03
-10.694000E-06,-190.546478162E-03,+328.684041066E-03,+336.824744496E-03
-10.692000E-06,-199.466076052E-03,+327.679015951E-03,+336.824744496E-03
-10.690000E-06,-193.435925365E-03,+327.779518462E-03,+328.784543578E-03
-10.688000E-06,-200.471101167E-03,+327.521980776E-03,+336.824744496E-03
-10.686000E-06,-186.086679215E-03,+329.211679251E-03,+336.824744496E-03
-10.684000E-06,-197.644468032E-03,+326.177759685E-03,+336.824744496E-03
-10.682000E-06,-165.358036220E-03,+326.579769732E-03,+328.784543577E-03
-10.680000E-06,-180.873111429E-03,+326.460422999E-03,+336.824744496E-03
-10.678000E-06,-192.870598739E-03,+327.842332532E-03,+336.824744496E-03
-10.676000E-06,-190.609292228E-03,+326.787056161E-03,+336.824744496E-03
-10.674000E-06,-174.340448184E-03,+325.983036070E-03,+328.784543577E-03
-10.672000E-06,-172.518840162E-03,+325.712935570E-03,+336.824744496E-03
-10.670000E-06,-177.104267249E-03,+326.743086312E-03,+336.824744496E-03
-10.668000E-06,-189.164568627E-03,+326.114945616E-03,+335.216704313E-03
-10.666000E-06,-180.244970734E-03,+325.706654163E-03,+328.784543577E-03
-10.664000E-06,-183.951000842E-03,+324.067206944E-03,+336.824744496E-03
-10.662000E-06,-181.061553640E-03,+325.072232059E-03,+336.824744496E-03
-10.660000E-06,-190.923362575E-03,+322.942835097E-03,+336.824744496E-03
-10.658000E-06,-172.644468301E-03,+325.442835070E-03,+328.784543577E-03
-10.656000E-06,-188.787684209E-03,+323.137558713E-03,+336.824744496E-03
-10.654000E-06,-180.496227013E-03,+324.663940606E-03,+332.000623946E-03
-10.652000E-06,-179.930900384E-03,+322.679016004E-03,+336.824744496E-03
-10.650000E-06,-175.219845159E-03,+324.733036083E-03,+328.784543578E-03
