x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-186.212307352E-03,+349.167709188E-03,+368.985548172E-03
-10.918000E-06,-161.652006107E-03,+349.827256920E-03,+360.945347253E-03
-10.916000E-06,-180.810297359E-03,+349.425246874E-03,+364.161427620E-03
-10.914000E-06,-155.747483557E-03,+350.618714197E-03,+360.945347253E-03
-10.912000E-06,-171.451000977E-03,+347.478010714E-03,+362.553387437E-03
-10.910000E-06,-162.028890525E-03,+349.293337327E-03,+360.945347253E-03
-10.908000E-06,-170.760046210E-03,+349.067206676E-03,+360.945347253E-03
-10.906000E-06,-161.023865410E-03,+348.483035828E-03,+360.945347253E-03
-10.904000E-06,-192.242458041E-03,+348.508161456E-03,+360.945347253E-03
-10.902000E-06,-173.712307485E-03,+347.911427794E-03,+367.377507988E-03
-10.900000E-06,-196.890699197E-03,+347.094844888E-03,+360.945347253E-03
-10.898000E-06,-159.453513668E-03,+348.388814724E-03,+360.945347253E-03
-10.896000E-06,-175.282659227E-03,+346.121226808E-03,+368.985548172E-03
-10.894000E-06,-187.217332466E-03,+347.942834829E-03,+360.945347253E-03
-10.892000E-06,-180.244970732E-03,+346.253136355E-03,+367.377507988E-03
-10.890000E-06,-170.508789932E-03,+348.476754421E-03,+360.945347253E-03
-10.888000E-06,-181.375623986E-03,+346.994342377E-03,+367.377507988E-03
-10.886000E-06,-193.435925364E-03,+348.074744376E-03,+360.945347253E-03
-10.884000E-06,-172.267583883E-03,+345.819719274E-03,+360.945347253E-03
-10.882000E-06,-172.770096440E-03,+346.931528307E-03,+359.337307069E-03
-10.880000E-06,-191.237432925E-03,+345.493086112E-03,+360.945347253E-03
-10.878000E-06,-170.383161792E-03,+347.478010714E-03,+360.945347253E-03
-10.876000E-06,-173.649493416E-03,+345.461679077E-03,+352.905146334E-03
-10.874000E-06,-183.260046077E-03,+346.152633843E-03,+352.905146334E-03
-10.872000E-06,-198.775121287E-03,+345.298362496E-03,+360.945347253E-03
-10.870000E-06,-173.963563764E-03,+346.152633843E-03,+352.905146334E-03
-10.868000E-06,-177.795222014E-03,+344.104895172E-03,+359.337307069E-03
-10.866000E-06,-177.167081318E-03,+346.014442890E-03,+352.905146334E-03
-10.864000E-06,-194.817834897E-03,+345.166452949E-03,+360.945347253E-03
-10.862000E-06,-164.227382964E-03,+345.292081089E-03,+352.905146334E-03
-10.860000E-06,-180.873111429E-03,+344.959166519E-03,+352.905146334E-03
-10.858000E-06,-149.654518798E-03,+344.820975566E-03,+346.472985598E-03
-10.856000E-06,-185.961051072E-03,+343.388814777E-03,+360.945347253E-03
-10.854000E-06,-182.380649101E-03,+345.222985612E-03,+352.905146334E-03
-10.852000E-06,-197.895724312E-03,+343.520724324E-03,+360.945347253E-03
-10.850000E-06,-172.707282371E-03,+343.608664021E-03,+344.864945415E-03
-10.848000E-06,-196.262558500E-03,+342.672734383E-03,+360.945347253E-03
-10.846000E-06,-184.265071191E-03,+344.117457986E-03,+352.905146334E-03
-10.844000E-06,-188.410799790E-03,+341.636302233E-03,+352.905146334E-03
-10.842000E-06,-163.787684477E-03,+344.469216776E-03,+352.905146334E-03
-10.840000E-06,-193.121855015E-03,+342.949116290E-03,+352.905146334E-03
-10.838000E-06,-185.835422934E-03,+343.231779603E-03,+352.905146334E-03
-10.836000E-06,-184.579141540E-03,+342.628764534E-03,+352.905146334E-03
-10.834000E-06,-180.559041081E-03,+342.572231872E-03,+352.905146334E-03
-10.832000E-06,-196.702256987E-03,+341.648865047E-03,+352.905146334E-03
-10.830000E-06,-186.212307352E-03,+342.886302220E-03,+352.905146334E-03
-10.828000E-06,-188.033915373E-03,+340.109920340E-03,+352.905146334E-03
-10.826000E-06,-167.430900517E-03,+342.258161523E-03,+344.864945415E-03
-10.824000E-06,-198.272608729E-03,+339.908915317E-03,+356.121226702E-03
-10.822000E-06,-180.810297359E-03,+341.636302233E-03,+352.905146334E-03
-10.820000E-06,-192.493714319E-03,+339.839819841E-03,+344.864945415E-03
-10.818000E-06,-179.742458175E-03,+341.479267059E-03,+344.864945415E-03
