x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-164.855523661E-03,+348.131277038E-03,+368.985548172E-03
-10.918000E-06,-144.817835433E-03,+348.206653922E-03,+360.945347253E-03
-10.916000E-06,-184.327885261E-03,+346.642583587E-03,+364.161427620E-03
-10.914000E-06,-179.177131547E-03,+348.508161456E-03,+360.945347253E-03
-10.912000E-06,-172.832910510E-03,+346.033287111E-03,+362.553387437E-03
-10.910000E-06,-173.335423067E-03,+346.560925296E-03,+360.945347253E-03
-10.908000E-06,-191.991201762E-03,+346.950372528E-03,+360.945347253E-03
-10.906000E-06,-180.244970732E-03,+348.175246887E-03,+360.945347253E-03
-10.904000E-06,-167.368086448E-03,+345.869970530E-03,+360.945347253E-03
-10.902000E-06,-165.923362845E-03,+345.863689123E-03,+367.377507988E-03
-10.900000E-06,-171.136930628E-03,+346.749367505E-03,+360.945347253E-03
-10.898000E-06,-167.996227144E-03,+347.817206690E-03,+360.945347253E-03
-10.896000E-06,-186.400749561E-03,+346.322231831E-03,+368.985548172E-03
-10.894000E-06,-142.744971134E-03,+344.751880089E-03,+360.945347253E-03
-10.892000E-06,-180.873111429E-03,+346.548362482E-03,+367.377507988E-03
-10.890000E-06,-168.624367841E-03,+348.225498143E-03,+360.945347253E-03
-10.888000E-06,-189.415824905E-03,+344.632533357E-03,+367.377507988E-03
-10.886000E-06,-157.066579020E-03,+345.116201694E-03,+360.945347253E-03
-10.884000E-06,-198.146980591E-03,+345.756905204E-03,+360.945347253E-03
-10.882000E-06,-176.664568761E-03,+345.869970530E-03,+359.337307069E-03
-10.880000E-06,-176.162056203E-03,+344.519468032E-03,+360.945347253E-03
-10.878000E-06,-160.395724713E-03,+344.513186625E-03,+360.945347253E-03
-10.876000E-06,-184.516327470E-03,+344.651377578E-03,+352.905146334E-03
-10.874000E-06,-174.654518531E-03,+345.065950438E-03,+352.905146334E-03
-10.872000E-06,-166.614317612E-03,+343.288312266E-03,+360.945347253E-03
-10.870000E-06,-179.302759686E-03,+344.864945415E-03,+352.905146334E-03
-10.868000E-06,-198.461050939E-03,+343.344844929E-03,+359.337307069E-03
-10.866000E-06,-187.028890258E-03,+345.788312239E-03,+352.905146334E-03
-10.864000E-06,-190.358035950E-03,+343.250623824E-03,+360.945347253E-03
-10.862000E-06,-171.325372838E-03,+343.596101207E-03,+352.905146334E-03
-10.860000E-06,-189.353010835E-03,+344.425246927E-03,+352.905146334E-03
-10.858000E-06,-185.270096307E-03,+344.525749439E-03,+346.472985598E-03
-10.856000E-06,-159.327885528E-03,+342.710422825E-03,+360.945347253E-03
-10.854000E-06,-157.694719718E-03,+342.314694186E-03,+352.905146334E-03
-10.852000E-06,-198.209794660E-03,+343.263186638E-03,+360.945347253E-03
-10.850000E-06,-179.930900384E-03,+345.587307216E-03,+344.864945415E-03
-10.848000E-06,-181.626880265E-03,+340.386302247E-03,+360.945347253E-03
-10.846000E-06,-172.204769813E-03,+342.283287151E-03,+352.905146334E-03
-10.844000E-06,-186.714819908E-03,+340.135045968E-03,+352.905146334E-03
-10.842000E-06,-199.026377566E-03,+344.142583614E-03,+352.905146334E-03
-10.840000E-06,-193.749995712E-03,+340.467960537E-03,+352.905146334E-03
-10.838000E-06,-149.528890659E-03,+340.624995712E-03,+352.905146334E-03
-10.836000E-06,-179.177131548E-03,+340.813437921E-03,+352.905146334E-03
-10.834000E-06,-180.873111429E-03,+342.955397697E-03,+352.905146334E-03
-10.832000E-06,-180.559041081E-03,+338.715447993E-03,+352.905146334E-03
-10.830000E-06,-173.649493415E-03,+340.373739433E-03,+352.905146334E-03
-10.828000E-06,-196.953513266E-03,+340.826000735E-03,+352.905146334E-03
-10.826000E-06,-186.149493281E-03,+341.447860024E-03,+344.864945415E-03
-10.824000E-06,-174.654518531E-03,+339.990573608E-03,+356.121226702E-03
-10.822000E-06,-169.755021096E-03,+338.495598749E-03,+352.905146334E-03
-10.820000E-06,-191.865573622E-03,+339.305900248E-03,+344.864945415E-03
-10.818000E-06,-188.976126418E-03,+341.008161537E-03,+344.864945415E-03
-10.816000E-06,-170.571604001E-03,+337.295850019E-03,+352.905146334E-03
-10.814000E-06,-169.001252259E-03,+337.741829913E-03,+352.905146334E-03
-10.812000E-06,-170.697232140E-03,+338.545850005E-03,+352.905146334E-03
-10.810000E-06,-181.501252126E-03,+340.436553503E-03,+344.864945415E-03
-10.808000E-06,-182.066578753E-03,+337.327257053E-03,+352.905146334E-03
-10.806000E-06,-166.363061332E-03,+337.283287205E-03,+344.864945415E-03
-10.804000E-06,-200.219844890E-03,+337.245598763E-03,+352.905146334E-03
-10.802000E-06,-170.257533653E-03,+338.344844982E-03,+344.864945415E-03
-10.800000E-06,-173.335423068E-03,+336.761930426E-03,+352.905146334E-03
-10.798000E-06,-177.167081318E-03,+336.309669125E-03,+346.472985598E-03
-10.796000E-06,-186.777633979E-03,+337.722985692E-03,+352.905146334E-03
-10.794000E-06,-188.850498279E-03,+337.735548506E-03,+344.864945415E-03
-10.792000E-06,-194.378136409E-03,+336.058412846E-03,+352.905146334E-03
-10.790000E-06,-158.574116694E-03,+335.819719381E-03,+344.864945415E-03
-10.788000E-06,-194.880648968E-03,+336.554643996E-03,+352.905146334E-03
-10.786000E-06,-194.755020827E-03,+338.156402773E-03,+340.040824863E-03
-10.784000E-06,-180.684669220E-03,+334.871226929E-03,+348.081025783E-03
-10.782000E-06,-172.330397952E-03,+335.348613859E-03,+344.864945415E-03
-10.780000E-06,-186.840448048E-03,+336.761930426E-03,+344.864945415E-03
-10.778000E-06,-178.234920503E-03,+337.006905298E-03,+344.864945415E-03
-10.776000E-06,-176.601754690E-03,+334.689066127E-03,+348.081025782E-03
-10.774000E-06,-162.468589012E-03,+335.581025916E-03,+344.864945415E-03
-10.772000E-06,-180.873111429E-03,+336.447860078E-03,+344.864945415E-03
-10.770000E-06,-180.873111428E-03,+335.756905311E-03,+336.824744497E-03
-10.768000E-06,-178.988689339E-03,+335.499367626E-03,+352.905146334E-03
-10.766000E-06,-163.410800057E-03,+332.603639014E-03,+344.864945415E-03
-10.764000E-06,-182.631905379E-03,+333.307156594E-03,+344.864945415E-03
-10.762000E-06,-188.724870138E-03,+335.411427928E-03,+343.256905230E-03
-10.760000E-06,-178.988689338E-03,+331.611176713E-03,+344.864945415E-03
-10.758000E-06,-165.169594009E-03,+334.657659092E-03,+344.864945415E-03
-10.756000E-06,-179.742458175E-03,+334.092332465E-03,+344.864945415E-03
-10.754000E-06,-184.453513402E-03,+333.778262117E-03,+336.824744496E-03
-10.752000E-06,-181.501252125E-03,+332.867458106E-03,+351.297106149E-03
-10.750000E-06,-176.162056203E-03,+331.611176713E-03,+344.864945415E-03
-10.748000E-06,-190.483664090E-03,+333.885046035E-03,+344.864945415E-03
-10.746000E-06,-179.239945617E-03,+334.858664115E-03,+336.824744496E-03
-10.744000E-06,-167.430900517E-03,+333.175247048E-03,+349.689065965E-03
-10.742000E-06,-171.074116557E-03,+331.133789783E-03,+344.864945415E-03
-10.740000E-06,-186.526377699E-03,+332.490573688E-03,+336.824744497E-03
-10.738000E-06,-200.533915240E-03,+333.941578698E-03,+336.824744496E-03
-10.736000E-06,-172.770096439E-03,+331.479267166E-03,+344.864945415E-03
-10.734000E-06,-171.388186908E-03,+331.146352597E-03,+344.864945415E-03
-10.732000E-06,-187.091704327E-03,+332.710422932E-03,+338.432784681E-03
-10.730000E-06,-180.559041082E-03,+332.082282235E-03,+328.784543578E-03
-10.728000E-06,-182.883161661E-03,+331.812181736E-03,+344.864945415E-03
-10.726000E-06,-158.260046347E-03,+330.731779737E-03,+344.864945415E-03
-10.724000E-06,-188.347985718E-03,+329.764443064E-03,+344.864945415E-03
-10.722000E-06,-172.958538651E-03,+330.650121447E-03,+335.216704311E-03
-10.720000E-06,-167.682156796E-03,+329.067206891E-03,+344.864945414E-03
-10.718000E-06,-152.983664491E-03,+329.500623971E-03,+336.824744496E-03
-10.716000E-06,-168.498739703E-03,+330.543337528E-03,+344.864945415E-03
-10.714000E-06,-165.986176914E-03,+330.593588784E-03,+336.824744496E-03
-10.712000E-06,-173.900749695E-03,+328.570975740E-03,+343.256905230E-03
-10.710000E-06,-183.699744563E-03,+328.187809915E-03,+336.824744497E-03
-10.708000E-06,-196.765071057E-03,+328.005649113E-03,+336.824744496E-03
-10.706000E-06,-183.071603869E-03,+329.412684274E-03,+336.824744496E-03
-10.704000E-06,-174.340448182E-03,+327.999367706E-03,+336.824744496E-03
-10.702000E-06,-182.757533517E-03,+327.050875254E-03,+336.824744496E-03
-10.700000E-06,-205.998739298E-03,+326.994342591E-03,+336.824744496E-03
-10.698000E-06,-190.797734440E-03,+330.065950599E-03,+330.392583760E-03
-10.696000E-06,-190.986176648E-03,+327.251880277E-03,+344.864945415E-03
-10.694000E-06,-167.493714586E-03,+326.787056161E-03,+336.824744496E-03
-10.692000E-06,-200.471101166E-03,+326.366201894E-03,+336.824744496E-03
-10.690000E-06,-192.179643973E-03,+328.093588811E-03,+328.784543578E-03
-10.688000E-06,-174.591704462E-03,+326.284543604E-03,+336.824744496E-03
-10.686000E-06,-171.576629114E-03,+326.724242092E-03,+336.824744496E-03
-10.684000E-06,-186.463563631E-03,+325.888814964E-03,+336.824744496E-03
-10.682000E-06,-203.863060930E-03,+327.836051125E-03,+328.784543577E-03
-10.680000E-06,-181.501252126E-03,+324.199116491E-03,+336.824744496E-03
-10.678000E-06,-182.569091309E-03,+326.165196872E-03,+336.824744496E-03
-10.676000E-06,-212.028889988E-03,+325.072232059E-03,+336.824744496E-03
-10.674000E-06,-180.747483293E-03,+328.219216950E-03,+328.784543577E-03
-10.672000E-06,-179.491201899E-03,+323.759418003E-03,+336.824744496E-03
-10.670000E-06,-173.649493415E-03,+323.947860212E-03,+336.824744496E-03
-10.668000E-06,-180.433412939E-03,+322.478010981E-03,+335.216704313E-03
-10.666000E-06,-187.657030956E-03,+327.327257161E-03,+328.784543577E-03
-10.664000E-06,-192.933412808E-03,+322.534543644E-03,+336.824744496E-03
-10.662000E-06,-159.076629251E-03,+321.761930587E-03,+336.824744496E-03
-10.660000E-06,-179.302759687E-03,+321.906402947E-03,+336.824744496E-03
-10.658000E-06,-184.076628984E-03,+326.045850139E-03,+328.784543577E-03
-10.656000E-06,-163.222357848E-03,+322.697860225E-03,+336.824744496E-03
-10.654000E-06,-153.360548909E-03,+321.881277319E-03,+332.000623946E-03
-10.652000E-06,-166.174619124E-03,+322.220473295E-03,+336.824744496E-03
-10.650000E-06,-159.516327740E-03,+325.078513466E-03,+328.784543578E-03
-10.648000E-06,-170.383161791E-03,+322.000624052E-03,+336.824744496E-03
-10.646000E-06,-157.192207160E-03,+321.127508483E-03,+336.824744496E-03
-10.644000E-06,-192.305272113E-03,+322.785799923E-03,+332.000623946E-03
-10.642000E-06,-185.772608863E-03,+322.892583841E-03,+328.784543577E-03
-10.640000E-06,-172.393212020E-03,+321.121227076E-03,+336.824744496E-03
-10.638000E-06,-171.262558768E-03,+321.234292402E-03,+336.824744496E-03
-10.636000E-06,-178.800247130E-03,+320.631277333E-03,+328.784543577E-03
-10.634000E-06,-175.031402950E-03,+323.596101422E-03,+333.608664127E-03
-10.632000E-06,-175.157031087E-03,+320.411428089E-03,+336.824744496E-03
-10.630000E-06,-160.144468436E-03,+319.959166787E-03,+328.784543577E-03
-10.628000E-06,-171.199744697E-03,+319.657659253E-03,+328.784543577E-03
-10.626000E-06,-153.109292631E-03,+321.598614006E-03,+323.960423024E-03
-10.624000E-06,-153.046478561E-03,+319.745598950E-03,+328.784543577E-03
-10.622000E-06,-166.739945748E-03,+318.740573836E-03,+328.784543577E-03
-10.620000E-06,-191.551503273E-03,+319.299619055E-03,+328.784543577E-03
-10.618000E-06,-162.845473430E-03,+321.196603960E-03,+328.784543577E-03
-10.616000E-06,-168.812810053E-03,+320.160171810E-03,+328.784543577E-03
-10.614000E-06,-148.272609263E-03,+318.508161778E-03,+328.784543577E-03
-10.612000E-06,-160.395724714E-03,+318.307156755E-03,+328.784543577E-03
-10.610000E-06,-184.013814910E-03,+320.084794927E-03,+320.744342658E-03
-10.608000E-06,-173.523865278E-03,+319.462935637E-03,+336.824744496E-03
-10.606000E-06,-157.380649365E-03,+317.201629129E-03,+325.568463211E-03
-10.604000E-06,-184.076628982E-03,+317.666453243E-03,+328.784543577E-03
-10.602000E-06,-175.345473299E-03,+319.908915531E-03,+320.744342658E-03
-10.600000E-06,-190.609292228E-03,+317.258161791E-03,+328.784543577E-03
-10.598000E-06,-165.923362844E-03,+314.789568852E-03,+320.744342658E-03
-10.596000E-06,-192.933412809E-03,+316.962935663E-03,+323.960423024E-03
-10.594000E-06,-195.634417804E-03,+318.897609010E-03,+320.744342658E-03
-10.592000E-06,-189.981151535E-03,+315.581026131E-03,+327.176503392E-03
-10.590000E-06,-173.021352721E-03,+316.315950746E-03,+320.744342660E-03
-10.588000E-06,-186.714819908E-03,+315.336051258E-03,+328.784543577E-03
-10.586000E-06,-181.878136547E-03,+318.533287405E-03,+320.744342658E-03
-10.584000E-06,-158.888187042E-03,+315.593588945E-03,+328.784543577E-03
-10.582000E-06,-175.722357711E-03,+314.117458307E-03,+320.744342658E-03
-10.580000E-06,-195.006277103E-03,+315.939066327E-03,+320.744342658E-03
-10.578000E-06,-183.322860145E-03,+318.765699464E-03,+320.744342658E-03
-10.576000E-06,-192.242458042E-03,+313.885046249E-03,+323.960423024E-03
-10.574000E-06,-177.983664221E-03,+314.783287446E-03,+320.744342658E-03
-10.572000E-06,-197.581653961E-03,+314.777006038E-03,+320.744342658E-03
-10.570000E-06,-194.064066063E-03,+317.226754756E-03,+312.704141741E-03
-10.568000E-06,-189.729895255E-03,+313.256905552E-03,+328.784543577E-03
-10.566000E-06,-168.749995983E-03,+312.597357821E-03,+320.744342658E-03
-10.564000E-06,-182.129392821E-03,+314.349870365E-03,+320.744342658E-03
-10.562000E-06,-184.327885260E-03,+316.140071351E-03,+319.136302473E-03
-10.560000E-06,-184.327885261E-03,+312.766955809E-03,+320.744342658E-03
-10.558000E-06,-186.463563631E-03,+312.521980937E-03,+320.744342658E-03
-10.556000E-06,-200.219844891E-03,+313.168965854E-03,+320.744342658E-03
-10.554000E-06,-201.727382563E-03,+316.303387932E-03,+317.528262289E-03
-10.552000E-06,-196.199744429E-03,+312.145096519E-03,+320.744342658E-03
-10.550000E-06,-171.451000977E-03,+311.636302555E-03,+312.704141739E-03
-10.548000E-06,-198.649493148E-03,+311.994342751E-03,+320.744342658E-03
-10.546000E-06,-196.136930366E-03,+313.319719622E-03,+312.704141739E-03
-10.544000E-06,-160.018840294E-03,+312.000624159E-03,+325.568463208E-03
-10.542000E-06,-162.217332734E-03,+310.040825185E-03,+320.744342658E-03
-10.540000E-06,-193.121855015E-03,+311.070975927E-03,+320.744342658E-03
-10.538000E-06,-159.327885528E-03,+312.949116611E-03,+312.704141739E-03
-10.536000E-06,-178.172106433E-03,+311.730523659E-03,+320.744342658E-03
-10.534000E-06,-143.435925897E-03,+311.523237229E-03,+320.744342658E-03
-10.532000E-06,-180.998739564E-03,+311.309669392E-03,+320.744342658E-03
-10.530000E-06,-168.938438195E-03,+311.228011102E-03,+312.704141739E-03
-10.528000E-06,-172.518840163E-03,+311.479267381E-03,+322.352382840E-03
-10.526000E-06,-171.011302487E-03,+310.499367894E-03,+317.528262292E-03
-10.524000E-06,-194.755020826E-03,+309.142583988E-03,+317.528262289E-03
-10.522000E-06,-178.863061201E-03,+311.837307578E-03,+312.704141739E-03
-10.520000E-06,-186.526377699E-03,+310.442835231E-03,+320.744342658E-03
-10.518000E-06,-160.709795058E-03,+310.317207092E-03,+312.704141739E-03
-10.516000E-06,-195.948488150E-03,+309.180272430E-03,+312.704141739E-03
-10.514000E-06,-192.242458043E-03,+310.712935731E-03,+312.704141739E-03
-10.512000E-06,-188.285171651E-03,+307.195347829E-03,+320.744342658E-03
-10.510000E-06,-183.071603868E-03,+306.925247329E-03,+312.704141741E-03
-10.508000E-06,-191.739945478E-03,+308.885046303E-03,+312.704141739E-03
-10.506000E-06,-183.762558633E-03,+309.839820162E-03,+307.880021186E-03
-10.504000E-06,-188.662056065E-03,+307.434041293E-03,+315.920222109E-03
-10.502000E-06,-182.757533522E-03,+307.861176967E-03,+312.704141739E-03
-10.500000E-06,-188.724870136E-03,+306.077257388E-03,+312.704141739E-03
-10.498000E-06,-180.119342593E-03,+309.148865396E-03,+306.271981002E-03
-10.496000E-06,-190.295221885E-03,+307.961679478E-03,+320.744342658E-03
-10.494000E-06,-187.280146535E-03,+306.001880504E-03,+312.704141739E-03
-10.492000E-06,-199.717332330E-03,+306.604895573E-03,+312.704141739E-03
-10.490000E-06,-193.749995718E-03,+308.872483489E-03,+304.663940822E-03
-10.488000E-06,-173.837935628E-03,+306.347357888E-03,+312.704141739E-03
-10.486000E-06,-163.285171918E-03,+305.078513680E-03,+312.704141739E-03
-10.484000E-06,-189.918337461E-03,+306.070975981E-03,+304.663940820E-03
-10.482000E-06,-178.109292367E-03,+305.543337796E-03,+304.663940820E-03
-10.480000E-06,-167.054016098E-03,+305.794594075E-03,+312.704141739E-03
-10.478000E-06,-159.453513666E-03,+303.671478520E-03,+312.704141739E-03
-10.476000E-06,-183.260046077E-03,+304.676503634E-03,+307.880021186E-03
-10.474000E-06,-163.285171921E-03,+305.869970958E-03,+304.663940820E-03
