x-axis,1,2,REF1
second,Volt,Volt,Volt
-10.920000E-06,-192.807784668E-03,+348.790824770E-03,+368.985548172E-03
-10.918000E-06,-192.807784668E-03,+348.282030805E-03,+360.945347253E-03
-10.916000E-06,-183.762558634E-03,+348.771980549E-03,+364.161427620E-03
-10.914000E-06,-185.207282237E-03,+348.495598642E-03,+360.945347253E-03
-10.912000E-06,-172.267583883E-03,+349.940322245E-03,+362.553387437E-03
-10.910000E-06,-191.865573623E-03,+348.570975526E-03,+360.945347253E-03
-10.908000E-06,-163.347985988E-03,+346.711679063E-03,+360.945347253E-03
-10.906000E-06,-186.966076188E-03,+348.897608688E-03,+360.945347253E-03
-10.904000E-06,-181.689694335E-03,+348.231779550E-03,+360.945347253E-03
-10.902000E-06,-185.332910376E-03,+346.366201680E-03,+367.377507988E-03
-10.900000E-06,-176.476126551E-03,+346.309669018E-03,+360.945347253E-03
-10.898000E-06,-202.606779538E-03,+347.911427794E-03,+360.945347253E-03
-10.896000E-06,-196.765071058E-03,+346.491829820E-03,+368.985548172E-03
-10.894000E-06,-195.948488152E-03,+345.618714251E-03,+360.945347253E-03
-10.892000E-06,-181.626880265E-03,+346.937809714E-03,+367.377507988E-03
-10.890000E-06,-200.031402681E-03,+346.278261983E-03,+360.945347253E-03
-10.888000E-06,-187.657030954E-03,+345.844844902E-03,+367.377507988E-03
-10.886000E-06,-180.621855150E-03,+344.657658985E-03,+360.945347253E-03
-10.884000E-06,-186.840448048E-03,+344.312181602E-03,+360.945347253E-03
-10.882000E-06,-194.252508271E-03,+343.991829846E-03,+359.337307069E-03
-10.880000E-06,-189.353010835E-03,+344.707910241E-03,+360.945347253E-03
-10.878000E-06,-187.594216884E-03,+345.405146414E-03,+360.945347253E-03
-10.876000E-06,-182.757533519E-03,+343.759417789E-03,+352.905146334E-03
-10.874000E-06,-161.275121689E-03,+345.486804705E-03,+352.905146334E-03
-10.872000E-06,-175.471101436E-03,+344.946603705E-03,+360.945347253E-03
-10.870000E-06,-189.667081184E-03,+345.084794659E-03,+352.905146334E-03
-10.868000E-06,-180.244970732E-03,+344.211679090E-03,+359.337307069E-03
-10.866000E-06,-188.787684208E-03,+343.947859998E-03,+352.905146334E-03
-10.864000E-06,-182.631905380E-03,+343.834794672E-03,+360.945347253E-03
-10.862000E-06,-187.028890257E-03,+342.716704232E-03,+352.905146334E-03
-10.860000E-06,-167.996227145E-03,+342.540824837E-03,+352.905146334E-03
-10.858000E-06,-185.458538515E-03,+344.318463009E-03,+346.472985598E-03
-10.856000E-06,-189.667081184E-03,+344.167709241E-03,+360.945347253E-03
-10.854000E-06,-196.513814779E-03,+342.766955488E-03,+352.905146334E-03
-10.852000E-06,-191.237432926E-03,+343.508161510E-03,+360.945347253E-03
-10.850000E-06,-188.724870138E-03,+342.635045941E-03,+344.864945415E-03
-10.848000E-06,-173.837935624E-03,+342.804643929E-03,+360.945347253E-03
-10.846000E-06,-194.064066061E-03,+342.032030872E-03,+352.905146334E-03
-10.844000E-06,-184.453513400E-03,+341.290824850E-03,+352.905146334E-03
-10.842000E-06,-194.001251992E-03,+341.730523338E-03,+352.905146334E-03
-10.840000E-06,-182.757533519E-03,+341.001880130E-03,+352.905146334E-03
-10.838000E-06,-186.526377700E-03,+342.898865034E-03,+352.905146334E-03
-10.836000E-06,-181.124367708E-03,+341.121226862E-03,+352.905146334E-03
-10.834000E-06,-191.865573623E-03,+340.147608782E-03,+352.905146334E-03
-10.832000E-06,-180.119342593E-03,+340.103638933E-03,+352.905146334E-03
-10.830000E-06,-192.807784667E-03,+340.310925363E-03,+352.905146334E-03
-10.828000E-06,-181.940950613E-03,+339.720473108E-03,+352.905146334E-03
-10.826000E-06,-180.496227012E-03,+341.096101234E-03,+344.864945415E-03
-10.824000E-06,-169.001252259E-03,+339.199116330E-03,+356.121226702E-03
-10.822000E-06,-184.013814913E-03,+338.966704272E-03,+352.905146334E-03
-10.820000E-06,-169.252508537E-03,+339.368714318E-03,+344.864945415E-03
-10.818000E-06,-186.023865143E-03,+340.141327375E-03,+344.864945415E-03
-10.816000E-06,-165.295222149E-03,+339.192834923E-03,+352.905146334E-03
-10.814000E-06,-182.317835031E-03,+339.343588690E-03,+352.905146334E-03
-10.812000E-06,-180.370598872E-03,+338.966704272E-03,+352.905146334E-03
-10.810000E-06,-170.508789933E-03,+338.363689203E-03,+344.864945415E-03
-10.808000E-06,-179.051503408E-03,+339.136302260E-03,+352.905146334E-03
-10.806000E-06,-183.008789798E-03,+337.880020867E-03,+344.864945415E-03
-10.804000E-06,-174.466076322E-03,+338.200372622E-03,+352.905146334E-03
-10.802000E-06,-197.518839893E-03,+337.308412833E-03,+344.864945415E-03
-10.800000E-06,-161.086679480E-03,+337.515699262E-03,+352.905146334E-03
-10.798000E-06,-175.345473297E-03,+337.597357553E-03,+346.472985598E-03
-10.796000E-06,-167.368086448E-03,+337.076000775E-03,+352.905146334E-03
-10.794000E-06,-171.074116560E-03,+336.410171636E-03,+344.864945415E-03
-10.792000E-06,-179.930900383E-03,+337.013186705E-03,+352.905146334E-03
-10.790000E-06,-186.840448048E-03,+337.013186705E-03,+344.864945415E-03
-10.788000E-06,-165.923362844E-03,+336.096101288E-03,+352.905146334E-03
-10.786000E-06,-182.757533519E-03,+336.504392741E-03,+340.040824863E-03
-10.784000E-06,-183.636930494E-03,+336.001880183E-03,+348.081025783E-03
-10.782000E-06,-174.403262252E-03,+335.562181695E-03,+344.864945415E-03
-10.780000E-06,-167.996227145E-03,+334.532030953E-03,+344.864945415E-03
-10.778000E-06,-192.368086181E-03,+336.070975660E-03,+344.864945415E-03
-10.776000E-06,-184.893211888E-03,+334.946603812E-03,+348.081025782E-03
-10.774000E-06,-192.807784669E-03,+333.677759605E-03,+344.864945415E-03
-10.772000E-06,-181.815322473E-03,+334.525749546E-03,+344.864945415E-03
-10.770000E-06,-192.493714320E-03,+334.720473162E-03,+336.824744497E-03
-10.768000E-06,-170.383161793E-03,+335.015699289E-03,+352.905146334E-03
-10.766000E-06,-191.614317344E-03,+335.179015870E-03,+344.864945415E-03
-10.764000E-06,-171.639443184E-03,+334.965448034E-03,+344.864945415E-03
-10.762000E-06,-171.074116560E-03,+334.098613872E-03,+343.256905230E-03
-10.760000E-06,-174.591704460E-03,+335.097357580E-03,+344.864945415E-03
-10.758000E-06,-182.129392822E-03,+333.589819907E-03,+344.864945415E-03
-10.756000E-06,-162.971101570E-03,+333.495598803E-03,+344.864945415E-03
-10.754000E-06,-185.772608863E-03,+334.004392767E-03,+336.824744496E-03
-10.752000E-06,-173.335423068E-03,+333.520724431E-03,+351.297106149E-03
-10.750000E-06,-179.930900384E-03,+333.024493281E-03,+344.864945415E-03
-10.748000E-06,-165.609292496E-03,+332.377508363E-03,+344.864945415E-03
-10.746000E-06,-177.858036085E-03,+332.302131479E-03,+336.824744496E-03
-10.744000E-06,-177.041453178E-03,+333.275749559E-03,+349.689065965E-03
-10.742000E-06,-193.498739434E-03,+331.347357620E-03,+344.864945415E-03
-10.740000E-06,-174.905774810E-03,+330.574744563E-03,+336.824744497E-03
-10.738000E-06,-198.523865011E-03,+332.233036002E-03,+336.824744496E-03
-10.736000E-06,-178.360548643E-03,+331.874995805E-03,+344.864945415E-03
-10.734000E-06,-196.262558500E-03,+330.800875214E-03,+344.864945415E-03
-10.732000E-06,-186.275121420E-03,+331.454141538E-03,+338.432784681E-03
-10.730000E-06,-191.551503275E-03,+330.574744563E-03,+328.784543578E-03
-10.728000E-06,-191.425875135E-03,+330.744342551E-03,+344.864945415E-03
-10.726000E-06,-186.714819909E-03,+330.398865168E-03,+344.864945415E-03
-10.724000E-06,-171.388186908E-03,+330.304644063E-03,+344.864945415E-03
-10.722000E-06,-178.800247131E-03,+331.027005865E-03,+335.216704311E-03
-10.720000E-06,-179.930900384E-03,+330.731779737E-03,+344.864945414E-03
-10.718000E-06,-174.968588877E-03,+330.398865168E-03,+336.824744496E-03
-10.716000E-06,-190.860548507E-03,+329.594845076E-03,+344.864945415E-03
